wl,value
360,0.04146
361,0.04093
362,0.03901
363,0.03894
364,0.04053
365,0.04211
366,0.04051
367,0.03972
368,0.03994
369,0.03886
370,0.03883
371,0.03961
372,0.04039
373,0.04002
374,0.03958
375,0.03921
376,0.03889
377,0.03913
378,0.03885
379,0.03845
380,0.03944
381,0.03987
382,0.04004
383,0.04026
384,0.03991
385,0.03912
386,0.03903
387,0.04055
388,0.04102
389,0.0406
390,0.03996
391,0.04011
392,0.0407
393,0.04106
394,0.04102
395,0.0419
396,0.04217
397,0.04214
398,0.04285
399,0.04395
400,0.04467
401,0.04493
402,0.04563
403,0.04613
404,0.04677
405,0.04786
406,0.04876
407,0.04935
408,0.05001
409,0.05136
410,0.05307
411,0.05442
412,0.05517
413,0.056
414,0.05726
415,0.05858
416,0.05953
417,0.06083
418,0.06187
419,0.0627
420,0.06395
421,0.06482
422,0.06573
423,0.06693
424,0.06769
425,0.06825
426,0.06887
427,0.06973
428,0.07049
429,0.07105
430,0.07152
431,0.07221
432,0.07281
433,0.07324
434,0.07357
435,0.07415
436,0.07448
437,0.07476
438,0.07563
439,0.07629
440,0.07668
441,0.07691
442,0.07715
443,0.07753
444,0.07799
445,0.07837
446,0.07862
447,0.07909
448,0.07974
449,0.08002
450,0.08026
451,0.08064
452,0.08113
453,0.08118
454,0.08145
455,0.08196
456,0.08229
457,0.08261
458,0.08278
459,0.08277
460,0.08288
461,0.08315
462,0.08335
463,0.08328
464,0.08346
465,0.08363
466,0.08369
467,0.08378
468,0.08384
469,0.08388
470,0.08389
471,0.08366
472,0.08369
473,0.08392
474,0.08405
475,0.08401
476,0.08402
477,0.08415
478,0.08424
479,0.08438
480,0.08449
481,0.08448
482,0.0846
483,0.08477
484,0.08491
485,0.08499
486,0.08526
487,0.08562
488,0.08594
489,0.08623
490,0.08669
491,0.08725
492,0.08773
493,0.08834
494,0.08901
495,0.0897
496,0.09043
497,0.09144
498,0.09251
499,0.09345
500,0.09456
501,0.09586
502,0.09732
503,0.09892
504,0.1006
505,0.10235
506,0.10421
507,0.10633
508,0.10862
509,0.11102
510,0.11355
511,0.11635
512,0.11938
513,0.12254
514,0.12572
515,0.12909
516,0.13267
517,0.13639
518,0.14014
519,0.14406
520,0.14805
521,0.1519
522,0.1558
523,0.15962
524,0.16329
525,0.16695
526,0.17037
527,0.17359
528,0.17676
529,0.17956
530,0.18216
531,0.18462
532,0.18688
533,0.18891
534,0.19072
535,0.19237
536,0.19383
537,0.19513
538,0.19629
539,0.19734
540,0.19821
541,0.19897
542,0.19968
543,0.20029
544,0.20097
545,0.20175
546,0.20257
547,0.20329
548,0.20393
549,0.2045
550,0.20497
551,0.20521
552,0.20527
553,0.20526
554,0.20523
555,0.20497
556,0.20446
557,0.20383
558,0.203
559,0.20189
560,0.20055
561,0.1993
562,0.19782
563,0.19619
564,0.19456
565,0.19288
566,0.19111
567,0.18921
568,0.18709
569,0.18491
570,0.18267
571,0.18037
572,0.17806
573,0.17583
574,0.17377
575,0.17194
576,0.17017
577,0.16844
578,0.16676
579,0.16519
580,0.16369
581,0.16227
582,0.16097
583,0.15979
584,0.15878
585,0.15786
586,0.15686
587,0.15555
588,0.15428
589,0.15334
590,0.15256
591,0.15176
592,0.15101
593,0.15044
594,0.1499
595,0.14945
596,0.14908
597,0.14865
598,0.14813
599,0.14759
600,0.14708
601,0.14654
602,0.14594
603,0.14529
604,0.14458
605,0.14378
606,0.14292
607,0.14199
608,0.14095
609,0.13983
610,0.13859
611,0.13724
612,0.13604
613,0.13496
614,0.13393
615,0.13284
616,0.13179
617,0.13078
618,0.12982
619,0.12892
620,0.12812
621,0.12744
622,0.12685
623,0.12629
624,0.12581
625,0.12544
626,0.12511
627,0.12487
628,0.12467
629,0.12444
630,0.12431
631,0.12412
632,0.12381
633,0.12348
634,0.12302
635,0.12237
636,0.12149
637,0.12052
638,0.11938
639,0.11808
640,0.11665
641,0.11514
642,0.11364
643,0.11216
644,0.11052
645,0.10897
646,0.10746
647,0.10596
648,0.1046
649,0.10338
650,0.1023
651,0.10134
652,0.10055
653,0.09981
654,0.09905
655,0.09837
656,0.09762
657,0.09675
658,0.09575
659,0.09466
660,0.09351
661,0.09235
662,0.09122
663,0.09007
664,0.08898
665,0.08799
666,0.08708
667,0.08627
668,0.08561
669,0.08514
670,0.0847
671,0.08442
672,0.08432
673,0.08424
674,0.08429
675,0.08446
676,0.08471
677,0.08496
678,0.08538
679,0.08599
680,0.0867
681,0.0876
682,0.08866
683,0.0899
684,0.09147
685,0.09344
686,0.09585
687,0.09872
688,0.10231
689,0.1066
690,0.11162
691,0.11745
692,0.12408
693,0.13154
694,0.13982
695,0.1489
696,0.15864
697,0.16896
698,0.17978
699,0.1911
700,0.2027
701,0.21447
702,0.22635
703,0.23812
704,0.2498
705,0.26143
706,0.27295
707,0.28418
708,0.29508
709,0.30578
710,0.31639
711,0.32687
712,0.33716
713,0.34718
714,0.35692
715,0.36657
716,0.37621
717,0.38547
718,0.39438
719,0.40315
720,0.41196
721,0.42023
722,0.42829
723,0.43626
724,0.44394
725,0.45115
726,0.45811
727,0.46495
728,0.47135
729,0.47736
730,0.48314
731,0.48884
732,0.49406
733,0.49895
734,0.50355
735,0.50785
736,0.51216
737,0.51613
738,0.51954
739,0.52296
740,0.52605
741,0.52889
742,0.53165
743,0.5342
744,0.53634
745,0.53825
746,0.54036
747,0.54198
748,0.5434
749,0.54482
750,0.54584
751,0.54697
752,0.54805
753,0.54883
754,0.54986
755,0.55057
756,0.55092
757,0.5513
758,0.55185
759,0.55231
760,0.55256
761,0.55288
762,0.55316
763,0.55329
764,0.55326
765,0.55335
766,0.5535
767,0.55366
768,0.55371
769,0.55355
770,0.55351
771,0.55368
772,0.55369
773,0.55368
774,0.55351
775,0.5532
776,0.55335
777,0.55357
778,0.55365
779,0.5535
780,0.55348
781,0.55336
782,0.55317
783,0.55325
784,0.55327
785,0.55325
786,0.55325
787,0.55331
788,0.55315
789,0.553
790,0.55311
791,0.55324
792,0.55331
793,0.55328
794,0.55315
795,0.55325
796,0.55332
797,0.55326
798,0.55338
799,0.55344
800,0.55324
801,0.55285
802,0.55308
803,0.55335
804,0.5534
805,0.5532
806,0.55325
807,0.55324
808,0.55317
809,0.55326
810,0.55313
811,0.5531
812,0.55328
813,0.55329
814,0.55322
815,0.55322
816,0.55332
817,0.55322
818,0.55326
819,0.55337
820,0.55328
821,0.55319
822,0.5532
823,0.55331
824,0.55343
825,0.55349
826,0.55345
827,0.55335
828,0.55335
829,0.55332
830,0.55326
