wl,value
360,0.05852
361,0.06009
362,0.05828
363,0.05831
364,0.05926
365,0.05918
366,0.05827
367,0.05854
368,0.05948
369,0.05902
370,0.0589
371,0.0585
372,0.05786
373,0.05894
374,0.05897
375,0.05806
376,0.05739
377,0.05826
378,0.05853
379,0.05825
380,0.05921
381,0.05887
382,0.05901
383,0.06021
384,0.05873
385,0.05849
386,0.05964
387,0.06077
388,0.06092
389,0.06104
390,0.06136
391,0.06128
392,0.06224
393,0.06334
394,0.0638
395,0.06433
396,0.06518
397,0.06618
398,0.06699
399,0.06792
400,0.06915
401,0.07039
402,0.07068
403,0.07238
404,0.07427
405,0.07501
406,0.07607
407,0.07764
408,0.07923
409,0.08003
410,0.08112
411,0.08231
412,0.08347
413,0.08486
414,0.08628
415,0.08744
416,0.0882
417,0.08941
418,0.09064
419,0.09156
420,0.0921
421,0.09267
422,0.09344
423,0.09436
424,0.09518
425,0.09565
426,0.09597
427,0.09649
428,0.09716
429,0.09773
430,0.0981
431,0.09844
432,0.09876
433,0.09907
434,0.09938
435,0.09961
436,0.09993
437,0.10032
438,0.1006
439,0.10089
440,0.10121
441,0.10154
442,0.10178
443,0.10205
444,0.10243
445,0.10293
446,0.10325
447,0.10364
448,0.10413
449,0.10443
450,0.10477
451,0.10508
452,0.10532
453,0.1058
454,0.10607
455,0.10623
456,0.10665
457,0.10698
458,0.10707
459,0.107
460,0.10725
461,0.10734
462,0.1073
463,0.10734
464,0.10754
465,0.10763
466,0.10757
467,0.10754
468,0.10758
469,0.10763
470,0.10766
471,0.10767
472,0.10773
473,0.10777
474,0.10774
475,0.1078
476,0.10789
477,0.10796
478,0.10802
479,0.10808
480,0.10814
481,0.10819
482,0.10831
483,0.10856
484,0.10881
485,0.10881
486,0.10897
487,0.10929
488,0.10969
489,0.11006
490,0.11052
491,0.11106
492,0.11159
493,0.11229
494,0.11302
495,0.11376
496,0.11469
497,0.11573
498,0.1168
499,0.11786
500,0.11914
501,0.12056
502,0.12209
503,0.12377
504,0.12557
505,0.12746
506,0.12947
507,0.13185
508,0.1343
509,0.13686
510,0.13969
511,0.14265
512,0.14588
513,0.14937
514,0.15297
515,0.15666
516,0.16052
517,0.1646
518,0.16883
519,0.17306
520,0.17729
521,0.18161
522,0.18588
