wl,value
360,0.0347
361,0.034788
362,0.034876
363,0.0349645
364,0.035053
365,0.035141
366,0.035229
367,0.0353175
368,0.035406
369,0.035494
370,0.035582
371,0.0356705
372,0.035759
373,0.035847
374,0.035935
375,0.0360235
376,0.036112
377,0.0362
378,0.036288
379,0.0363765
380,0.036465
381,0.036553
382,0.036641
383,0.0367295
384,0.036818
385,0.036906
386,0.036994
387,0.0370825
388,0.037171
389,0.037259
390,0.037347
391,0.0374355
392,0.037524
393,0.037612
394,0.0377
395,0.037788
396,0.037876
397,0.0379645
398,0.038053
399,0.038141
400,0.038229
401,0.0383175
402,0.038406
403,0.0384695
404,0.038533
405,0.0385765
406,0.03862
407,0.0386965
408,0.038773
409,0.03883
410,0.038887
411,0.038916
412,0.038945
413,0.0390045
414,0.039064
415,0.0391485
416,0.039233
417,0.0392655
418,0.039298
419,0.0393475
420,0.039397
421,0.0394635
422,0.03953
423,0.039622
424,0.039714
425,0.039754
426,0.039794
427,0.039829
428,0.039864
429,0.040002
430,0.04014
431,0.0401415
432,0.040143
433,0.0402165
434,0.04029
435,0.0403055
436,0.040321
437,0.040408
438,0.040495
439,0.040546
440,0.040597
441,0.0406475
442,0.040698
443,0.040742
444,0.040786
445,0.040856
446,0.040926
447,0.040999
448,0.041072
449,0.041133
450,0.041194
451,0.041244
452,0.041294
453,0.041328
454,0.041362
455,0.0414245
456,0.041487
457,0.041558
458,0.041629
459,0.0417095
460,0.04179
461,0.04184
462,0.04189
463,0.041943
464,0.041996
465,0.0420295
466,0.042063
467,0.042124
468,0.042185
469,0.042256
470,0.042327
471,0.042381
472,0.042435
473,0.042516
474,0.042597
475,0.0426355
476,0.042674
477,0.042721
478,0.042768
479,0.042831
480,0.042894
481,0.0429745
482,0.043055
483,0.0430775
484,0.0431
485,0.043184
486,0.043268
487,0.043308
488,0.043348
489,0.0434165
490,0.043485
491,0.043545
492,0.043605
493,0.0436555
494,0.043706
495,0.043848
496,0.04399
497,0.0442925
498,0.044595
499,0.0450035
500,0.045412
501,0.045928
502,0.046444
503,0.047039
504,0.047634
505,0.0482635
506,0.048893
507,0.049806
508,0.050719
509,0.0520165
510,0.053314
511,0.0547445
512,0.056175
513,0.0576585
514,0.059142
515,0.060973
516,0.062804
517,0.064952
518,0.0671
519,0.0691415
520,0.071183
521,0.0732845
522,0.075386
523,0.077821
524,0.080256
525,0.0826025
526,0.084949
527,0.086986
528,0.089023
529,0.0909685
530,0.092914
531,0.094805
532,0.096696
533,0.0981155
534,0.099535
535,0.1006125
536,0.10169
537,0.10261
538,0.10353
539,0.104405
540,0.10528
541,0.10604
542,0.1068
543,0.107455
544,0.10811
545,0.108615
546,0.10912
547,0.10946
548,0.1098
549,0.11001
550,0.11022
551,0.11043
552,0.11064
553,0.11087
554,0.1111
555,0.111165
556,0.11123
557,0.110995
558,0.11076
559,0.110255
560,0.10975
561,0.10909
562,0.10843
563,0.107625
564,0.10682
565,0.105945
566,0.10507
567,0.103985
568,0.1029
569,0.10157
570,0.10024
571,0.098771
572,0.097302
573,0.095958
574,0.094614
575,0.0932425
576,0.091871
577,0.0904505
578,0.08903
579,0.0879965
580,0.086963
581,0.0861345
582,0.085306
583,0.084471
584,0.083636
585,0.082779
586,0.081922
587,0.0810895
588,0.080257
589,0.079545
590,0.078833
591,0.0782415
592,0.07765
593,0.077191
594,0.076732
595,0.0763305
596,0.075929
597,0.075657
598,0.075385
599,0.075143
600,0.074901
601,0.074587
602,0.074273
603,0.073908
604,0.073543
605,0.073179
606,0.072815
607,0.0724535
608,0.072092
609,0.0716635
610,0.071235
611,0.070793
612,0.070351
613,0.0698655
614,0.06938
