wl,value
360,0.01634
361,0.0156
362,0.01642
363,0.01736
364,0.01694
365,0.01492
366,0.01526
367,0.0154
368,0.01539
369,0.01683
370,0.01674
371,0.01643
372,0.01688
373,0.01751
374,0.01688
375,0.01608
376,0.01643
377,0.01602
378,0.01574
379,0.01588
380,0.01617
381,0.01671
382,0.01694
383,0.01659
384,0.01598
385,0.0171
386,0.01812
387,0.01676
388,0.01677
389,0.01686
390,0.01663
391,0.01684
392,0.01731
393,0.0176
394,0.01751
395,0.01765
396,0.01818
397,0.01846
398,0.0178
399,0.01811
400,0.01855
401,0.0186
402,0.01845
403,0.01858
404,0.0188
405,0.01891
406,0.01936
407,0.01986
408,0.01999
409,0.01947
410,0.01987
411,0.02054
412,0.02089
413,0.0211
414,0.02127
415,0.02138
416,0.02145
417,0.02182
418,0.02231
419,0.02266
420,0.02254
421,0.02262
422,0.02289
423,0.02319
424,0.02336
425,0.02362
426,0.02388
427,0.02396
428,0.02422
429,0.02451
430,0.02471
431,0.02486
432,0.02509
433,0.02525
434,0.02525
435,0.02545
436,0.0257
437,0.02586
438,0.02577
439,0.02586
440,0.02603
441,0.02616
442,0.02628
443,0.02641
444,0.02648
445,0.02646
446,0.02675
447,0.02701
448,0.0271
449,0.0272
450,0.02731
451,0.0274
452,0.02747
453,0.02774
454,0.02785
455,0.02783
456,0.02792
457,0.02794
458,0.02801
459,0.02816
460,0.02834
461,0.02847
462,0.02852
463,0.02853
464,0.02871
465,0.02882
466,0.02881
467,0.02884
468,0.02888
469,0.02894
470,0.02902
471,0.02897
472,0.02901
473,0.02914
474,0.02925
475,0.02928
476,0.02935
477,0.02947
478,0.02946
479,0.02947
480,0.02954
481,0.02966
482,0.02969
483,0.0298
484,0.02993
485,0.02983
486,0.02996
487,0.03012
488,0.03014
489,0.03025
490,0.03039
491,0.03054
492,0.03071
493,0.03084
494,0.03098
495,0.03115
496,0.03135
497,0.03156
498,0.03177
499,0.032
500,0.03226
501,0.03256
502,0.03288
503,0.03316
504,0.03352
505,0.03395
506,0.03441
507,0.03488
508,0.03544
509,0.03603
510,0.03655
511,0.0372
512,0.03795
513,0.03877
514,0.03962
515,0.04049
516,0.04146
517,0.04258
518,0.04369
519,0.0448
520,0.04594
521,0.04716
522,0.04836
523,0.04957
524,0.05082
525,0.05199
526,0.05316
527,0.05432
528,0.05543
529,0.05642
530,0.05735
531,0.05824
532,0.05913
533,0.05997
534,0.06075
535,0.06146
536,0.06208
537,0.06271
538,0.06333
539,0.06389
540,0.06442
541,0.06497
542,0.06555
543,0.06609
544,0.06659
545,0.06704
546,0.06742
547,0.06771
548,0.06794
549,0.06815
550,0.06839
551,0.06862
552,0.06879
