wl,value
360,0.1159
361,0.11572
362,0.10772
363,0.11149
364,0.1165
365,0.11177
366,0.11495
367,0.11305
368,0.109
369,0.11506
370,0.11396
371,0.11117
372,0.11165
373,0.11472
374,0.11018
375,0.10671
376,0.1133
377,0.10929
378,0.10517
379,0.10801
380,0.11851
381,0.11431
382,0.11057
383,0.11583
384,0.10908
385,0.11103
386,0.11563
387,0.11038
388,0.10484
389,0.10701
390,0.11315
391,0.10915
392,0.10868
393,0.11108
394,0.11222
395,0.10656
396,0.10545
397,0.1081
398,0.10812
399,0.10709
400,0.10775
401,0.10969
402,0.10838
403,0.11006
404,0.10944
405,0.10357
406,0.10769
407,0.10981
408,0.10893
409,0.11089
410,0.11081
411,0.10933
412,0.10838
413,0.1113
414,0.11121
415,0.11038
416,0.11241
417,0.11202
418,0.11161
419,0.11176
420,0.11118
421,0.11153
422,0.11244
423,0.11306
424,0.1123
425,0.11236
426,0.11296
427,0.11279
428,0.11222
429,0.11303
430,0.11484
431,0.1142
432,0.11358
433,0.11351
434,0.11385
435,0.11427
436,0.11449
437,0.11441
438,0.11411
439,0.11462
440,0.11529
441,0.11551
442,0.11522
443,0.11559
444,0.11562
445,0.11415
446,0.11498
447,0.11603
448,0.11639
449,0.11697
450,0.11667
451,0.11622
452,0.11645
453,0.11721
454,0.11753
455,0.1174
456,0.11736
457,0.11709
458,0.11719
459,0.11768
460,0.11718
461,0.117
462,0.11707
463,0.11692
464,0.11694
465,0.11669
466,0.11646
467,0.11721
468,0.11709
469,0.11667
470,0.11672
471,0.11732
472,0.11718
473,0.11665
474,0.11687
475,0.11717
476,0.11704
477,0.11668
478,0.11745
479,0.11772
480,0.11758
481,0.11756
482,0.11782
483,0.11763
484,0.1172
485,0.11748
486,0.11747
487,0.11775
488,0.11847
489,0.11811
490,0.11792
491,0.11808
492,0.11832
493,0.11888
494,0.11932
495,0.1195
496,0.11982
497,0.12049
498,0.12118
499,0.12169
500,0.12305
501,0.12395
502,0.12445
503,0.12573
504,0.12719
505,0.12866
506,0.13013
507,0.13162
508,0.1333
509,0.13533
510,0.13782
511,0.14001
512,0.1422
513,0.14482
514,0.14838
515,0.15158
516,0.15467
517,0.15814
518,0.16177
519,0.16563
520,0.16953
521,0.17316
522,0.17742
523,0.18145
524,0.18483
525,0.18853
526,0.19231
527,0.19613
528,0.19988
529,0.20285
530,0.20551
531,0.20814
532,0.21063
533,0.21293
534,0.21503
535,0.21696
536,0.21851
537,0.21983
538,0.22105
539,0.22219
540,0.2231
541,0.22381
542,0.22442
543,0.22521
544,0.22589
545,0.22659
546,0.22748
547,0.22819
548,0.22883
549,0.2294
550,0.22975
551,0.23019
552,0.23048
553,0.23035
554,0.23012
555,0.22977
556,0.22914
557,0.22806
558,0.22698
559,0.22583
560,0.22443
561,0.22245
562,0.22098
563,0.21961
564,0.21756
565,0.21581
566,0.21397
567,0.21181
568,0.2094
569,0.20708
570,0.20472
571,0.20214
572,0.19965
573,0.19732
574,0.19507
575,0.19277
576,0.19087
577,0.1891
578,0.18727
579,0.18564
580,0.18422
581,0.1828
582,0.18122
583,0.18004
584,0.17895
585,0.17773
586,0.17635
587,0.17529
588,0.17432
589,0.17328
590,0.17271
591,0.17201
592,0.17117
593,0.17052
594,0.17016
595,0.16959
596,0.16876
597,0.16854
598,0.16808
599,0.16748
600,0.16704
601,0.16657
602,0.16595
603,0.16518
604,0.1644
605,0.16346
606,0.16239
607,0.16123
608,0.15995
609,0.15846
610,0.15688
611,0.15541
612,0.15392
613,0.1525
614,0.15122
615,0.15021
616,0.14906
617,0.14789
618,0.14691
619,0.14597
620,0.14507
621,0.1442
622,0.1434
623,0.14284
624,0.14241
625,0.14202
626,0.1417
627,0.1413
628,0.14099
629,0.14099
630,0.14105
631,0.14078
632,0.14027
633,0.14012
634,0.13976
635,0.13919
636,0.13848
637,0.13758
638,0.13649
639,0.1354
640,0.13454
641,0.13309
642,0.13159
643,0.13034
644,0.12903
645,0.1277
646,0.12644
647,0.12528
648,0.12391
649,0.12297
650,0.12234
651,0.12135
652,0.1207
653,0.12017
654,0.1195
655,0.1188
656,0.11818
657,0.11736
658,0.11609
659,0.1152
660,0.11438
661,0.11337
662,0.11207
663,0.1113
664,0.11061
665,0.10962
666,0.10898
667,0.10848
668,0.10802
669,0.1076
670,0.10756
671,0.10762
672,0.10765
673,0.1078
674,0.10788
675,0.10815
676,0.10877
677,0.10911
678,0.1096
679,0.11034
680,0.11118
681,0.11202
682,0.11305
683,0.11438
684,0.11592
685,0.1176
686,0.11965
687,0.12229
688,0.12534
689,0.1292
690,0.13397
691,0.13951
692,0.14637
693,0.15424
694,0.16294
695,0.173
696,0.18382
697,0.19538
698,0.20775
699,0.22046
700,0.23351
701,0.24695
702,0.2608
703,0.27464
704,0.28827
705,0.30168
706,0.31518
707,0.3285
708,0.34168
709,0.35491
710,0.36799
711,0.38118
712,0.39442
713,0.40728
714,0.42026
715,0.43321
716,0.44596
717,0.4588
718,0.47136
719,0.48365
720,0.4958
721,0.50778
722,0.5194
723,0.53063
724,0.54164
725,0.55208
726,0.56196
727,0.57139
728,0.58052
729,0.58895
730,0.59687
731,0.60455
732,0.61156
733,0.61795
734,0.62388
735,0.62961
736,0.63516
737,0.64016
738,0.64447
739,0.6486
740,0.6527
741,0.65639
742,0.65929
743,0.66262
744,0.66546
745,0.66771
746,0.67013
747,0.67219
748,0.67373
749,0.6749
750,0.67628
751,0.67745
752,0.67844
753,0.67934
754,0.67978
755,0.68042
756,0.68125
757,0.68169
758,0.68225
759,0.68262
760,0.68274
761,0.68314
762,0.68337
763,0.68338
764,0.68329
765,0.68338
766,0.68354
767,0.68369
768,0.68377
769,0.68357
770,0.68361
771,0.68388
772,0.68356
773,0.68327
774,0.68335
775,0.68379
776,0.68394
777,0.68395
778,0.68385
779,0.6837
780,0.68396
781,0.68404
782,0.68393
783,0.68419
784,0.68411
785,0.68412
786,0.68449
787,0.6847
788,0.68482
789,0.68494
790,0.68511
791,0.68494
792,0.68491
793,0.68515
794,0.68549
795,0.68536
796,0.68524
797,0.68539
798,0.68566
799,0.68601
800,0.68613
801,0.68587
802,0.68583
803,0.68575
804,0.68571
805,0.68581
806,0.68578
807,0.68571
808,0.68565
809,0.6856
810,0.68535
811,0.68508
812,0.68502
813,0.68528
814,0.68514
815,0.6848
816,0.68457
817,0.68435
818,0.68395
819,0.68364
820,0.68368
821,0.68312
822,0.68267
823,0.68242
824,0.68182
825,0.68136
826,0.68073
827,0.6799
828,0.67937
829,0.67872
830,0.67772
