wl,value
360,0.05392
361,0.06985
362,0.08045
363,0.07786
364,0.07398
365,0.07993
366,0.07921
367,0.07767
368,0.07451
369,0.06624
370,0.07307
371,0.08413
372,0.08727
373,0.07546
374,0.0714
375,0.07358
376,0.07363
377,0.07498
378,0.0768
379,0.07656
380,0.0714
381,0.07369
382,0.07732
383,0.07766
384,0.08016
385,0.07841
386,0.07453
387,0.07324
388,0.07327
389,0.0741
390,0.07525
391,0.07627
392,0.07362
393,0.07124
394,0.07229
395,0.07438
396,0.07443
397,0.07463
398,0.07815
399,0.0744
400,0.07286
401,0.07597
402,0.07481
403,0.07624
404,0.07729
405,0.07539
406,0.07762
407,0.07872
408,0.07848
409,0.07962
410,0.0772
411,0.07541
412,0.07689
413,0.07967
414,0.081
415,0.08031
416,0.07848
417,0.07861
418,0.07961
419,0.08073
420,0.08171
421,0.08325
422,0.083
423,0.08069
424,0.08235
425,0.08388
426,0.08397
427,0.08304
428,0.08355
429,0.08417
430,0.08416
431,0.08417
432,0.08452
433,0.0845
434,0.08375
435,0.08432
436,0.08463
437,0.0846
438,0.08522
439,0.08565
440,0.08571
441,0.08545
442,0.08514
443,0.08587
444,0.08631
445,0.08488
446,0.08468
447,0.08538
448,0.08622
449,0.0863
450,0.08687
451,0.08652
452,0.08482
453,0.08664
454,0.08757
455,0.08702
456,0.08694
457,0.08755
458,0.08775
459,0.08701
460,0.08609
461,0.08608
462,0.08645
463,0.08627
464,0.08635
465,0.08712
466,0.08771
467,0.08606
468,0.08611
469,0.08666
470,0.08626
471,0.08589
472,0.08561
473,0.08584
474,0.08691
475,0.08668
476,0.08618
477,0.08602
478,0.08556
479,0.08578
480,0.08608
481,0.08572
482,0.08565
483,0.08531
484,0.08491
485,0.08528
486,0.08535
487,0.08532
488,0.08546
489,0.08568
490,0.08557
491,0.08556
492,0.08628
493,0.08625
494,0.08635
495,0.08688
496,0.08697
497,0.08714
498,0.08727
499,0.08729
500,0.0881
501,0.08885
502,0.08928
503,0.08966
504,0.09011
505,0.091
506,0.09239
507,0.09341
508,0.09446
509,0.09552
510,0.0965
511,0.0981
512,0.09973
513,0.10112
514,0.10265
515,0.10453
516,0.10641
517,0.10813
518,0.11076
519,0.11304
520,0.11489
521,0.11715
522,0.11938
523,0.12161
524,0.12395
525,0.1266
526,0.12891
527,0.13078
528,0.13244
529,0.13483
530,0.13707
531,0.13876
532,0.14024
533,0.14165
534,0.14307
535,0.14449
536,0.14563
537,0.14662
538,0.14756
539,0.14853
540,0.14944
541,0.15038
542,0.15136
543,0.15236
544,0.15312
545,0.15359
546,0.15384
547,0.15425
548,0.15459
549,0.15483
550,0.15533
551,0.15556
552,0.15562
553,0.15569
554,0.15588
555,0.15564
556,0.15502
557,0.1545
558,0.15405
559,0.15343
560,0.15255
561,0.15159
562,0.15072
563,0.14991
564,0.14898
565,0.14794
566,0.14665
567,0.14524
568,0.14408
569,0.1428
570,0.14137
571,0.13988
572,0.13842
573,0.13697
574,0.13557
575,0.13425
576,0.13292
577,0.13185
578,0.13108
579,0.13003
580,0.12887
581,0.12783
582,0.12712
583,0.12635
584,0.12569
585,0.12504
586,0.12401
587,0.12311
588,0.12252
589,0.12217
590,0.12148
591,0.1209
592,0.12056
593,0.12037
594,0.11987
595,0.11924
596,0.11869
597,0.11834
598,0.11815
599,0.11792
600,0.11749
601,0.11732
602,0.11688
603,0.1161
604,0.11529
605,0.11465
606,0.11407
607,0.11339
608,0.11245
609,0.11155
610,0.11087
611,0.11038
612,0.10941
613,0.10818
614,0.10696
615,0.10594
616,0.10489
617,0.10398
618,0.10335
619,0.10268
620,0.102
621,0.1014
622,0.10101
623,0.10038
624,0.09985
625,0.09964
626,0.09953
627,0.09922
628,0.0989
629,0.09893
630,0.0989
631,0.09884
632,0.09868
633,0.09814
634,0.09762
635,0.09717
636,0.09672
637,0.09608
638,0.09512
639,0.09404
640,0.0932
641,0.09227
642,0.09136
643,0.09052
644,0.08971
645,0.08861
