wl,value
360,0.04589
361,0.05094
362,0.05002
363,0.04302
364,0.03681
365,0.03771
366,0.04392
367,0.04165
368,0.03462
369,0.03771
370,0.04498
371,0.0448
372,0.03556
373,0.03499
374,0.04364
375,0.04739
376,0.03608
377,0.04066
378,0.04565
379,0.04413
380,0.03905
381,0.0394
382,0.04546
383,0.05252
384,0.04967
385,0.04704
386,0.04685
387,0.0479
388,0.04839
389,0.05027
390,0.05134
391,0.04552
392,0.03909
393,0.0375
394,0.04242
395,0.04797
396,0.04945
397,0.0468
398,0.04306
399,0.04187
400,0.04495
401,0.04968
402,0.04855
403,0.04636
404,0.04659
405,0.04967
406,0.04695
407,0.0459
408,0.04813
409,0.05093
410,0.0504
411,0.04906
412,0.04875
413,0.04837
414,0.04965
415,0.05104
416,0.05058
417,0.04952
418,0.04896
419,0.04885
420,0.0482
421,0.04886
422,0.04924
423,0.04844
424,0.04886
425,0.05027
426,0.05128
427,0.05039
428,0.04933
429,0.04899
430,0.04942
431,0.04963
432,0.0495
433,0.04927
434,0.04916
435,0.0489
436,0.04947
437,0.05017
438,0.04917
439,0.04887
440,0.04927
441,0.04975
442,0.04902
443,0.04905
444,0.04958
445,0.04964
446,0.04989
447,0.0498
448,0.04929
449,0.04887
450,0.04931
451,0.04988
452,0.04977
453,0.04906
454,0.04882
455,0.04906
456,0.0491
457,0.04896
458,0.04935
459,0.05013
460,0.0494
461,0.04914
462,0.04957
463,0.05009
464,0.04941
465,0.0485
466,0.04825
467,0.04922
468,0.04916
469,0.04857
470,0.04832
471,0.04852
472,0.04898
473,0.04934
474,0.04916
475,0.04806
476,0.04687
477,0.04666
478,0.04889
479,0.049
480,0.04808
481,0.04825
482,0.04791
483,0.04772
484,0.04795
485,0.04842
486,0.04914
487,0.04889
488,0.04749
489,0.04778
490,0.04883
491,0.04948
492,0.04877
493,0.04912
494,0.04937
495,0.04906
496,0.04924
497,0.04987
498,0.05048
499,0.05065
500,0.05056
501,0.05061
502,0.05076
503,0.05068
504,0.0512
505,0.05185
506,0.05223
507,0.05262
508,0.05267
509,0.05273
510,0.05328
511,0.05379
512,0.05412
513,0.05426
514,0.05436
515,0.05476
516,0.05517
517,0.05531
518,0.05578
519,0.05647
520,0.05712
521,0.05736
522,0.0574
523,0.0578
524,0.05866
525,0.05895
526,0.05945
527,0.05991
528,0.0599
529,0.06025
530,0.06071
531,0.06112
532,0.06149
533,0.06168
534,0.06197
535,0.06253
536,0.06294
537,0.06334
538,0.06376
539,0.0641
540,0.06415
541,0.06423
542,0.06463
543,0.06549
544,0.0662
545,0.0667
546,0.06722
547,0.06822
548,0.06913
549,0.06981
550,0.07079
551,0.07169
552,0.07267
553,0.07387
554,0.07495
555,0.07614
556,0.07746
557,0.07883
558,0.08044
559,0.08205
560,0.08366
561,0.08584
562,0.08782
563,0.08974
564,0.09204
565,0.09465
566,0.09724
567,0.09977
568,0.10258
569,0.10534
570,0.10834
571,0.11178
572,0.11501
573,0.11844
574,0.12217
575,0.12611
576,0.13032
577,0.13467
578,0.13909
579,0.1436
580,0.1483
581,0.1531
582,0.15788
583,0.16278
584,0.16794
585,0.17329
586,0.17846
587,0.18396
588,0.18965
589,0.19544
590,0.20153
591,0.20761
592,0.21347
593,0.21908
594,0.22523
595,0.23136
596,0.23704
597,0.24244
598,0.24761
599,0.25276
600,0.258
601,0.26274
602,0.26747
603,0.27213
604,0.27614
605,0.28008
606,0.28371
607,0.28679
608,0.28963
609,0.29202
610,0.29379
611,0.29493
612,0.29674
613,0.29865
614,0.30021
615,0.3014
616,0.3026
617,0.30354
618,0.30404
619,0.30469
620,0.30563
621,0.30671
622,0.30761
623,0.30852
624,0.30945
625,0.31044
626,0.31179
627,0.31295
628,0.31389
629,0.31483
630,0.31622
631,0.31757
632,0.31868
633,0.31972
634,0.3203
635,0.32069
636,0.32108
637,0.32098
638,0.32031
639,0.31932
640,0.31839
641,0.31709
642,0.31532
643,0.31315
644,0.31078
645,0.30824
646,0.30559
647,0.30288
648,0.3002
649,0.29743
650,0.29471
651,0.29233
652,0.28977
653,0.28717
654,0.2845
655,0.28111
656,0.2774
657,0.27327
658,0.26846
659,0.26273
660,0.25665
661,0.25047
662,0.24399
663,0.23709
664,0.23012
665,0.22347
666,0.21725
667,0.21162
668,0.20654
669,0.20184
670,0.19751
671,0.19416
672,0.19182
673,0.18972
674,0.18793
675,0.18654
676,0.18563
677,0.18521
678,0.18511
679,0.18569
680,0.1876
681,0.19065
682,0.19489
683,0.20061
684,0.2085
685,0.21853
686,0.23042
687,0.24388
688,0.259
689,0.27538
690,0.29272
691,0.31079
692,0.32911
693,0.34755
694,0.36601
695,0.38414
696,0.40228
697,0.42007
698,0.43706
699,0.45358
700,0.46949
701,0.48482
702,0.49966
703,0.51337
704,0.5261
705,0.5382
706,0.55009
707,0.56167
708,0.57267
709,0.58285
710,0.59246
711,0.60204
712,0.61148
713,0.62005
714,0.6287
715,0.63705
716,0.64479
717,0.65253
718,0.66038
719,0.66774
720,0.67402
721,0.68058
722,0.687
723,0.69306
724,0.69887
725,0.70408
726,0.70889
727,0.7136
728,0.71831
729,0.72242
730,0.72587
731,0.72894
732,0.73207
733,0.73507
734,0.73776
735,0.74001
736,0.74215
737,0.74432
738,0.7465
739,0.74829
740,0.75008
741,0.7519
742,0.75356
743,0.75475
744,0.75581
745,0.75704
746,0.75856
747,0.75924
748,0.75985
749,0.76086
750,0.76144
751,0.7619
752,0.76226
753,0.76251
754,0.76307
755,0.76381
756,0.76442
757,0.7645
758,0.76463
759,0.76489
760,0.76529
761,0.76592
762,0.76552
763,0.76495
764,0.7653
765,0.76588
766,0.76606
767,0.76606
768,0.7665
769,0.76665
770,0.76638
771,0.76595
772,0.76603
773,0.76666
774,0.76708
775,0.7669
776,0.76751
777,0.76746
778,0.76733
779,0.76821
780,0.76804
781,0.76811
782,0.76875
783,0.76917
784,0.76933
785,0.76957
786,0.76994
787,0.76964
788,0.77003
789,0.77072
790,0.771
791,0.77133
792,0.77143
793,0.7715
794,0.77207
795,0.77289
796,0.77323
797,0.77319
798,0.77399
799,0.77414
800,0.77418
801,0.77468
802,0.77521
803,0.77548
804,0.77566
805,0.77599
806,0.77575
807,0.77592
808,0.77652
809,0.77673
810,0.77726
811,0.77761
812,0.77749
813,0.77727
814,0.77754
815,0.77821
816,0.77885
817,0.77864
818,0.77827
819,0.77807
820,0.77813
821,0.77801
822,0.7779
823,0.77773
824,0.77723
825,0.77713
826,0.77702
827,0.77654
828,0.77567
829,0.77457
830,0.7739
