wl,value
360,0.06687
361,0.06577
362,0.0659
363,0.06522
364,0.0646
365,0.06519
366,0.06673
367,0.0668
368,0.06543
369,0.06441
370,0.06523
371,0.06533
372,0.06402
373,0.0651
374,0.0653
375,0.06499
376,0.06523
377,0.06436
378,0.0641
379,0.06481
380,0.06545
381,0.06352
382,0.06228
383,0.06363
384,0.06463
385,0.06426
386,0.06328
387,0.06311
388,0.06457
389,0.06471
390,0.06353
391,0.06412
392,0.06485
393,0.06486
394,0.06403
395,0.06357
396,0.06341
397,0.06356
398,0.06401
399,0.06424
400,0.06412
401,0.06396
402,0.06457
403,0.06405
404,0.06338
405,0.06365
406,0.06385
407,0.06387
408,0.0637
409,0.06344
410,0.06393
411,0.06426
412,0.0639
413,0.06336
414,0.06356
415,0.0641
416,0.06423
417,0.06374
418,0.0636
419,0.06394
420,0.0641
421,0.06426
422,0.06432
423,0.06429
424,0.06459
425,0.06485
426,0.06515
427,0.06569
428,0.06613
429,0.06655
430,0.06702
431,0.06748
432,0.06808
433,0.06872
434,0.06927
435,0.06977
436,0.07062
437,0.07164
438,0.07228
439,0.07306
440,0.07394
441,0.07484
442,0.07577
443,0.07662
444,0.07748
445,0.07847
446,0.07928
447,0.07997
448,0.08066
449,0.08158
450,0.08221
451,0.08276
452,0.08353
453,0.08434
454,0.08492
455,0.08536
456,0.08596
457,0.08654
458,0.08697
459,0.08724
460,0.0875
461,0.08798
462,0.08842
463,0.08858
464,0.08904
465,0.08932
466,0.08938
467,0.08971
468,0.08994
469,0.09015
470,0.09041
471,0.09038
472,0.09058
473,0.09093
474,0.09105
475,0.09115
476,0.09128
477,0.09143
478,0.09152
479,0.0916
480,0.09172
481,0.0919
482,0.09211
483,0.09219
484,0.09224
485,0.09255
486,0.09282
487,0.09299
488,0.09315
489,0.09359
490,0.09398
491,0.09433
492,0.09476
493,0.09525
494,0.09575
495,0.09628
496,0.09692
497,0.09758
498,0.09827
499,0.09906
500,0.09989
501,0.10083
502,0.10181
503,0.10264
504,0.10378
505,0.10511
506,0.10648
507,0.10781
508,0.10916
509,0.11062
510,0.11228
511,0.11403
512,0.11586
513,0.11778
514,0.11971
515,0.12182
516,0.124
517,0.12614
518,0.1285
519,0.13085
520,0.13316
521,0.13552
522,0.13788
523,0.14031
524,0.14279
525,0.14502
526,0.14733
527,0.14969
528,0.15192
529,0.15412
530,0.15625
531,0.1583
532,0.16036
533,0.16232
534,0.16424
535,0.16617
536,0.16803
537,0.16979
538,0.1715
539,0.17322
540,0.17488
541,0.17646
542,0.17799
543,0.1795
544,0.18108
545,0.18261
546,0.18394
547,0.18535
548,0.18671
549,0.18795
550,0.18907
551,0.19009
552,0.19097
553,0.19168
554,0.19225
555,0.19266
556,0.19289
557,0.19298
558,0.19292
559,0.19273
560,0.1924
561,0.1919
562,0.19132
563,0.19064
564,0.18978
565,0.18882
566,0.18778
567,0.18669
568,0.18556
569,0.1843
570,0.18299
571,0.18167
572,0.18028
573,0.17891
574,0.17761
575,0.17638
576,0.17519
577,0.1741
578,0.17312
579,0.17212
580,0.17126
581,0.17041
582,0.16939
583,0.16845
584,0.16765
585,0.16694
586,0.16623
587,0.16558
588,0.165
589,0.16444
