wl,value
360,0.0718
361,0.07184
362,0.07175
363,0.07223
364,0.07197
365,0.07031
366,0.07056
367,0.07108
368,0.07102
369,0.07035
370,0.07088
371,0.07148
372,0.07148
373,0.07193
374,0.07171
375,0.07218
376,0.07404
377,0.07117
378,0.07034
379,0.07217
380,0.07184
381,0.07101
382,0.07079
383,0.07144
384,0.07164
385,0.0714
386,0.07087
387,0.07046
388,0.07152
389,0.07211
390,0.07177
391,0.07175
392,0.07159
393,0.07165
394,0.07195
395,0.07103
396,0.07077
397,0.07103
398,0.07082
399,0.07115
400,0.07133
401,0.07107
402,0.07071
403,0.07039
404,0.07055
405,0.07128
406,0.07127
407,0.07085
408,0.07044
409,0.07045
410,0.07075
411,0.07095
412,0.07085
413,0.07057
414,0.07104
415,0.07159
416,0.07133
417,0.07108
418,0.07107
419,0.07128
420,0.07144
421,0.07143
422,0.07163
423,0.0721
424,0.07176
425,0.07192
426,0.07238
427,0.07236
428,0.07253
429,0.07279
430,0.07303
431,0.07327
432,0.07302
433,0.07273
434,0.07287
435,0.07305
436,0.07322
437,0.07342
438,0.07374
439,0.07407
440,0.07432
441,0.07447
442,0.07445
443,0.07444
444,0.07463
445,0.07506
446,0.07507
447,0.07503
448,0.07515
449,0.07539
450,0.07562
451,0.07578
452,0.07585
453,0.07596
454,0.07619
455,0.07639
456,0.07633
457,0.0765
458,0.07679
459,0.07697
460,0.0766
461,0.07674
462,0.07709
463,0.077
464,0.07697
465,0.07713
466,0.07736
467,0.07728
468,0.07722
469,0.07726
470,0.07737
471,0.07736
472,0.07742
473,0.07751
474,0.07753
475,0.0775
476,0.07762
477,0.07785
478,0.07774
479,0.07764
480,0.07766
481,0.07779
482,0.07784
483,0.07789
484,0.07795
485,0.07797
486,0.0779
487,0.0779
488,0.07805
489,0.07803
490,0.07815
491,0.07838
492,0.07851
493,0.07857
494,0.07871
495,0.07889
496,0.0789
497,0.07909
498,0.0794
499,0.07966
500,0.07972
501,0.07996
502,0.08034
503,0.08049
504,0.08071
505,0.0811
506,0.08163
507,0.08199
508,0.08239
509,0.08292
510,0.08354
511,0.08421
512,0.08488
513,0.08556
514,0.08632
515,0.08718
516,0.08819
517,0.08936
518,0.09045
519,0.09157
520,0.09279
521,0.09414
522,0.09541
523,0.09674
524,0.09821
525,0.09957
526,0.10086
527,0.10215
528,0.10349
529,0.1047
530,0.10584
531,0.10698
532,0.10808
533,0.10907
534,0.10999
535,0.1109
536,0.11167
537,0.11238
538,0.11308
539,0.11372
540,0.11423
541,0.11465
542,0.11506
543,0.11559
544,0.11603
545,0.11645
546,0.11697
547,0.11766
548,0.11826
549,0.11867
550,0.11898
551,0.11917
552,0.11928
553,0.11933
554,0.11922
555,0.11906
556,0.11884
557,0.1185
558,0.11806
559,0.11755
560,0.11699
561,0.11637
562,0.11572
563,0.11502
564,0.11426
565,0.11352
566,0.11271
567,0.11182
568,0.11093
569,0.10998
570,0.10896
571,0.10788
572,0.10688
573,0.10591
574,0.10496
575,0.10408
576,0.10327
577,0.10256
578,0.10193
579,0.10132
580,0.10079
581,0.10032
582,0.09984
583,0.09942
584,0.09904
585,0.09868
586,0.09829
587,0.09783
588,0.09737
589,0.09697
590,0.09657
591,0.09626
592,0.09605
593,0.09592
594,0.09575
595,0.09562
596,0.09556
597,0.09539
598,0.0953
599,0.0952
600,0.09497
601,0.09479
602,0.09463
603,0.0944
604,0.09402
605,0.0937
606,0.09335
607,0.09293
608,0.0925
609,0.09199
610,0.09139
611,0.09072
612,0.09033
613,0.09007
614,0.08981
615,0.0895
616,0.08922
617,0.08895
618,0.08863
619,0.08835
620,0.08813
621,0.08794
622,0.08779
623,0.08761
624,0.08745
625,0.08735
626,0.08726
627,0.0872
628,0.08718
629,0.0872
630,0.08717
631,0.0871
632,0.08705
633,0.08706
634,0.08701
635,0.08688
636,0.0867
637,0.08652
638,0.08631
639,0.08605
640,0.08571
641,0.08536
642,0.08503
643,0.08468
644,0.08427
645,0.08393
646,0.0836
647,0.08323
648,0.08298
649,0.08268
650,0.08236
651,0.08213
652,0.08195
653,0.0818
654,0.08162
655,0.08138
656,0.08118
657,0.08101
658,0.08079
659,0.08053
660,0.08026
661,0.08001
662,0.07984
663,0.07969
664,0.07952
665,0.07933
666,0.07923
667,0.07918
668,0.07911
669,0.079
670,0.07899
671,0.07904
672,0.0791
673,0.07911
674,0.07914
675,0.07924
676,0.07941
677,0.07953
678,0.07966
679,0.07984
680,0.08005
681,0.08024
682,0.08047
683,0.08081
684,0.08123
685,0.08166
686,0.08214
687,0.08275
688,0.08352
689,0.08445
690,0.08559
691,0.08702
692,0.08879
693,0.09094
694,0.09354
695,0.09664
696,0.10034
697,0.10464
698,0.10953
699,0.11512
700,0.12137
701,0.12826
702,0.13574
703,0.1437
704,0.15217
705,0.16112
706,0.17043
707,0.1801
708,0.19006
709,0.20029
710,0.2107
711,0.2214
712,0.23232
713,0.24321
714,0.25425
715,0.26545
716,0.27671
717,0.2878
718,0.29889
719,0.30998
720,0.32098
721,0.33191
722,0.34269
723,0.35321
724,0.36335
725,0.37341
726,0.38323
727,0.39266
728,0.40179
729,0.41067
730,0.41914
731,0.42702
732,0.4348
733,0.44226
734,0.44932
735,0.45613
736,0.46245
737,0.46832
738,0.4739
739,0.47955
740,0.48467
741,0.48935
742,0.4939
743,0.49804
744,0.50198
745,0.50581
746,0.5095
747,0.51255
748,0.51538
749,0.51824
750,0.52089
751,0.52316
752,0.52522
753,0.52733
754,0.52928
755,0.53091
756,0.53232
757,0.53381
758,0.53513
759,0.53629
760,0.53734
761,0.53841
762,0.53922
763,0.53995
764,0.54078
765,0.54134
766,0.54189
767,0.54251
768,0.54316
769,0.54379
770,0.54415
771,0.54428
772,0.54464
773,0.54505
774,0.54538
775,0.54561
776,0.54588
777,0.54606
778,0.54623
779,0.54656
780,0.5469
781,0.54708
782,0.54718
783,0.54754
784,0.54766
785,0.54778
786,0.54806
787,0.54807
788,0.54827
789,0.54852
790,0.54859
791,0.54879
792,0.54899
793,0.54909
794,0.54905
795,0.54941
796,0.5496
797,0.54952
798,0.54985
799,0.54994
800,0.54999
801,0.55025
802,0.55055
803,0.55066
804,0.55071
805,0.55092
806,0.55089
807,0.55094
808,0.55114
809,0.55127
810,0.5515
811,0.55176
812,0.55194
813,0.55192
814,0.55203
815,0.55225
816,0.55251
817,0.55268
818,0.55285
819,0.55306
820,0.5533
821,0.55341
822,0.5536
823,0.55376
824,0.55365
825,0.55396
826,0.55424
827,0.55424
828,0.55429
829,0.5545
830,0.55468
