wl,value
360,0.04503
361,0.04558
362,0.04533
363,0.04598
364,0.04658
365,0.04621
366,0.0464
367,0.04655
368,0.04612
369,0.04494
370,0.04597
371,0.04628
372,0.04488
373,0.04572
374,0.04587
375,0.0455
376,0.04552
377,0.04553
378,0.0451
379,0.04429
380,0.04362
381,0.04458
382,0.04517
383,0.04441
384,0.04477
385,0.04537
386,0.04554
387,0.04499
388,0.0453
389,0.0455
390,0.04524
391,0.04502
392,0.04531
393,0.04593
394,0.04647
395,0.04637
396,0.04637
397,0.0468
398,0.0476
399,0.04759
400,0.0475
401,0.04784
402,0.04863
403,0.04849
404,0.04831
405,0.04904
406,0.04974
407,0.04984
408,0.04971
409,0.05026
410,0.0508
411,0.05115
412,0.05135
413,0.05172
414,0.05217
415,0.05255
416,0.05277
417,0.05319
418,0.05347
419,0.05365
420,0.05408
421,0.05442
422,0.05475
423,0.0551
424,0.0552
425,0.05531
426,0.05551
427,0.05579
428,0.05593
429,0.05608
430,0.05629
431,0.05643
432,0.05652
433,0.05668
434,0.05699
435,0.05718
436,0.05738
437,0.05758
438,0.05766
439,0.05797
440,0.05834
441,0.05861
442,0.05878
443,0.05903
444,0.05937
445,0.05973
446,0.06011
447,0.0605
448,0.06084
449,0.06106
450,0.06143
451,0.06184
452,0.06216
453,0.06261
454,0.06304
455,0.06339
456,0.06369
457,0.06384
458,0.064
459,0.06424
460,0.06446
461,0.06457
462,0.06467
463,0.0649
464,0.06508
465,0.0652
466,0.06528
467,0.06532
468,0.06536
469,0.06543
470,0.06552
471,0.06558
472,0.06565
473,0.06576
474,0.06594
475,0.06605
476,0.06602
477,0.06594
478,0.06611
479,0.06626
480,0.06637
481,0.06649
482,0.06665
483,0.06679
484,0.06688
485,0.06699
486,0.06719
487,0.06747
488,0.06779
489,0.06811
490,0.06849
491,0.06899
492,0.06964
493,0.07024
494,0.07087
495,0.07157
496,0.07235
497,0.07321
498,0.07425
499,0.07552
500,0.0767
501,0.07802
502,0.07957
503,0.08131
504,0.08311
505,0.08506
506,0.08721
507,0.08951
508,0.09194
509,0.09459
510,0.09752
511,0.10047
512,0.10358
513,0.10692
514,0.11036
515,0.11396
516,0.11771
517,0.12156
518,0.12541
519,0.12931
520,0.13327
521,0.13724
522,0.14111
523,0.14486
524,0.14849
525,0.15201
526,0.15538
527,0.15854
528,0.16148
529,0.16424
530,0.16683
531,0.16922
532,0.17135
533,0.17336
534,0.17521
535,0.17686
536,0.17841
537,0.17977
538,0.18098
539,0.18213
540,0.18322
541,0.18423
542,0.18518
543,0.18613
544,0.18704
545,0.18791
546,0.18876
547,0.18949
548,0.1902
549,0.19086
550,0.19136
551,0.19185
552,0.1922
553,0.19228
554,0.19218
555,0.19186
556,0.19133
557,0.19065
558,0.18975
559,0.18867
560,0.18748
561,0.18618
562,0.18473
563,0.18314
564,0.18143
565,0.17961
566,0.17767
567,0.17564
568,0.17353
569,0.17132
570,0.16905
571,0.16677
572,0.16453
573,0.16231
574,0.16015
575,0.15814
576,0.15623
577,0.15443
578,0.15275
579,0.15124
580,0.14982
581,0.14846
582,0.14713
583,0.14588
584,0.14471
585,0.14362
586,0.14258
587,0.14165
588,0.14076
589,0.13988
590,0.13915
591,0.13849
592,0.13788
593,0.13732
594,0.13681
595,0.13633
596,0.13588
597,0.13543
598,0.13505
599,0.13464
600,0.13411
601,0.13357
602,0.13295
603,0.13223
604,0.1314
605,0.13048
606,0.12946
607,0.12832
608,0.1271
609,0.12581
610,0.1245
611,0.12319
612,0.12183
613,0.12045
614,0.11909
615,0.11781
616,0.11656
617,0.11536
618,0.11425
619,0.11331
620,0.11247
621,0.11171
622,0.11106
623,0.11043
624,0.10991
625,0.10952
626,0.10923
627,0.10901
628,0.10882
629,0.10866
630,0.10861
631,0.1085
632,0.10829
633,0.10805
634,0.10766
635,0.10712
636,0.10645
637,0.10563
638,0.10465
639,0.10353
640,0.10229
641,0.10085
642,0.09934
643,0.0978
644,0.09621
645,0.09457
646,0.09292
647,0.09135
648,0.08992
649,0.08863
650,0.08749
651,0.08654
652,0.08569
653,0.0849
654,0.08411
655,0.08326
656,0.08231
657,0.08124
658,0.08003
659,0.07871
660,0.07733
661,0.07591
662,0.07447
663,0.07309
664,0.07181
665,0.07064
666,0.06959
667,0.06866
668,0.06786
669,0.06717
670,0.06665
671,0.06628
672,0.06602
673,0.06584
674,0.06575
675,0.06576
676,0.06586
677,0.06601
678,0.06629
679,0.0667
680,0.06719
681,0.06787
682,0.06879
683,0.06996
684,0.07145
685,0.07334
686,0.07575
687,0.07879
688,0.08258
689,0.08719
690,0.09272
691,0.09918
692,0.10661
693,0.11494
694,0.12409
695,0.13399
696,0.14456
697,0.15568
698,0.16716
699,0.17902
700,0.19112
701,0.20335
702,0.21565
703,0.22803
704,0.2404
705,0.25268
706,0.26482
707,0.27689
708,0.28885
709,0.3007
710,0.31256
711,0.32433
712,0.336
713,0.34767
714,0.3593
715,0.37087
716,0.38236
717,0.39374
718,0.40506
719,0.41627
720,0.42731
721,0.43822
722,0.44902
723,0.45968
724,0.47006
725,0.48015
726,0.48999
727,0.49959
728,0.50881
729,0.51768
730,0.52623
731,0.53447
732,0.54232
733,0.54982
734,0.55699
735,0.56377
736,0.57025
737,0.57643
738,0.58229
739,0.58774
740,0.59288
741,0.59773
742,0.60227
743,0.60653
744,0.61045
745,0.61406
746,0.61744
747,0.62064
748,0.62355
749,0.62612
750,0.62859
751,0.6309
752,0.63302
753,0.63493
754,0.63665
755,0.63823
756,0.63967
757,0.64092
758,0.64217
759,0.6433
760,0.64425
761,0.64525
762,0.64611
763,0.64689
764,0.64767
765,0.64827
766,0.64882
767,0.64939
768,0.65
769,0.65043
770,0.65081
771,0.65125
772,0.65172
773,0.65201
774,0.65225
775,0.65259
776,0.65291
777,0.65326
778,0.65361
779,0.6539
780,0.6542
781,0.65448
782,0.65471
783,0.65491
784,0.65513
785,0.65538
786,0.65562
787,0.65584
788,0.65599
789,0.65618
790,0.65647
791,0.6566
792,0.65677
793,0.657
794,0.65721
795,0.6573
796,0.6574
797,0.65756
798,0.65774
799,0.65792
800,0.65804
801,0.65811
802,0.65822
803,0.65837
804,0.65849
805,0.65851
806,0.6585
807,0.65856
808,0.65868
809,0.65878
810,0.65877
811,0.65877
812,0.65884
813,0.65886
814,0.65888
815,0.65894
816,0.65906
817,0.65907
818,0.6591
819,0.65912
820,0.65908
821,0.65916
822,0.65926
823,0.65929
824,0.65922
825,0.65908
826,0.65901
827,0.65901
828,0.65889
829,0.65881
830,0.65878
