wl,value
360,0.03916
361,0.03943
362,0.04087
363,0.04134
364,0.04061
365,0.03955
366,0.04071
367,0.04161
368,0.0414
369,0.04053
370,0.03977
371,0.0399
372,0.04076
373,0.04065
374,0.04073
375,0.04048
376,0.03933
377,0.03896
378,0.0398
379,0.0409
380,0.04033
381,0.03968
382,0.03938
383,0.0395
384,0.04001
385,0.04012
386,0.04
387,0.04003
388,0.03961
389,0.03954
390,0.03988
391,0.0398
392,0.03944
393,0.03925
394,0.03948
395,0.03969
396,0.0398
397,0.03981
398,0.03983
399,0.03996
400,0.04
401,0.03986
402,0.03954
403,0.03937
404,0.03949
405,0.03981
406,0.03967
407,0.0397
408,0.03991
409,0.0399
410,0.03968
411,0.03987
412,0.04048
413,0.04038
414,0.0405
415,0.04071
416,0.04066
417,0.04068
418,0.0408
419,0.04101
420,0.04126
421,0.04144
422,0.04162
423,0.04188
424,0.04211
425,0.04244
426,0.0428
427,0.0431
428,0.04335
429,0.04354
430,0.0437
431,0.04391
432,0.04433
433,0.04478
434,0.045
435,0.04495
436,0.04516
437,0.04554
438,0.04553
439,0.04563
440,0.04579
441,0.04593
442,0.04608
443,0.04631
444,0.04651
445,0.04651
446,0.0467
447,0.04693
448,0.04709
449,0.04711
450,0.04722
451,0.04743
452,0.04766
453,0.04766
454,0.0478
455,0.04801
456,0.04803
457,0.04818
458,0.04839
459,0.04853
460,0.04845
461,0.04844
462,0.04857
463,0.04878
464,0.04882
465,0.04882
466,0.04886
467,0.04894
468,0.0491
469,0.04916
470,0.04905
471,0.04918
472,0.04922
473,0.04919
474,0.04922
475,0.04917
476,0.04916
477,0.04924
478,0.04935
479,0.04938
480,0.04934
481,0.0493
482,0.04943
483,0.04952
484,0.04955
485,0.04973
486,0.04986
487,0.04996
488,0.05008
489,0.05028
490,0.05045
491,0.05059
492,0.05076
493,0.05092
494,0.05113
495,0.05143
496,0.05179
497,0.05207
498,0.05234
499,0.05269
500,0.05312
501,0.05354
502,0.05397
503,0.05445
504,0.05498
505,0.05559
506,0.05626
507,0.05694
508,0.05767
509,0.05847
510,0.05935
511,0.06034
512,0.0614
513,0.06252
514,0.06375
515,0.06503
516,0.06637
517,0.06778
518,0.06929
519,0.07083
520,0.07238
521,0.07396
522,0.07566
523,0.07734
524,0.07894
525,0.08055
526,0.08213
527,0.08363
528,0.08504
529,0.08635
530,0.08764
531,0.08888
532,0.08998
533,0.09105
534,0.09201
535,0.09282
536,0.09363
537,0.09436
538,0.09502
539,0.09568
540,0.09629
541,0.09692
542,0.09758
543,0.09815
544,0.0987
545,0.09919
546,0.09953
547,0.0997
548,0.09985
549,0.10007
550,0.1003
551,0.10049
552,0.10061
553,0.10065
554,0.10055
555,0.10038
556,0.10014
557,0.09976
558,0.09928
559,0.09873
560,0.09812
561,0.0974
562,0.0966
563,0.09576
564,0.09492
565,0.09405
566,0.09322
567,0.0924
568,0.09149
569,0.09052
570,0.08952
571,0.08855
572,0.08767
573,0.08682
574,0.08595
575,0.08503
576,0.08418
577,0.0834
578,0.08268
579,0.0819
580,0.08116
581,0.08052
582,0.08
583,0.0796
584,0.07926
585,0.07893
586,0.07855
587,0.07819
588,0.07782
589,0.07745
590,0.07709
591,0.07682
592,0.07666
593,0.07657
594,0.07638
595,0.07618
596,0.07599
597,0.07576
598,0.07561
599,0.07549
600,0.07532
601,0.07514
602,0.07491
603,0.0746
604,0.07421
605,0.07381
606,0.0734
607,0.07294
608,0.07245
609,0.07198
610,0.07159
611,0.07128
612,0.07078
613,0.07015
614,0.06949
615,0.06892
616,0.06839
617,0.06795
618,0.0676
619,0.06725
620,0.06693
621,0.06665
622,0.06638
623,0.06616
624,0.06596
625,0.06577
626,0.0657
627,0.06563
628,0.06554
629,0.06548
630,0.06543
631,0.06541
632,0.06537
633,0.06524
634,0.06509
635,0.06489
636,0.06462
637,0.06434
638,0.064
639,0.0636
640,0.06314
641,0.06266
642,0.06214
643,0.06158
644,0.06105
645,0.06049
646,0.05994
647,0.05944
648,0.05897
649,0.05852
650,0.05812
651,0.05778
652,0.05748
653,0.05719
654,0.05687
655,0.05652
656,0.05618
657,0.05581
658,0.05539
659,0.05496
660,0.05453
661,0.05408
662,0.05365
663,0.05326
664,0.05291
665,0.05256
666,0.05228
667,0.05204
668,0.05185
669,0.0517
670,0.05158
671,0.05151
672,0.0515
673,0.05153
674,0.05157
675,0.05164
676,0.05176
677,0.0519
678,0.05207
679,0.05228
680,0.05255
681,0.05287
682,0.05325
683,0.05371
684,0.05426
685,0.05493
686,0.05575
687,0.05674
688,0.05799
689,0.05951
690,0.06134
691,0.06355
692,0.06621
693,0.06935
694,0.07298
695,0.0771
696,0.08173
697,0.08686
698,0.09246
699,0.09851
700,0.10496
701,0.11176
702,0.11888
703,0.12629
704,0.13391
705,0.14169
706,0.14961
707,0.15763
708,0.16574
709,0.17394
710,0.18218
711,0.19045
712,0.19875
713,0.20708
714,0.21537
715,0.22367
716,0.23196
717,0.24017
718,0.24831
719,0.25636
720,0.26432
721,0.27213
722,0.2798
723,0.28735
724,0.29468
725,0.30176
726,0.3086
727,0.31521
728,0.32156
729,0.32768
730,0.33356
731,0.33914
732,0.34445
733,0.34951
734,0.35433
735,0.35888
736,0.36316
737,0.36721
738,0.37104
739,0.37467
740,0.37803
741,0.38117
742,0.38414
743,0.3869
744,0.38949
745,0.39189
746,0.39407
747,0.39609
748,0.39797
749,0.39972
750,0.4013
751,0.40276
752,0.40411
753,0.40535
754,0.40646
755,0.40747
756,0.4084
757,0.4093
758,0.4101
759,0.41083
760,0.41152
761,0.41213
762,0.41268
763,0.41321
764,0.41373
765,0.41413
766,0.41451
767,0.41489
768,0.41523
769,0.41554
770,0.41583
771,0.41613
772,0.41642
773,0.41669
774,0.41692
775,0.41713
776,0.41741
777,0.41763
778,0.41781
779,0.41799
780,0.41823
781,0.41846
782,0.41865
783,0.4188
784,0.41903
785,0.41926
786,0.41944
787,0.41962
788,0.4198
789,0.41996
790,0.42008
791,0.42025
792,0.42043
793,0.4206
794,0.42073
795,0.42082
796,0.42093
797,0.42105
798,0.42115
799,0.42122
800,0.42129
801,0.42139
802,0.4215
803,0.42158
804,0.42164
805,0.42172
806,0.42173
807,0.42174
808,0.42179
809,0.42185
810,0.42189
811,0.42188
812,0.42182
813,0.42182
814,0.42186
815,0.42186
816,0.42181
817,0.42182
818,0.42178
819,0.42172
820,0.42168
821,0.42163
822,0.4216
823,0.42155
824,0.42146
825,0.42143
826,0.42139
