wl,value
360,0.11303
361,0.11257
362,0.11066
363,0.1103
364,0.11088
365,0.11099
366,0.11018
367,0.10966
368,0.1096
369,0.1095
370,0.10993
371,0.10978
372,0.10894
373,0.10963
374,0.11039
375,0.11025
376,0.10899
377,0.10882
378,0.10961
379,0.11037
380,0.10963
381,0.10919
382,0.10961
383,0.11027
384,0.10841
385,0.10742
386,0.10764
387,0.10824
388,0.1089
389,0.10867
390,0.10792
391,0.10828
392,0.10736
393,0.10686
394,0.10789
395,0.10806
396,0.10808
397,0.10776
398,0.1068
399,0.10686
400,0.10724
401,0.10731
402,0.10676
403,0.10673
404,0.10699
405,0.10707
406,0.10713
407,0.10682
408,0.10663
409,0.10739
410,0.10767
411,0.10778
412,0.10795
413,0.10778
414,0.10777
415,0.10805
416,0.10852
417,0.10853
418,0.10856
419,0.10883
420,0.10921
421,0.10966
422,0.10986
423,0.10973
424,0.11002
425,0.11046
426,0.11087
427,0.11112
428,0.11127
429,0.11136
430,0.11149
431,0.11172
432,0.11177
433,0.11178
434,0.11193
435,0.11199
436,0.11219
437,0.11251
438,0.11276
439,0.11294
440,0.11333
441,0.11395
442,0.11412
443,0.11423
444,0.11437
445,0.11458
446,0.11482
447,0.11498
448,0.11503
449,0.11505
450,0.1151
451,0.11524
452,0.11549
453,0.11577
454,0.116
455,0.11614
456,0.11623
457,0.11638
458,0.11645
459,0.11639
460,0.11644
461,0.11658
462,0.11669
463,0.11667
464,0.11685
465,0.11695
466,0.1169
467,0.11683
468,0.11686
469,0.1169
470,0.1169
471,0.11709
472,0.11726
473,0.11729
474,0.11714
475,0.11708
476,0.11715
477,0.11731
478,0.11743
479,0.11743
480,0.11738
481,0.11739
482,0.11746
483,0.11749
484,0.1175
485,0.11758
486,0.11762
487,0.11771
488,0.11791
489,0.11809
490,0.11843
491,0.11878
492,0.11894
493,0.1193
494,0.11972
495,0.12015
496,0.12072
497,0.1213
498,0.12186
499,0.1224
500,0.12288
501,0.12351
502,0.12433
503,0.1252
504,0.12604
505,0.12697
506,0.12807
507,0.12923
508,0.13044
509,0.13177
510,0.13325
511,0.13473
512,0.13642
513,0.13831
514,0.1401
515,0.14218
516,0.14446
517,0.14676
518,0.14904
519,0.15144
520,0.15399
521,0.15665
522,0.15929
523,0.16196
524,0.16464
525,0.16719
526,0.16973
527,0.17225
528,0.1747
529,0.17699
530,0.17917
531,0.18125
532,0.18318
533,0.18502
534,0.18674
535,0.18831
536,0.18979
537,0.19115
538,0.19241
539,0.19358
540,0.19446
541,0.19522
542,0.19598
543,0.19658
544,0.19738
545,0.19834
546,0.19928
547,0.2005
548,0.20168
549,0.20259
550,0.20319
551,0.20364
552,0.20399
553,0.20422
554,0.20429
555,0.20419
556,0.20395
557,0.20361
558,0.20308
559,0.20242
560,0.20166
561,0.20077
562,0.19984
563,0.19885
564,0.19776
565,0.19657
566,0.19527
567,0.19382
568,0.19221
569,0.19053
570,0.18886
571,0.18724
572,0.18561
573,0.18409
574,0.18276
575,0.18165
576,0.18041
577,0.17931
578,0.17846
579,0.17757
580,0.17674
581,0.17596
582,0.17514
583,0.17427
584,0.17347
585,0.17274
586,0.17192
587,0.17106
588,0.17022
589,0.16944
590,0.16882
591,0.16843
592,0.16818
593,0.16791
594,0.1677
595,0.16751
596,0.16731
597,0.16701
598,0.16672
599,0.16637
600,0.16591
601,0.16569
602,0.16541
603,0.16498
604,0.16454
605,0.16398
606,0.16333
607,0.1626
608,0.16183
609,0.16086
610,0.15962
611,0.15821
612,0.15746
613,0.15708
614,0.15675
615,0.15619
616,0.15556
617,0.15495
618,0.15442
619,0.15393
620,0.15344
621,0.153
622,0.1527
623,0.15248
624,0.15232
625,0.15221
626,0.15216
627,0.15211
628,0.15206
629,0.152
630,0.15194
631,0.15193
632,0.15198
633,0.152
634,0.15184
635,0.15156
636,0.1512
637,0.15072
638,0.15014
639,0.14943
640,0.14852
641,0.14758
642,0.1466
643,0.14559
644,0.14452
645,0.14352
646,0.14258
647,0.14164
648,0.14073
649,0.13996
650,0.13932
651,0.13873
652,0.13826
653,0.13782
654,0.13737
655,0.13689
656,0.13633
657,0.13574
658,0.13516
659,0.13446
660,0.13372
661,0.133
662,0.13234
663,0.13166
664,0.13104
665,0.13053
666,0.12998
667,0.12957
668,0.12927
669,0.12897
670,0.12884
671,0.12878
672,0.12874
673,0.12875
674,0.12888
675,0.12905
676,0.12922
677,0.12947
678,0.12983
679,0.13025
680,0.13069
681,0.13128
682,0.13199
683,0.13281
684,0.13387
685,0.13523
686,0.13685
687,0.13871
688,0.14102
689,0.14391
690,0.14741
691,0.1515
692,0.15627
693,0.16183
694,0.16824
695,0.17556
696,0.18369
697,0.19253
698,0.20203
699,0.21218
700,0.22289
701,0.23398
702,0.24523
703,0.25672
704,0.26826
705,0.27967
706,0.29103
707,0.3021
708,0.31293
709,0.32368
710,0.33426
711,0.34441
712,0.35414
713,0.3637
714,0.37299
715,0.38192
716,0.39045
717,0.39865
718,0.40658
719,0.41419
720,0.4214
721,0.42829
722,0.43483
723,0.44107
724,0.44718
725,0.45294
726,0.45818
727,0.46298
728,0.468
729,0.47247
730,0.47645
731,0.48032
732,0.48416
733,0.48762
734,0.49069
735,0.49375
736,0.4966
737,0.49921
738,0.50159
739,0.50378
740,0.50609
741,0.50826
742,0.50997
743,0.5116
744,0.51313
745,0.51461
746,0.51609
747,0.51731
