wl,value
360,0.02578
361,0.02435
362,0.02554
363,0.02643
364,0.02645
365,0.02589
366,0.02586
367,0.02556
368,0.02516
369,0.02541
370,0.02561
371,0.02578
372,0.02597
373,0.02615
374,0.02588
375,0.0255
376,0.02551
377,0.02603
378,0.02628
379,0.02614
380,0.02612
381,0.0259
382,0.02583
383,0.02609
384,0.02629
385,0.02613
386,0.02581
387,0.02569
388,0.02589
389,0.02586
390,0.02571
391,0.02625
392,0.02644
393,0.02645
394,0.02655
395,0.02678
396,0.02684
397,0.02689
398,0.0272
399,0.02724
400,0.02721
401,0.02734
402,0.02775
403,0.02766
404,0.02762
405,0.02811
406,0.02806
407,0.0283
408,0.02868
409,0.02852
410,0.02879
411,0.02921
412,0.02951
413,0.0297
414,0.02998
415,0.03031
416,0.03056
417,0.03079
418,0.03094
419,0.03109
420,0.03148
421,0.03186
422,0.03216
423,0.0324
424,0.03263
425,0.03293
426,0.03323
427,0.03344
428,0.03371
429,0.03404
430,0.03437
431,0.03457
432,0.03476
433,0.03496
434,0.03512
435,0.03531
436,0.03554
437,0.03577
438,0.03596
439,0.03617
440,0.03637
441,0.03656
442,0.0367
443,0.03681
444,0.03696
445,0.03723
446,0.03737
447,0.03751
448,0.03768
449,0.03782
450,0.038
451,0.03816
452,0.03825
453,0.03828
454,0.03834
455,0.03848
456,0.0387
457,0.03879
458,0.03882
459,0.03886
460,0.03902
461,0.03905
462,0.03905
463,0.0392
464,0.03927
465,0.03925
466,0.03919
467,0.03922
468,0.03929
469,0.03933
470,0.03935
471,0.03944
472,0.03951
473,0.03954
474,0.03959
475,0.03961
476,0.0396
477,0.03958
478,0.03963
479,0.03975
480,0.03985
481,0.03986
482,0.03986
483,0.03986
484,0.03989
485,0.03998
486,0.04001
487,0.04005
488,0.04012
489,0.04018
490,0.04021
491,0.04027
492,0.04043
493,0.04057
494,0.04067
495,0.04078
496,0.04098
497,0.04119
498,0.0414
499,0.04162
500,0.0418
501,0.04203
502,0.04233
503,0.04265
504,0.04299
505,0.04335
506,0.04374
507,0.04421
508,0.04468
509,0.04518
510,0.04572
511,0.04631
512,0.04696
513,0.04768
514,0.04844
515,0.04927
516,0.05018
517,0.05115
518,0.05212
519,0.05316
520,0.05426
521,0.05541
522,0.05658
523,0.05776
524,0.05893
525,0.06012
526,0.06127
527,0.06237
528,0.06342
529,0.06441
530,0.06538
531,0.06631
532,0.06709
533,0.06783
534,0.06852
535,0.06912
536,0.06966
537,0.07017
538,0.07063
539,0.07101
540,0.0714
541,0.07179
542,0.07214
543,0.07245
544,0.07275
545,0.07302
546,0.0732
547,0.07337
548,0.07354
549,0.0737
550,0.07384
551,0.07393
552,0.07397
553,0.07394
554,0.07378
555,0.07355
556,0.07328
557,0.07294
558,0.07257
559,0.07213
560,0.07163
561,0.07115
562,0.07065
563,0.07011
564,0.06957
565,0.069
566,0.0684
567,0.06772
568,0.06698
569,0.06623
570,0.06551
571,0.06482
572,0.06412
573,0.06344
574,0.0628
575,0.0622
576,0.06169
577,0.06121
578,0.06072
579,0.0603
580,0.05991
581,0.05954
582,0.05922
583,0.0589
584,0.05859
585,0.05829
586,0.05803
587,0.05778
588,0.05754
589,0.05729
590,0.05708
591,0.05692
592,0.05681
593,0.05673
594,0.0566
595,0.05648
596,0.05642
597,0.05639
598,0.05632
599,0.05623
600,0.05616
601,0.05606
602,0.05592
603,0.05573
604,0.05552
605,0.05528
606,0.05502
607,0.05474
608,0.0544
609,0.05407
610,0.05375
611,0.05344
612,0.0531
613,0.05276
614,0.05243
615,0.05209
616,0.05179
617,0.05155
618,0.05132
619,0.05109
620,0.05088
621,0.05072
622,0.05058
623,0.05045
624,0.05032
625,0.05021
626,0.05018
627,0.05015
628,0.05009
629,0.05004
630,0.05003
631,0.05003
632,0.05001
633,0.04999
634,0.04994
635,0.04986
636,0.04976
637,0.04963
638,0.04947
639,0.0493
640,0.0491
641,0.04891
642,0.04871
643,0.0485
644,0.04828
645,0.04802
646,0.04776
647,0.04754
648,0.04729
649,0.04707
650,0.0469
651,0.04676
652,0.04664
653,0.04651
654,0.04637
655,0.04622
656,0.04604
657,0.04584
658,0.04563
659,0.04542
660,0.04517
661,0.04491
662,0.04468
663,0.04447
664,0.04427
665,0.04411
666,0.04398
667,0.04387
668,0.0438
669,0.0438
670,0.04382
671,0.04387
672,0.04398
673,0.04412
674,0.04429
675,0.04448
676,0.04469
677,0.04497
678,0.04528
679,0.04563
680,0.04603
681,0.04646
682,0.04692
683,0.04741
684,0.04795
685,0.04852
686,0.04913
687,0.0498
688,0.05054
689,0.0514
690,0.05243
691,0.05362
692,0.05504
693,0.05676
694,0.05878
695,0.06112
696,0.06381
697,0.06686
698,0.07025
699,0.07395
700,0.07797
701,0.08228
702,0.08684
703,0.09162
704,0.0966
705,0.10176
706,0.10707
707,0.11256
708,0.1182
709,0.124
710,0.12997
711,0.13613
712,0.14245
713,0.14894
714,0.15562
715,0.16247
716,0.16949
717,0.1767
718,0.18405
719,0.19153
720,0.19914
721,0.20683
722,0.21463
723,0.22248
724,0.23035
725,0.2382
726,0.24602
727,0.25379
728,0.26146
729,0.26902
730,0.27643
731,0.28366
732,0.29069
733,0.2975
734,0.30409
735,0.31043
736,0.31651
737,0.32234
738,0.3279
739,0.33317
740,0.33816
741,0.34285
742,0.34725
