wl,value
360,0.16869
361,0.16849
362,0.16704
363,0.1664
364,0.16742
365,0.16939
366,0.16739
367,0.16515
368,0.16448
369,0.16553
370,0.1668
371,0.16666
372,0.16512
373,0.16516
374,0.16586
375,0.1659
376,0.16463
377,0.16488
378,0.16549
379,0.16579
380,0.16573
381,0.1652
382,0.16476
383,0.16458
384,0.16373
385,0.16309
386,0.16307
387,0.1637
388,0.16409
389,0.16374
390,0.16312
391,0.16353
392,0.16255
393,0.16196
394,0.163
395,0.16326
396,0.16344
397,0.16311
398,0.16178
399,0.16188
400,0.16255
401,0.16285
402,0.16206
403,0.16226
404,0.16281
405,0.1628
406,0.16288
407,0.16264
408,0.16244
409,0.16308
410,0.16368
411,0.1639
412,0.16375
413,0.16365
414,0.16357
415,0.16362
416,0.16387
417,0.16392
418,0.16389
419,0.16385
420,0.16387
421,0.1641
422,0.16428
423,0.16426
424,0.16429
425,0.16424
426,0.16421
427,0.16436
428,0.1643
429,0.16411
430,0.16391
431,0.16372
432,0.16328
433,0.16283
434,0.16261
435,0.16216
436,0.16203
437,0.16225
438,0.16245
439,0.16271
440,0.16315
441,0.16373
442,0.16403
443,0.16414
444,0.16407
445,0.16394
446,0.16412
447,0.16425
448,0.1642
449,0.16421
450,0.16431
451,0.16438
452,0.16434
453,0.16441
454,0.16452
455,0.16463
456,0.16472
457,0.16469
458,0.16459
459,0.16451
460,0.16453
461,0.16462
462,0.16464
463,0.16448
464,0.16455
465,0.16455
466,0.16443
467,0.16437
468,0.16431
469,0.16422
470,0.16413
471,0.16425
472,0.16438
473,0.1644
474,0.16424
475,0.16416
476,0.16416
477,0.1642
478,0.16432
479,0.16434
480,0.16425
481,0.16408
482,0.1641
483,0.16413
484,0.16406
485,0.16387
486,0.16374
487,0.16376
488,0.1639
489,0.16387
490,0.16409
491,0.16441
492,0.16453
493,0.16483
494,0.16514
495,0.16538
496,0.1657
497,0.16615
498,0.16659
499,0.1669
500,0.16732
501,0.16779
502,0.16833
503,0.16901
504,0.16963
505,0.17037
506,0.17134
507,0.17225
508,0.17326
509,0.17441
510,0.17571
511,0.17703
512,0.17858
513,0.18038
514,0.18213
515,0.18424
516,0.18651
517,0.18876
518,0.19119
519,0.19377
520,0.1965
521,0.19936
522,0.20223
523,0.20511
524,0.20796
525,0.21078
526,0.21352
527,0.21616
528,0.2187
529,0.22108
530,0.22325
531,0.22521
532,0.22707
533,0.22872
534,0.23019
535,0.2315
536,0.23263
537,0.23366
538,0.23453
539,0.23511
540,0.23544
541,0.23556
542,0.2356
543,0.23568
544,0.2359
545,0.23631
546,0.237
547,0.23831
548,0.23961
549,0.2405
550,0.24101
551,0.24126
552,0.2414
553,0.2415
554,0.24138
555,0.2411
556,0.24066
557,0.23998
558,0.23904
559,0.23791
560,0.23667
561,0.23521
562,0.23358
563,0.23185
564,0.23004
565,0.22806
566,0.22597
567,0.22384
568,0.22178
569,0.21974
570,0.21774
571,0.21581
572,0.21391
573,0.2122
574,0.21073
575,0.20943
576,0.208
577,0.20667
578,0.20555
579,0.20443
580,0.20345
581,0.20255
582,0.20159
583,0.2007
584,0.19992
585,0.1992
586,0.19832
587,0.19738
588,0.19654
589,0.19591
590,0.19541
591,0.19495
592,0.19452
593,0.19414
594,0.19388
595,0.1937
596,0.19351
597,0.19318
598,0.19289
599,0.19259
600,0.19216
601,0.19178
602,0.19137
603,0.19091
604,0.19041
605,0.1898
606,0.18915
607,0.18847
608,0.18761
609,0.18652
610,0.18504
611,0.18323
612,0.18257
613,0.18253
614,0.18252
615,0.18209
616,0.18164
617,0.1812
618,0.18072
619,0.18028
620,0.1798
621,0.17937
622,0.17914
623,0.17893
624,0.17873
625,0.17855
626,0.17842
627,0.1783
628,0.17818
629,0.17804
630,0.17789
631,0.17778
632,0.17774
633,0.17774
634,0.17761
635,0.17735
636,0.17701
637,0.17657
638,0.17608
639,0.17552
640,0.17485
641,0.17416
642,0.17349
643,0.17282
644,0.17204
645,0.17137
646,0.17078
647,0.17022
648,0.1696
649,0.1691
650,0.16871
651,0.1683
652,0.16805
653,0.16785
654,0.16762
655,0.16738
656,0.16711
657,0.16682
658,0.16652
659,0.16616
660,0.1658
661,0.16549
662,0.16522
663,0.16495
664,0.16471
665,0.16453
666,0.16437
667,0.16429
668,0.16427
669,0.16427
670,0.1643
671,0.16439
672,0.16456
673,0.16471
674,0.16493
675,0.16519
676,0.16546
677,0.16575
678,0.16611
679,0.16651
680,0.16691
681,0.1674
682,0.16795
683,0.16854
684,0.16917
685,0.16994
686,0.17084
687,0.17186
688,0.17317
689,0.1748
690,0.17683
691,0.17933
692,0.18238
693,0.18614
694,0.19075
695,0.19621
696,0.20261
697,0.20993
698,0.21815
699,0.22744
700,0.23759
701,0.24844
702,0.25991
703,0.27205
704,0.28456
705,0.29727
706,0.31034
707,0.32353
708,0.33682
709,0.35028
710,0.36377
711,0.37715
712,0.39041
713,0.40368
714,0.41682
715,0.42971
716,0.44233
717,0.45473
718,0.46694
719,0.47882
720,0.49027
721,0.50145
722,0.51226
723,0.52271
724,0.53295
725,0.54271
726,0.55187
727,0.56051
728,0.56916
729,0.57714
730,0.58448
731,0.59152
732,0.59824
733,0.60458
734,0.61052
735,0.61613
736,0.6213
737,0.6262
738,0.63087
739,0.63486
740,0.6389
741,0.64282
742,0.6462
743,0.64939
744,0.65222
745,0.65479
746,0.65738
747,0.65965
748,0.66166
749,0.66352
750,0.66527
751,0.66671
752,0.66801
753,0.6694
754,0.67075
755,0.67169
756,0.67235
757,0.67326
758,0.67396
759,0.67458
760,0.6752
761,0.67562
762,0.67603
763,0.67647
764,0.67689
765,0.67713
766,0.67736
767,0.67759
768,0.67774
769,0.67797
770,0.67812
771,0.67816
772,0.67822
773,0.67824
774,0.67833
775,0.67854
776,0.67863
777,0.67851
778,0.67842
779,0.67864
780,0.67886
781,0.67897
782,0.67896
783,0.67894
784,0.67901
785,0.67907
786,0.67909
787,0.67921
788,0.67921
789,0.67918
790,0.67924
791,0.67914
792,0.67917
793,0.67932
794,0.67944
795,0.67958
796,0.67969
797,0.6797
798,0.6795
799,0.67963
800,0.67981
801,0.67976
802,0.67994
803,0.68004
804,0.68001
805,0.67999
806,0.68024
807,0.68012
808,0.67981
809,0.68018
810,0.68026
811,0.68034
812,0.68053
813,0.68041
814,0.6804
815,0.68047
816,0.6805
817,0.68044
818,0.68061
819,0.68088
820,0.68093
821,0.68086
822,0.68089
823,0.68102
824,0.68109
825,0.68124
826,0.68131
827,0.68132
828,0.68154
829,0.68157
830,0.68146
