wl,value
360,0.03933
361,0.03567
362,0.04712
363,0.04647
364,0.04213
365,0.04461
366,0.03578
367,0.0349
368,0.04195
369,0.04411
370,0.04301
371,0.04635
372,0.05376
373,0.04835
374,0.04385
375,0.04385
376,0.04685
377,0.04507
378,0.04395
379,0.04321
380,0.03786
381,0.03896
382,0.04112
383,0.0402
384,0.04133
385,0.03894
386,0.0361
387,0.03804
388,0.04416
389,0.04515
390,0.03955
391,0.03452
392,0.03624
393,0.03927
394,0.03891
395,0.03931
396,0.03981
397,0.04044
398,0.04114
399,0.03886
400,0.03583
401,0.03469
402,0.03805
403,0.0381
404,0.03708
405,0.03841
406,0.04072
407,0.0393
408,0.03609
409,0.03681
410,0.03775
411,0.03821
412,0.03831
413,0.03879
414,0.04082
415,0.04266
416,0.04211
417,0.0388
418,0.03874
419,0.04205
420,0.04336
421,0.04297
422,0.04308
423,0.0447
424,0.04495
425,0.044
426,0.04312
427,0.04375
428,0.0444
429,0.04419
430,0.04349
431,0.04423
432,0.04534
433,0.04594
434,0.04576
435,0.04651
436,0.04609
437,0.04542
438,0.04741
439,0.04752
440,0.04742
441,0.04835
442,0.04823
443,0.04779
444,0.04772
445,0.04849
446,0.04892
447,0.04948
448,0.04981
449,0.04849
450,0.04877
451,0.04989
452,0.05041
453,0.05011
454,0.04997
455,0.05024
456,0.05064
457,0.05026
458,0.05005
459,0.05051
460,0.05106
461,0.05071
462,0.0504
463,0.05123
464,0.05176
465,0.05132
466,0.05061
467,0.05157
468,0.05255
469,0.05243
470,0.05122
471,0.0515
472,0.05231
473,0.05258
474,0.05154
475,0.05113
476,0.05126
477,0.05161
478,0.05188
479,0.05191
480,0.05192
481,0.05206
482,0.05155
483,0.05122
484,0.05142
485,0.05198
486,0.05297
487,0.05357
488,0.05333
489,0.05289
490,0.05246
491,0.05236
492,0.05279
493,0.05298
494,0.05286
495,0.05293
496,0.05434
497,0.05473
498,0.05441
499,0.05432
500,0.05435
501,0.05498
502,0.05585
503,0.056
504,0.05663
505,0.0574
506,0.05795
507,0.05827
508,0.05882
509,0.05975
510,0.06094
511,0.06154
512,0.06245
513,0.06392
514,0.06529
515,0.06618
516,0.06695
517,0.06807
518,0.06959
519,0.07117
520,0.07261
521,0.07387
522,0.07509
523,0.07642
524,0.07787
525,0.07934
526,0.08071
527,0.08198
528,0.08317
529,0.08428
530,0.08503
531,0.08546
532,0.08607
533,0.08697
534,0.08796
535,0.08877
536,0.08917
537,0.0895
538,0.08986
539,0.09022
540,0.09083
541,0.09157
542,0.09228
543,0.09296
544,0.0932
545,0.09323
546,0.0934
547,0.09308
548,0.09275
549,0.09268
550,0.09275
551,0.09288
552,0.09302
553,0.09309
554,0.09267
555,0.09216
556,0.09174
557,0.09142
558,0.09084
559,0.09024
560,0.08975
561,0.08908
562,0.08852
563,0.08801
564,0.08732
565,0.08647
566,0.08561
567,0.08477
568,0.08384
569,0.08295
570,0.08208
571,0.08115
572,0.0801
573,0.07916
574,0.07835
575,0.07762
576,0.07714
577,0.07676
578,0.07628
579,0.07553
580,0.07478
581,0.07419
582,0.07383
583,0.07363
584,0.07326
585,0.07269
586,0.07222
587,0.07188
588,0.07162
589,0.07134
590,0.07094
591,0.07047
592,0.07011
593,0.07006
594,0.07001
595,0.0697
596,0.06921
597,0.06911
598,0.06894
599,0.06872
600,0.06861
601,0.06839
602,0.06814
603,0.06792
604,0.06774
605,0.0673
606,0.06685
607,0.06656
608,0.06612
609,0.06563
610,0.06534
611,0.06545
612,0.06519
613,0.06457
614,0.06373
615,0.06293
616,0.06251
617,0.06222
618,0.06172
619,0.06148
620,0.06102
621,0.06049
622,0.06042
623,0.0603
624,0.06011
625,0.05987
626,0.05948
627,0.05931
628,0.05927
629,0.05913
630,0.0591
631,0.05921
632,0.05932
633,0.05903
634,0.05872
635,0.05855
636,0.0585
637,0.05822
638,0.05784
639,0.05746
640,0.05711
641,0.05646
642,0.056
643,0.05582
644,0.0553
645,0.05497
646,0.05463
647,0.054
648,0.05344
649,0.05317
650,0.05306
651,0.05272
652,0.05243
653,0.05216
654,0.05185
655,0.05145
656,0.05125
657,0.05102
658,0.05048
659,0.05036
660,0.05011
661,0.04951
662,0.04888
663,0.04864
664,0.04844
665,0.04794
666,0.04736
667,0.04726
668,0.04739
669,0.04712
670,0.04682
671,0.0466
672,0.04646
673,0.04635
674,0.04649
675,0.04667
