wl,value
360,0.03809
361,0.04391
362,0.03232
363,0.03393
364,0.04062
365,0.0397
366,0.04398
367,0.04148
368,0.037
369,0.04481
370,0.04428
371,0.03452
372,0.02291
373,0.02697
374,0.03429
375,0.0381
376,0.036
377,0.03922
378,0.03665
379,0.03171
380,0.03942
381,0.04261
382,0.04089
383,0.03721
384,0.03594
385,0.0348
386,0.03432
387,0.0356
388,0.03727
389,0.03815
390,0.03816
391,0.03832
392,0.03843
393,0.03858
394,0.03831
395,0.03503
396,0.03472
397,0.03681
398,0.03773
399,0.03708
400,0.03639
401,0.0365
402,0.03699
403,0.03618
404,0.03521
405,0.03511
406,0.03397
407,0.0319
408,0.03079
409,0.03325
410,0.03672
411,0.03727
412,0.03501
413,0.03769
414,0.03734
415,0.03606
416,0.03773
417,0.03845
418,0.03886
419,0.03884
420,0.03759
421,0.03742
422,0.03744
423,0.03698
424,0.03758
425,0.03873
426,0.04
427,0.04083
428,0.03986
429,0.03932
430,0.04024
431,0.04161
432,0.04159
433,0.04086
434,0.04062
435,0.04122
436,0.04181
437,0.04251
438,0.04403
439,0.04397
440,0.04396
441,0.04511
442,0.04613
443,0.04567
444,0.04488
445,0.04549
446,0.04569
447,0.04597
448,0.04655
449,0.0473
450,0.04792
451,0.04802
452,0.04764
453,0.04831
454,0.04881
455,0.04893
456,0.04907
457,0.04848
458,0.04839
459,0.04931
460,0.04998
461,0.05058
462,0.05056
463,0.04961
464,0.04998
465,0.05036
466,0.05009
467,0.04941
468,0.04996
469,0.0503
470,0.04948
471,0.04972
472,0.05021
473,0.05068
474,0.05107
475,0.05055
476,0.05049
477,0.05122
478,0.05102
479,0.0508
480,0.05072
481,0.05072
482,0.05082
483,0.05051
484,0.0501
485,0.05053
486,0.05091
487,0.05096
488,0.05078
489,0.05124
490,0.05142
491,0.05148
492,0.05206
493,0.05276
494,0.05325
495,0.05339
496,0.05317
497,0.05389
498,0.05493
499,0.05543
500,0.05607
501,0.0568
502,0.05769
503,0.05886
504,0.05969
505,0.06049
506,0.0616
507,0.06306
508,0.06403
509,0.06524
510,0.06773
511,0.06918
512,0.07068
513,0.07271
514,0.07466
515,0.07631
516,0.07825
517,0.08089
518,0.08338
519,0.0856
520,0.08782
521,0.0905
522,0.09309
523,0.09563
524,0.09814
525,0.10033
526,0.1027
527,0.10517
528,0.10743
529,0.10954
530,0.11146
531,0.11321
532,0.11491
533,0.11654
534,0.1181
535,0.11956
536,0.12062
537,0.12185
538,0.12311
539,0.12376
540,0.12475
541,0.12598
542,0.12715
543,0.12812
544,0.12881
545,0.12929
546,0.12967
547,0.12978
548,0.12998
549,0.13036
550,0.13056
551,0.13065
552,0.13072
553,0.1308
554,0.13072
555,0.13041
556,0.12983
557,0.12904
558,0.12837
559,0.12752
560,0.12638
561,0.12536
562,0.12455
563,0.1237
564,0.12249
565,0.12127
566,0.12009
567,0.11887
568,0.11733
569,0.11609
570,0.11478
571,0.11306
572,0.11168
573,0.1102
574,0.10872
575,0.1076
576,0.10629
577,0.10509
578,0.10415
579,0.10308
580,0.10221
581,0.10143
582,0.10052
583,0.0999
584,0.09928
585,0.09855
586,0.09788
587,0.09713
588,0.09656
589,0.09624
590,0.09557
591,0.09507
592,0.09475
593,0.09434
594,0.09414
595,0.09392
596,0.09364
597,0.0936
598,0.09331
599,0.09298
600,0.09284
601,0.09233
602,0.09182
603,0.09142
604,0.09087
605,0.09021
606,0.08955
607,0.08891
608,0.08794
609,0.08712
610,0.08643
611,0.08564
612,0.08489
613,0.08381
614,0.08242
615,0.08138
616,0.08058
617,0.07984
618,0.07902
619,0.07843
620,0.07793
621,0.0775
622,0.07715
623,0.07666
624,0.07612
625,0.0757
626,0.07552
627,0.07548
628,0.07548
629,0.07548
630,0.07558
631,0.07574
632,0.07579
633,0.07546
634,0.07537
635,0.07526
636,0.07486
637,0.07442
638,0.07407
639,0.07366
640,0.07292
641,0.07217
642,0.07146
643,0.0707
644,0.0697
645,0.06882
646,0.0681
647,0.06746
648,0.0668
649,0.066
650,0.06518
651,0.06465
652,0.06415
653,0.0636
654,0.063
655,0.06242
656,0.06191
657,0.06128
658,0.06035
659,0.05944
660,0.05862
661,0.05784
662,0.05693
663,0.05594
664,0.05508
665,0.05445
666,0.05376
667,0.05311
668,0.05262
669,0.05242
670,0.05224
671,0.052
672,0.05178
673,0.05183
674,0.05185
675,0.05188
676,0.05204
677,0.05238
678,0.05284
679,0.05335
680,0.05385
681,0.05423
682,0.05488
683,0.05593
684,0.05699
685,0.05833
686,0.05994
687,0.06176
688,0.06389
689,0.06644
690,0.06954
691,0.07327
692,0.0775
693,0.08244
694,0.0882
695,0.09455
696,0.1014
697,0.10866
698,0.11631
699,0.1247
700,0.13318
701,0.1417
702,0.15075
703,0.1598
704,0.16888
705,0.17803
706,0.18717
707,0.19622
708,0.20518
709,0.21411
710,0.2229
711,0.23173
712,0.24062
713,0.24946
714,0.2582
715,0.26673
716,0.27508
717,0.28356
718,0.29195
719,0.30007
720,0.30786
721,0.31566
722,0.32328
723,0.33059
724,0.33757
725,0.34425
726,0.35062
727,0.35671
728,0.36265
729,0.36813
730,0.37318
731,0.37798
732,0.38241
733,0.3866
734,0.39057
735,0.39421
736,0.39763
737,0.40082
738,0.40376
739,0.40652
740,0.40906
741,0.41141
742,0.41364
743,0.41577
744,0.41765
745,0.41924
746,0.42063
747,0.42207
748,0.42337
749,0.42442
750,0.42533
751,0.42637
752,0.4273
753,0.42784
754,0.42852
755,0.42917
756,0.4297
757,0.43014
758,0.43045
759,0.43092
760,0.43156
761,0.43186
762,0.43209
763,0.43236
764,0.43266
765,0.43297
766,0.43305
767,0.43302
768,0.43323
769,0.43363
770,0.43386
771,0.43383
772,0.43386
773,0.434
774,0.4342
775,0.43436
776,0.43441
777,0.43454
778,0.43468
779,0.43474
780,0.43494
781,0.43513
782,0.4352
783,0.43514
784,0.43513
785,0.43528
786,0.43553
787,0.43548
788,0.43538
789,0.43544
790,0.43571
791,0.43578
792,0.43573
793,0.43567
794,0.43573
795,0.4359
796,0.43604
797,0.43608
798,0.436
799,0.43589
800,0.43589
801,0.43605
802,0.43598
803,0.43588
804,0.43579
805,0.43572
806,0.43566
807,0.43557
808,0.43547
809,0.4354
810,0.43547
811,0.4354
812,0.43511
813,0.43492
814,0.43499
815,0.435
816,0.43473
817,0.43463
818,0.43443
819,0.43423
820,0.43422
821,0.43408
822,0.43376
823,0.43332
824,0.43293
825,0.4327
826,0.43247
827,0.43217
828,0.432
829,0.43165
830,0.43118
