wl,value
360,0.05539
361,0.05426
362,0.05315
363,0.05089
364,0.04791
365,0.04543
366,0.0472
367,0.04944
368,0.04915
369,0.0447
370,0.0413
371,0.04193
372,0.04562
373,0.04497
374,0.04656
375,0.04845
376,0.04785
377,0.05092
378,0.05134
379,0.04685
380,0.03987
381,0.04325
382,0.04706
383,0.04436
384,0.0422
385,0.04692
386,0.05223
387,0.04944
388,0.04619
389,0.04464
390,0.04558
391,0.0489
392,0.05001
393,0.05035
394,0.05136
395,0.05143
396,0.04771
397,0.04402
398,0.04606
399,0.04737
400,0.05
401,0.05267
402,0.04904
403,0.04596
404,0.04623
405,0.05012
406,0.05458
407,0.05466
408,0.05189
409,0.05162
410,0.05097
411,0.05138
412,0.05317
413,0.05384
414,0.05365
415,0.05326
416,0.05322
417,0.05246
418,0.05293
419,0.05508
420,0.05769
421,0.0576
422,0.05577
423,0.05423
424,0.05541
425,0.05735
426,0.05883
427,0.05918
428,0.0594
429,0.05934
430,0.05929
431,0.06021
432,0.06131
433,0.0619
434,0.06178
435,0.06214
436,0.06246
437,0.06252
438,0.06241
439,0.06338
440,0.06423
441,0.0643
442,0.06527
443,0.06508
444,0.06414
445,0.06382
446,0.06465
447,0.06638
448,0.06768
449,0.06608
450,0.06508
451,0.06575
452,0.06768
453,0.06804
454,0.06752
455,0.06719
456,0.06816
457,0.06844
458,0.06857
459,0.06885
460,0.06844
461,0.06897
462,0.06924
463,0.06798
464,0.06901
465,0.06934
466,0.06861
467,0.06935
468,0.06939
469,0.06921
470,0.06945
471,0.0698
472,0.06966
473,0.06938
474,0.06966
475,0.06971
476,0.06937
477,0.06897
478,0.0695
479,0.06983
480,0.06987
481,0.06982
482,0.06959
483,0.06977
484,0.07025
485,0.07037
486,0.07081
487,0.07102
488,0.07073
489,0.0711
490,0.07119
491,0.07128
492,0.07199
493,0.07179
494,0.07184
495,0.07268
496,0.0737
497,0.07442
498,0.07488
499,0.07533
500,0.07587
501,0.07663
502,0.07744
503,0.07793
504,0.0791
505,0.08012
506,0.08064
507,0.08195
508,0.08345
509,0.08494
510,0.08641
511,0.08799
512,0.08947
513,0.09096
514,0.09309
515,0.09499
516,0.09686
517,0.09907
518,0.10139
519,0.10372
520,0.10588
521,0.10769
522,0.11017
523,0.11256
524,0.11448
525,0.11685
526,0.11934
527,0.12168
528,0.12365
529,0.12522
530,0.12676
531,0.12839
532,0.13001
533,0.13134
534,0.13253
535,0.13374
536,0.13497
537,0.13598
538,0.13669
539,0.1372
540,0.13812
541,0.13933
542,0.14055
543,0.14143
544,0.14195
545,0.14216
546,0.14221
547,0.14231
548,0.14213
549,0.14184
550,0.14227
551,0.14238
552,0.14214
553,0.14179
554,0.14157
555,0.14127
556,0.14084
557,0.14035
558,0.13966
559,0.13876
560,0.13774
561,0.13699
562,0.13624
563,0.13529
564,0.13407
565,0.13313
566,0.13217
567,0.13097
568,0.12955
569,0.12821
570,0.12688
571,0.12544
572,0.124
573,0.12261
574,0.12123
575,0.11975
576,0.1187
577,0.11788
578,0.11709
579,0.11632
580,0.11554
581,0.11475
582,0.11395
583,0.11327
584,0.11276
585,0.11233
586,0.1118
587,0.11122
588,0.11078
589,0.11051
590,0.10993
591,0.10944
592,0.10906
593,0.10864
594,0.10837
595,0.10814
596,0.10788
597,0.10755
598,0.10751
599,0.10758
600,0.10746
601,0.10726
602,0.10686
603,0.10626
604,0.10568
605,0.10521
606,0.10479
607,0.10429
608,0.10325
609,0.10249
610,0.10212
611,0.10182
612,0.10121
613,0.10026
614,0.09911
615,0.09806
616,0.09713
617,0.09635
618,0.09577
619,0.09551
620,0.09505
621,0.09441
622,0.09399
623,0.0938
624,0.09356
625,0.09319
626,0.09312
627,0.09301
628,0.09287
629,0.09283
630,0.093
631,0.09301
632,0.09284
633,0.09288
634,0.09274
635,0.09244
636,0.0921
637,0.09178
638,0.09146
639,0.09101
640,0.09029
641,0.08954
642,0.08884
643,0.08819
644,0.0874
645,0.08669
646,0.08602
647,0.08531
648,0.08466
649,0.0841
650,0.08361
651,0.08313
652,0.08253
653,0.08211
654,0.08197
655,0.0817
656,0.08094
657,0.07997
658,0.07933
659,0.07881
660,0.07817
661,0.07736
662,0.07652
663,0.07574
664,0.07505
665,0.07445
666,0.07399
667,0.07354
668,0.07309
669,0.07269
670,0.07247
671,0.07235
672,0.07226
673,0.07216
674,0.07219
675,0.07224
676,0.07225
677,0.0725
678,0.07279
679,0.07312
680,0.07363
681,0.07429
682,0.07502
683,0.07581
684,0.07674
685,0.07791
686,0.07932
687,0.08092
688,0.0828
689,0.08514
690,0.08794
691,0.09112
692,0.09461
693,0.09874
694,0.10362
695,0.10881
696,0.11443
697,0.12056
698,0.12725
699,0.13436
700,0.14166
701,0.14912
702,0.15691
703,0.16497
704,0.17313
705,0.18131
706,0.18956
707,0.1979
708,0.20632
709,0.21477
710,0.22305
711,0.23143
712,0.23995
713,0.24847
714,0.25686
715,0.26526
716,0.27373
717,0.28211
718,0.29035
719,0.29848
720,0.30656
721,0.31467
722,0.32232
723,0.32954
724,0.3369
725,0.34399
726,0.35069
727,0.35702
728,0.36305
729,0.36882
730,0.37431
731,0.37944
732,0.38432
733,0.38884
734,0.39302
735,0.39703
736,0.40072
737,0.40414
738,0.40737
739,0.41041
740,0.41321
741,0.4158
742,0.41819
743,0.42043
744,0.42249
745,0.42431
746,0.42588
747,0.42736
748,0.42879
749,0.43012
750,0.43118
751,0.4321
752,0.43294
753,0.43374
754,0.43444
755,0.43508
756,0.43567
757,0.43617
758,0.43664
759,0.43715
760,0.43765
761,0.43791
762,0.4382
763,0.4385
764,0.43874
765,0.4389
766,0.43909
767,0.43932
768,0.43952
769,0.43969
770,0.43983
771,0.43991
772,0.43985
773,0.4399
774,0.44001
775,0.44014
776,0.44032
777,0.4405
778,0.44053
779,0.44033
780,0.44028
781,0.44045
782,0.44073
783,0.44088
784,0.44077
785,0.44068
786,0.44083
787,0.44106
788,0.44092
789,0.44071
790,0.44088
791,0.44105
792,0.44116
793,0.44114
794,0.44094
795,0.44085
796,0.44096
797,0.44114
798,0.44104
799,0.44097
800,0.44087
801,0.44069
802,0.44065
803,0.44071
804,0.44074
805,0.44059
806,0.4405
807,0.44048
808,0.44048
809,0.44039
810,0.44016
811,0.44
812,0.43993
813,0.4397
814,0.43947
815,0.43931
816,0.43923
817,0.43899
818,0.43897
819,0.43895
820,0.43862
821,0.43842
822,0.43816
823,0.43785
824,0.43767
825,0.4375
826,0.43712
827,0.43657
828,0.43626
829,0.43599
830,0.43566
