wl,value
360,0.02623
361,0.0283
362,0.02518
363,0.02376
364,0.02752
365,0.03572
366,0.03812
367,0.03629
368,0.03217
369,0.02823
370,0.02795
371,0.02708
372,0.02496
373,0.02959
374,0.03166
375,0.02962
376,0.02601
377,0.02892
378,0.02652
379,0.02069
380,0.02465
381,0.03173
382,0.03267
383,0.02705
384,0.03336
385,0.03772
386,0.03691
387,0.03299
388,0.0333
389,0.03166
390,0.02797
391,0.02909
392,0.03368
393,0.03522
394,0.03084
395,0.02937
396,0.03032
397,0.03128
398,0.02953
399,0.02846
400,0.03034
401,0.03396
402,0.03391
403,0.03234
404,0.03218
405,0.03461
406,0.03432
407,0.03338
408,0.03305
409,0.03384
410,0.03458
411,0.03663
412,0.03966
413,0.03942
414,0.04139
415,0.04387
416,0.04392
417,0.04403
418,0.04613
419,0.04894
420,0.04862
421,0.05029
422,0.05379
423,0.05757
424,0.05937
425,0.06092
426,0.0632
427,0.0666
428,0.07062
429,0.0734
430,0.0749
431,0.07747
432,0.0799
433,0.08236
434,0.08535
435,0.08939
436,0.09319
437,0.09593
438,0.09729
439,0.09906
440,0.10101
441,0.1028
442,0.10449
443,0.10615
444,0.10771
445,0.10911
446,0.11052
447,0.11159
448,0.11255
449,0.11441
450,0.11636
451,0.11753
452,0.11789
453,0.12028
454,0.12118
455,0.1212
456,0.12326
457,0.1247
458,0.12632
459,0.12847
460,0.12987
461,0.13095
462,0.13202
463,0.13322
464,0.13403
465,0.13566
466,0.1375
467,0.13724
468,0.13803
469,0.13906
470,0.13929
471,0.1397
472,0.13952
473,0.139
474,0.13892
475,0.1396
476,0.13947
477,0.1383
478,0.13827
479,0.13773
480,0.13714
481,0.13737
482,0.13829
483,0.13932
484,0.14043
485,0.14201
486,0.14274
487,0.14386
488,0.14608
489,0.14762
490,0.14928
491,0.15105
492,0.15263
493,0.15412
494,0.15635
495,0.15936
496,0.16213
497,0.16398
498,0.16566
499,0.16808
500,0.1711
501,0.17385
502,0.17617
503,0.17855
504,0.18097
505,0.18372
506,0.18677
507,0.18924
508,0.19154
509,0.19397
510,0.1967
511,0.19944
512,0.20199
513,0.20433
514,0.20671
515,0.20957
516,0.21241
517,0.2147
518,0.21648
519,0.21889
520,0.22172
521,0.22371
522,0.22572
523,0.22774
524,0.22972
525,0.2317
526,0.23372
527,0.23556
528,0.23702
529,0.23853
530,0.23993
531,0.24121
532,0.24261
533,0.24411
534,0.24547
535,0.24655
536,0.24779
537,0.24889
538,0.24992
539,0.25121
540,0.25276
541,0.25451
542,0.25625
543,0.25781
544,0.25876
545,0.25912
546,0.25908
547,0.25855
548,0.25793
549,0.25759
550,0.25777
551,0.25803
552,0.25817
553,0.25811
554,0.25796
555,0.25745
556,0.25678
557,0.25643
558,0.25645
559,0.25637
560,0.25597
561,0.25562
562,0.25544
563,0.25526
564,0.25488
565,0.25509
566,0.25538
567,0.25543
568,0.25526
