wl,value
360,0.1028
361,0.10357
362,0.09023
363,0.08356
364,0.08985
365,0.10381
366,0.10144
367,0.09694
368,0.09549
369,0.09579
370,0.10076
371,0.10234
372,0.1001
373,0.11006
374,0.11126
375,0.1092
376,0.11316
377,0.10792
378,0.10651
379,0.11034
380,0.11036
381,0.10959
382,0.11165
383,0.11633
384,0.11474
385,0.1152
386,0.1184
387,0.12209
388,0.12579
389,0.12363
390,0.11811
391,0.12018
392,0.12376
393,0.12537
394,0.12451
395,0.12734
396,0.1294
397,0.13144
398,0.13566
399,0.13517
400,0.13353
401,0.1332
402,0.13392
403,0.13589
404,0.13798
405,0.13943
406,0.14126
407,0.14267
408,0.14394
409,0.14582
410,0.14645
411,0.14749
412,0.14979
413,0.15225
414,0.15323
415,0.15387
416,0.15561
417,0.15608
418,0.15716
419,0.15948
420,0.16229
421,0.1639
422,0.1649
423,0.16612
424,0.16764
425,0.16971
426,0.17147
427,0.17196
428,0.17321
429,0.1748
430,0.17624
431,0.17724
432,0.17881
433,0.18033
434,0.18129
435,0.18308
436,0.184
437,0.18416
438,0.18497
439,0.18531
440,0.18557
441,0.1859
442,0.18523
443,0.18594
444,0.1876
445,0.18873
446,0.18929
447,0.18929
448,0.18917
449,0.18986
450,0.19102
451,0.19168
452,0.19146
453,0.19244
454,0.19279
455,0.19264
456,0.19326
457,0.1933
458,0.19342
459,0.19388
460,0.19361
461,0.19351
462,0.19362
463,0.19385
464,0.19503
465,0.19561
466,0.19526
467,0.19498
468,0.19438
469,0.19406
470,0.19453
471,0.19559
472,0.19603
473,0.19556
474,0.19463
475,0.19541
476,0.19592
477,0.19532
478,0.19525
479,0.19535
480,0.19584
481,0.19669
482,0.19597
483,0.19582
484,0.19663
485,0.19721
486,0.19725
487,0.19731
488,0.19767
489,0.19748
490,0.1975
491,0.19785
492,0.19832
493,0.19864
494,0.19836
495,0.19774
496,0.19804
497,0.1991
498,0.19993
499,0.19983
500,0.2001
501,0.20061
502,0.20111
503,0.20135
504,0.20236
505,0.20358
506,0.2044
507,0.20457
508,0.20556
509,0.20716
510,0.20851
511,0.20995
512,0.21104
513,0.21188
514,0.21334
515,0.21491
516,0.21658
517,0.21836
518,0.21967
519,0.22142
520,0.22345
521,0.22487
522,0.22692
523,0.22901
524,0.23065
525,0.23213
526,0.23361
527,0.23524
528,0.23703
529,0.23844
530,0.2395
531,0.24044
532,0.24162
533,0.24255
534,0.24341
535,0.24437
536,0.24514
537,0.24574
538,0.24631
539,0.24705
540,0.24826
541,0.24985
542,0.25141
543,0.25207
544,0.25244
545,0.25248
546,0.252
547,0.25112
548,0.2505
549,0.25033
550,0.25015
551,0.24985
552,0.24957
553,0.24947
554,0.24938
555,0.24889
556,0.2482
557,0.24787
558,0.24749
559,0.24674
560,0.24567
561,0.245
562,0.24436
563,0.24345
564,0.24217
565,0.24123
566,0.24052
567,0.23982
568,0.23885
569,0.23789
570,0.23684
571,0.23567
572,0.23495
573,0.23402
574,0.23282
575,0.2317
576,0.23078
577,0.23002
578,0.22935
579,0.22863
580,0.22774
581,0.22692
582,0.22645
583,0.22624
584,0.22609
585,0.22586
586,0.22553
587,0.22512
588,0.22452
589,0.22373
590,0.22317
591,0.22258
592,0.22207
593,0.22193
594,0.22148
595,0.22121
596,0.22128
597,0.22098
598,0.22069
599,0.22052
600,0.22041
601,0.22011
602,0.21968
603,0.21925
604,0.21903
605,0.21862
606,0.21795
607,0.21712
608,0.21658
609,0.21609
610,0.2161
611,0.21693
612,0.21623
613,0.21481
614,0.21345
615,0.21246
616,0.21168
617,0.21094
618,0.21018
619,0.2097
620,0.2095
621,0.20932
622,0.20877
623,0.20824
624,0.20795
625,0.20786
626,0.20745
627,0.20729
628,0.20731
629,0.20725
630,0.20692
631,0.20679
632,0.20682
633,0.2064
634,0.20616
635,0.20585
636,0.20531
637,0.20517
638,0.20505
639,0.20466
640,0.20391
641,0.20332
642,0.2028
643,0.20226
644,0.20168
645,0.20098
646,0.20028
647,0.19973
648,0.19922
649,0.1988
650,0.1984
651,0.19796
652,0.19773
653,0.1975
654,0.19712
655,0.19672
656,0.19635
657,0.19593
658,0.19533
659,0.19468
660,0.194
661,0.19339
662,0.19301
663,0.19235
664,0.19159
665,0.19097
666,0.19059
667,0.19024
668,0.18994
669,0.1898
670,0.18943
671,0.18915
672,0.18913
673,0.18917
674,0.18915
675,0.18905
676,0.18895
677,0.18921
678,0.18946
679,0.18963
680,0.1899
681,0.19027
682,0.19077
683,0.19141
684,0.19205
685,0.1931
686,0.19426
687,0.19522
688,0.19674
689,0.19865
690,0.2008
691,0.20317
692,0.20597
693,0.20909
694,0.21256
695,0.21671
696,0.22096
697,0.22539
698,0.23029
699,0.23572
700,0.24127
701,0.24677
702,0.25236
703,0.25822
704,0.26432
705,0.27055
706,0.27667
707,0.28286
708,0.28921
709,0.29575
710,0.30211
711,0.30854
712,0.31517
713,0.32201
714,0.32896
715,0.33594
716,0.34287
717,0.34969
718,0.35679
719,0.36401
720,0.37101
721,0.3781
722,0.38527
723,0.39239
724,0.39921
725,0.40577
726,0.41233
727,0.41891
728,0.42488
729,0.43087
730,0.43678
731,0.44224
732,0.44729
733,0.45221
734,0.45695
735,0.46114
736,0.46526
737,0.46937
738,0.47329
739,0.47638
740,0.47962
741,0.48288
742,0.48564
743,0.48816
744,0.49071
745,0.49312
746,0.49482
747,0.49659
748,0.49833
749,0.49986
750,0.5012
751,0.5024
752,0.50359
753,0.50484
754,0.50567
755,0.50634
756,0.50695
757,0.50743
758,0.50817
759,0.50883
760,0.50927
761,0.50982
762,0.50994
763,0.50999
764,0.51038
765,0.5107
766,0.51095
767,0.51115
768,0.51132
769,0.51153
770,0.51171
771,0.51179
772,0.51171
773,0.51177
774,0.51199
775,0.51227
776,0.51212
777,0.51212
778,0.51228
779,0.51232
780,0.51222
781,0.51219
782,0.5123
783,0.51247
784,0.51273
785,0.51274
786,0.51243
787,0.5124
788,0.51252
789,0.51272
790,0.51288
791,0.51273
792,0.51254
793,0.51257
794,0.51294
795,0.51293
796,0.51281
797,0.51277
798,0.51271
799,0.51263
800,0.51267
801,0.51289
802,0.51295
803,0.51272
804,0.51245
805,0.51244
806,0.51224
807,0.51205
808,0.512
809,0.51214
810,0.51224
811,0.51213
812,0.51178
813,0.51144
814,0.51146
815,0.51151
816,0.51126
817,0.51106
818,0.51084
