wl,value
360,0.05822
361,0.05806
362,0.05968
363,0.06081
364,0.06149
365,0.06231
366,0.06294
367,0.0632
368,0.06364
369,0.06515
370,0.06614
371,0.06684
372,0.06758
373,0.06849
374,0.06969
375,0.07071
376,0.07116
377,0.0714
378,0.07166
379,0.07254
380,0.07495
381,0.07591
382,0.07613
383,0.07664
384,0.07798
385,0.07868
386,0.07929
387,0.08079
388,0.08156
389,0.08201
390,0.08253
391,0.08335
392,0.08402
393,0.08478
394,0.08564
395,0.08562
396,0.08652
397,0.08782
398,0.08819
399,0.08815
400,0.08861
401,0.08961
402,0.0903
403,0.0905
404,0.09089
405,0.09177
406,0.09179
407,0.0922
408,0.09303
409,0.09359
410,0.09385
411,0.09427
412,0.095
413,0.09566
414,0.09613
415,0.09659
416,0.0972
417,0.09779
418,0.0983
419,0.09888
420,0.09984
421,0.10046
422,0.10094
423,0.10155
424,0.10228
425,0.10298
426,0.10365
427,0.10439
428,0.10499
429,0.10556
430,0.1062
431,0.10684
432,0.10754
433,0.10829
434,0.10908
435,0.10982
436,0.11037
437,0.11079
438,0.1113
439,0.1117
440,0.11206
441,0.1125
442,0.11322
443,0.11383
444,0.11425
445,0.11456
446,0.11518
447,0.11569
448,0.11598
449,0.11641
450,0.11683
451,0.11726
452,0.1177
453,0.1181
454,0.11837
455,0.11861
456,0.11905
457,0.11943
458,0.11973
459,0.11999
460,0.12026
461,0.12047
462,0.12073
463,0.12111
464,0.12139
465,0.12168
466,0.12199
467,0.12222
468,0.12246
469,0.12273
470,0.12302
471,0.12321
472,0.12332
473,0.12346
474,0.12377
475,0.12399
476,0.12419
477,0.12441
478,0.12455
479,0.12469
480,0.12487
481,0.1251
482,0.12536
483,0.12565
484,0.12589
485,0.12597
486,0.12625
487,0.12658
488,0.12678
489,0.1269
490,0.12723
491,0.12767
492,0.12799
493,0.12819
494,0.12852
495,0.12902
496,0.12946
497,0.12992
498,0.13042
499,0.13094
500,0.13145
501,0.132
502,0.13257
503,0.13311
504,0.13382
505,0.13462
506,0.13542
507,0.13613
508,0.13701
509,0.13801
510,0.13895
511,0.13996
512,0.14104
513,0.14217
514,0.14322
515,0.14445
516,0.14578
517,0.14706
518,0.14829
519,0.14955
520,0.15089
521,0.15228
522,0.1537
523,0.15506
524,0.15635
525,0.15762
526,0.15893
527,0.16028
528,0.16161
529,0.1628
530,0.16398
531,0.16519
532,0.16634
533,0.16746
534,0.16857
535,0.16967
536,0.17076
537,0.17179
538,0.17276
539,0.17374
540,0.17481
541,0.17596
542,0.17711
543,0.1781
544,0.17907
545,0.17997
546,0.18073
547,0.18132
548,0.18192
549,0.18259
550,0.18334
551,0.18394
552,0.18446
553,0.18501
554,0.18547
555,0.18589
556,0.18627
557,0.18658
558,0.18685
559,0.18715
560,0.18749
561,0.1878
562,0.18809
563,0.18838
564,0.18868
565,0.18881
566,0.18888
567,0.18892
568,0.18886
569,0.18877
570,0.18866
571,0.18856
572,0.18854
573,0.18863
574,0.18885
575,0.18918
576,0.18952
577,0.1898
578,0.19001
579,0.19025
580,0.19048
581,0.19065
582,0.19073
583,0.19072
584,0.19069
585,0.19068
586,0.19067
587,0.19065
588,0.1906
589,0.19053
590,0.19066
591,0.19099
592,0.19143
593,0.19188
594,0.19226
595,0.19258
596,0.19284
597,0.19293
598,0.19307
599,0.19326
600,0.19342
601,0.1935
602,0.19363
603,0.1938
604,0.19392
605,0.19397
606,0.19399
607,0.19403
608,0.19405
609,0.19409
610,0.19422
611,0.19442
612,0.19425
613,0.19394
614,0.19371
615,0.19359
616,0.1934
617,0.19324
618,0.19323
619,0.19323
620,0.19325
621,0.19329
622,0.19339
623,0.19341
624,0.19349
625,0.19369
626,0.19385
627,0.19409
628,0.19434
629,0.19451
630,0.19477
631,0.195
632,0.19514
633,0.19529
634,0.19532
635,0.1953
636,0.19526
637,0.19507
638,0.19475
639,0.19436
640,0.19394
641,0.1934
642,0.19276
643,0.19209
644,0.19147
645,0.19078
646,0.19011
647,0.18952
648,0.18898
649,0.18851
650,0.18812
651,0.1878
652,0.18749
653,0.18721
654,0.18696
655,0.18668
656,0.18636
657,0.18599
658,0.18553
659,0.18504
660,0.18447
661,0.1838
662,0.18309
663,0.18237
664,0.18167
665,0.18102
666,0.18033
667,0.17976
668,0.17931
669,0.17895
670,0.17872
671,0.17859
672,0.17854
673,0.17853
674,0.17863
675,0.17883
676,0.17911
677,0.17947
678,0.1799
679,0.18043
680,0.18114
681,0.182
682,0.18309
683,0.18448
684,0.18624
685,0.18833
686,0.19074
687,0.19355
688,0.19682
689,0.2004
690,0.20424
691,0.20837
692,0.21286
693,0.21756
694,0.22233
695,0.2272
696,0.23209
697,0.23703
698,0.24205
699,0.24693
700,0.2517
701,0.25636
702,0.26094
703,0.26538
704,0.2697
705,0.27387
706,0.27786
707,0.28165
708,0.28528
709,0.28881
710,0.29218
711,0.29536
712,0.29838
713,0.30129
714,0.3041
715,0.3068
716,0.30938
717,0.31179
718,0.3142
719,0.31652
720,0.31861
721,0.32068
722,0.32267
723,0.32455
724,0.32637
725,0.32812
726,0.32983
727,0.33151
728,0.33305
729,0.33443
730,0.33579
731,0.33729
732,0.33851
733,0.33975
734,0.34109
735,0.34227
736,0.34338
737,0.34447
738,0.34555
739,0.34656
740,0.34754
741,0.3485
742,0.34944
743,0.35037
744,0.3513
745,0.35221
746,0.35304
747,0.35389
748,0.35475
749,0.35556
750,0.35631
751,0.3571
752,0.35788
753,0.35859
754,0.35931
755,0.36011
756,0.3609
757,0.36151
758,0.36215
759,0.36287
760,0.36363
761,0.36434
762,0.36502
763,0.36568
764,0.36633
765,0.36696
766,0.36765
767,0.36837
768,0.36903
769,0.36969
770,0.37032
771,0.37091
772,0.37144
773,0.3722
774,0.37295
775,0.37352
776,0.37421
777,0.37484
778,0.37542
779,0.37604
780,0.37665
781,0.37731
782,0.37802
783,0.37865
784,0.37928
785,0.37988
786,0.38043
787,0.38103
788,0.38163
789,0.38226
790,0.38292
791,0.38346
792,0.38397
793,0.38452
794,0.38514
795,0.38568
796,0.3862
797,0.38679
798,0.38746
799,0.38805
800,0.38849
801,0.38886
802,0.38945
803,0.39001
804,0.39047
805,0.39084
806,0.39136
807,0.39181
808,0.39218
809,0.39265
810,0.39309
811,0.39357
812,0.39407
813,0.39444
814,0.39481
815,0.39517
816,0.39551
817,0.39603
818,0.39636
819,0.39661
820,0.39703
821,0.39742
822,0.39777
823,0.39809
824,0.39838
825,0.39869
826,0.39899
827,0.39928
828,0.39969
829,0.39998
830,0.40023
