wl,value
360,0.04555
361,0.04548
362,0.04506
363,0.04491
364,0.04467
365,0.04412
366,0.04453
367,0.04479
368,0.04474
369,0.04487
370,0.04502
371,0.04483
372,0.04417
373,0.04313
374,0.04352
375,0.04423
376,0.04378
377,0.04371
378,0.04376
379,0.0438
380,0.04387
381,0.04405
382,0.04405
383,0.0438
384,0.04397
385,0.04396
386,0.04379
387,0.04367
388,0.04359
389,0.04361
390,0.04372
391,0.04375
392,0.0437
393,0.04353
394,0.04327
395,0.04323
396,0.04338
397,0.04348
398,0.04335
399,0.04371
400,0.04401
401,0.04397
402,0.04371
403,0.04349
404,0.04353
405,0.04385
406,0.04382
407,0.04373
408,0.04371
409,0.04374
410,0.04379
411,0.04387
412,0.04398
413,0.04413
414,0.04438
415,0.0445
416,0.04432
417,0.04461
418,0.04472
419,0.04456
420,0.04464
421,0.04492
422,0.04514
423,0.04515
424,0.0453
425,0.04566
426,0.04599
427,0.046
428,0.0462
429,0.04652
430,0.04681
431,0.04692
432,0.04724
433,0.0477
434,0.04814
435,0.04856
436,0.04874
437,0.04868
438,0.04858
439,0.04859
440,0.04872
441,0.04892
442,0.04901
443,0.04916
444,0.0494
445,0.0497
446,0.04986
447,0.04994
448,0.05
449,0.05013
450,0.05036
451,0.05064
452,0.05089
453,0.05101
454,0.05112
455,0.05123
456,0.05129
457,0.05141
458,0.05155
459,0.05167
460,0.05174
461,0.05183
462,0.05194
463,0.05203
464,0.05212
465,0.05212
466,0.05206
467,0.05213
468,0.05215
469,0.05211
470,0.05206
471,0.05208
472,0.05217
473,0.05232
474,0.05248
475,0.05246
476,0.05239
477,0.0524
478,0.05248
479,0.05241
480,0.05235
481,0.05248
482,0.0526
483,0.05282
484,0.05308
485,0.05321
486,0.05336
487,0.0536
488,0.05393
489,0.05414
490,0.0544
491,0.05475
492,0.0552
493,0.05567
494,0.05619
495,0.05678
496,0.05742
497,0.0581
498,0.05885
499,0.05971
500,0.06074
501,0.06184
502,0.06301
503,0.06433
504,0.0658
505,0.06744
506,0.06923
507,0.07118
508,0.07328
509,0.07555
510,0.078
511,0.08058
512,0.08339
513,0.08646
514,0.08964
515,0.09298
516,0.09653
517,0.10028
518,0.10413
519,0.10807
520,0.11209
521,0.1162
522,0.12034
523,0.12452
524,0.12869
525,0.13272
526,0.13666
527,0.14051
528,0.14421
529,0.14782
530,0.15119
531,0.15432
532,0.15733
533,0.1602
534,0.16288
535,0.16534
536,0.1676
537,0.16971
538,0.17171
539,0.17366
540,0.17563
541,0.17762
542,0.17951
543,0.18108
544,0.18254
545,0.18385
546,0.18488
547,0.18558
548,0.1862
549,0.18687
550,0.18755
551,0.18808
552,0.18839
553,0.18847
554,0.18837
555,0.18806
556,0.1875
557,0.18675
558,0.1858
559,0.18464
560,0.18329
561,0.18184
562,0.18031
563,0.17869
564,0.17688
565,0.17491
566,0.17273
567,0.17034
568,0.16779
569,0.16521
570,0.16265
571,0.16011
572,0.15759
573,0.15511
574,0.15283
575,0.1509
576,0.14925
577,0.14765
578,0.14599
579,0.14443
580,0.14289
581,0.14139
582,0.14
583,0.13864
584,0.13723
585,0.13581
586,0.13449
587,0.13321
588,0.13198
589,0.13084
590,0.13001
591,0.12939
592,0.12884
593,0.12819
594,0.12747
595,0.12674
596,0.12602
597,0.12532
598,0.12467
599,0.12404
600,0.12339
601,0.12267
602,0.12191
603,0.12111
604,0.12029
605,0.11938
606,0.11839
607,0.11732
608,0.11617
609,0.11508
610,0.11411
611,0.11321
612,0.11187
613,0.11023
614,0.10857
615,0.1072
616,0.10585
617,0.10455
618,0.10338
619,0.10236
620,0.10148
621,0.1007
622,0.09996
623,0.09933
624,0.09882
625,0.0984
626,0.09807
627,0.09779
628,0.09757
629,0.09742
630,0.09726
631,0.09706
632,0.09674
633,0.09627
634,0.09565
635,0.09487
636,0.09389
637,0.09266
638,0.09124
639,0.08968
640,0.08804
641,0.08622
642,0.08434
643,0.08247
644,0.0806
645,0.07876
646,0.07698
647,0.0753
648,0.07387
649,0.07264
650,0.07159
651,0.07071
652,0.06995
653,0.06929
654,0.06867
655,0.06798
656,0.06721
657,0.06633
658,0.06532
659,0.06423
660,0.06308
661,0.06189
662,0.06067
663,0.05946
664,0.05832
665,0.0573
666,0.05636
667,0.05553
668,0.05484
669,0.05425
670,0.05378
671,0.0534
672,0.05309
673,0.05283
674,0.0527
675,0.05264
676,0.05261
677,0.05264
678,0.05276
679,0.05299
680,0.05331
681,0.05377
682,0.05444
683,0.0554
684,0.05673
685,0.05846
686,0.06074
687,0.06371
688,0.06748
689,0.07218
690,0.07788
691,0.08463
692,0.09252
693,0.10151
694,0.11152
695,0.12242
696,0.13413
697,0.14652
698,0.15942
699,0.1727
700,0.1862
701,0.19974
702,0.21321
703,0.2265
704,0.23952
705,0.25219
706,0.26453
707,0.27653
708,0.28819
709,0.2995
710,0.31053
711,0.32138
712,0.33202
713,0.34233
714,0.35243
715,0.36235
716,0.37208
717,0.3816
718,0.3909
719,0.40001
720,0.40894
721,0.41767
722,0.42612
723,0.4343
724,0.44225
725,0.44991
726,0.45727
727,0.46434
728,0.47117
729,0.4777
730,0.48391
731,0.48975
732,0.49531
733,0.50061
734,0.50565
735,0.51041
736,0.51487
737,0.51908
738,0.52305
739,0.52677
740,0.53028
741,0.53356
742,0.5366
743,0.53943
744,0.5421
745,0.5446
746,0.54687
747,0.54899
748,0.55092
749,0.55266
750,0.55439
751,0.55586
752,0.55717
753,0.55847
754,0.55967
755,0.56077
756,0.56175
757,0.56257
758,0.5634
759,0.56413
760,0.56473
761,0.56542
762,0.56597
763,0.56643
764,0.56693
765,0.56735
766,0.56771
767,0.56806
768,0.56847
769,0.56875
770,0.56897
771,0.56919
772,0.5694
773,0.56969
774,0.56994
775,0.57007
776,0.57023
777,0.5704
778,0.57056
779,0.57071
780,0.5708
781,0.57094
782,0.57111
783,0.57118
784,0.57129
785,0.57146
786,0.57164
787,0.5716
788,0.57163
789,0.57172
790,0.57179
791,0.57185
792,0.57189
793,0.57192
794,0.57199
795,0.57203
796,0.57203
797,0.572
798,0.57193
799,0.57195
800,0.57195
801,0.57183
802,0.57185
803,0.57184
804,0.57179
805,0.57173
806,0.57162
807,0.57153
808,0.57147
809,0.57142
810,0.57129
811,0.5712
812,0.5712
813,0.57112
814,0.57095
815,0.5708
816,0.57074
817,0.57071
818,0.57058
819,0.57039
820,0.57028
821,0.57019
822,0.57011
823,0.57
824,0.56982
825,0.56965
826,0.56949
827,0.56934
828,0.56916
829,0.56903
830,0.56892
