wl,value
360,0.08315
361,0.08416
362,0.08199
363,0.08084
364,0.08107
365,0.0817
366,0.08108
367,0.08034
368,0.07995
369,0.07982
370,0.08034
371,0.08073
372,0.0807
373,0.08125
374,0.08104
375,0.08034
376,0.07988
377,0.07991
378,0.08022
379,0.0804
380,0.07994
381,0.07996
382,0.08033
383,0.08066
384,0.08044
385,0.08004
386,0.07991
387,0.08027
388,0.07995
389,0.07946
390,0.07932
391,0.07989
392,0.08044
393,0.08052
394,0.08019
395,0.08057
396,0.08066
397,0.08045
398,0.08047
399,0.08109
400,0.08148
401,0.08144
402,0.08173
403,0.08201
404,0.08231
405,0.08271
406,0.08306
407,0.08353
408,0.08407
409,0.08449
410,0.08498
411,0.08543
412,0.08581
413,0.08643
414,0.08708
415,0.08777
416,0.08849
417,0.08899
418,0.08955
419,0.09019
420,0.09073
421,0.09122
422,0.09178
423,0.09245
424,0.09306
425,0.09361
426,0.09417
427,0.09481
428,0.09522
429,0.09562
430,0.09612
431,0.09658
432,0.097
433,0.0973
434,0.09749
435,0.09781
436,0.0982
437,0.09863
438,0.0991
439,0.09951
440,0.09991
441,0.10034
442,0.10067
443,0.10101
444,0.10138
445,0.10177
446,0.10213
447,0.10242
448,0.10267
449,0.10303
450,0.10336
451,0.10372
452,0.10414
453,0.10441
454,0.10466
455,0.10491
456,0.10511
457,0.10529
458,0.10542
459,0.10551
460,0.10559
461,0.10564
462,0.10568
463,0.10575
464,0.10583
465,0.10583
466,0.10578
467,0.10585
468,0.1059
469,0.10582
470,0.10565
471,0.1057
472,0.10581
473,0.10588
474,0.10588
475,0.10592
476,0.10597
477,0.10604
478,0.10609
479,0.10617
480,0.10626
481,0.10631
482,0.10631
483,0.10634
484,0.10644
485,0.10653
486,0.10662
487,0.10677
488,0.10704
489,0.10735
490,0.10772
491,0.10812
492,0.1085
493,0.1089
494,0.1094
495,0.11004
496,0.11075
497,0.11154
498,0.11239
499,0.11331
500,0.11436
501,0.11548
502,0.11669
503,0.11804
504,0.11953
505,0.12113
506,0.12282
507,0.12467
508,0.12673
509,0.12892
510,0.13115
511,0.13361
512,0.1362
513,0.13888
514,0.14172
515,0.14474
516,0.14789
517,0.1511
518,0.15434
519,0.1576
520,0.16086
521,0.16413
522,0.1674
523,0.17056
524,0.17357
525,0.17646
526,0.17913
527,0.18163
528,0.18401
529,0.18612
530,0.18805
531,0.18985
532,0.19149
533,0.19297
534,0.19426
535,0.19538
536,0.19639
537,0.19728
538,0.19808
539,0.19875
540,0.19931
541,0.19982
542,0.20032
543,0.20076
544,0.20129
545,0.20188
546,0.20245
547,0.20306
548,0.20369
549,0.20424
550,0.20464
551,0.20493
552,0.20507
553,0.20504
554,0.2049
555,0.20457
556,0.20403
557,0.20337
558,0.20249
559,0.20146
560,0.20029
561,0.19899
562,0.19761
563,0.19614
564,0.19454
565,0.19295
566,0.19127
567,0.18949
568,0.18769
569,0.18583
570,0.18393
571,0.18201
572,0.18008
573,0.17823
574,0.17646
575,0.17474
576,0.17307
577,0.17148
578,0.16997
579,0.16863
580,0.16735
581,0.16615
582,0.16506
583,0.164
584,0.16304
585,0.16218
586,0.16128
587,0.16044
588,0.15969
589,0.15904
590,0.15841
591,0.15777
592,0.15712
593,0.15651
594,0.15607
595,0.15571
596,0.15534
597,0.15495
598,0.15452
599,0.15406
600,0.15359
601,0.15313
602,0.15255
603,0.15185
604,0.15116
605,0.15032
606,0.1494
607,0.14845
608,0.14745
609,0.14634
610,0.14512
611,0.14382
612,0.14273
613,0.14176
614,0.14084
615,0.13987
616,0.13898
617,0.13813
618,0.13727
619,0.13649
620,0.1358
621,0.1352
622,0.13466
623,0.1342
624,0.13384
625,0.13357
626,0.13328
627,0.13307
628,0.13292
629,0.1328
630,0.13265
631,0.13253
632,0.13242
633,0.13221
634,0.13194
635,0.13154
636,0.13098
637,0.13027
638,0.12943
639,0.12848
640,0.12744
641,0.12627
642,0.12503
643,0.12379
644,0.12247
645,0.12115
646,0.11985
647,0.11859
648,0.11743
649,0.11636
650,0.11538
651,0.11449
652,0.1137
653,0.11295
654,0.11223
655,0.11149
656,0.11068
657,0.10981
658,0.10888
659,0.10783
660,0.10673
661,0.10562
662,0.10451
663,0.10346
664,0.10247
665,0.10154
666,0.10076
667,0.10007
668,0.09948
669,0.09904
670,0.09869
671,0.09845
672,0.09832
673,0.0983
674,0.09833
675,0.09842
676,0.0986
677,0.09881
678,0.09913
679,0.09959
680,0.10014
681,0.10079
682,0.10164
683,0.10273
684,0.10405
685,0.10568
686,0.10771
687,0.11024
688,0.11327
689,0.11691
690,0.12124
691,0.1263
692,0.13216
693,0.13876
694,0.14609
695,0.15424
696,0.16303
697,0.17241
698,0.18233
699,0.19274
700,0.2035
701,0.21454
702,0.22583
703,0.23721
704,0.24863
705,0.26003
706,0.27146
707,0.28273
708,0.29386
709,0.305
710,0.31609
711,0.327
712,0.33772
713,0.34839
714,0.35894
715,0.36929
716,0.3794
717,0.38939
718,0.39922
719,0.40882
720,0.41813
721,0.42729
722,0.43619
723,0.44478
724,0.45311
725,0.46117
726,0.46895
727,0.4764
728,0.48337
729,0.49012
730,0.4966
731,0.50268
732,0.50839
733,0.51384
734,0.51905
735,0.52392
736,0.52853
737,0.53284
738,0.53686
739,0.54064
740,0.54428
741,0.54769
742,0.55074
743,0.55363
744,0.55625
745,0.55865
746,0.56102
747,0.56315
748,0.565
749,0.56664
750,0.56838
751,0.56986
752,0.57107
753,0.57213
754,0.57313
755,0.57418
756,0.57513
757,0.57573
758,0.5764
759,0.57706
760,0.57761
761,0.57815
762,0.57852
763,0.57888
764,0.57935
765,0.5796
766,0.57976
767,0.57993
768,0.58012
769,0.58027
770,0.58044
771,0.58062
772,0.58065
773,0.58066
774,0.5807
775,0.58081
776,0.58102
777,0.5811
778,0.58112
779,0.5812
780,0.58123
781,0.58124
782,0.58132
783,0.5815
784,0.5816
785,0.58159
786,0.58153
787,0.58159
788,0.58168
789,0.58173
790,0.58172
791,0.58187
792,0.58197
793,0.58199
794,0.58205
795,0.58211
796,0.58219
797,0.5823
798,0.58234
799,0.58235
800,0.58235
801,0.58241
802,0.58262
803,0.58265
804,0.58262
805,0.58276
806,0.5828
807,0.5828
808,0.58281
809,0.58285
810,0.58294
811,0.58312
812,0.58331
813,0.58318
814,0.58316
815,0.5833
816,0.58351
817,0.58354
818,0.58355
819,0.58359
820,0.58367
821,0.58374
822,0.58378
823,0.58382
824,0.58391
825,0.58398
826,0.58393
827,0.58381
828,0.58392
829,0.58394
830,0.58393
