wl,value
360,0.01202
361,0.01172
362,0.01107
363,0.01159
364,0.01215
365,0.01161
366,0.01163
367,0.01174
368,0.01198
369,0.01269
370,0.01258
371,0.0121
372,0.01177
373,0.01181
374,0.0122
375,0.01247
376,0.01223
377,0.01203
378,0.01231
379,0.01265
380,0.01207
381,0.01233
382,0.01263
383,0.01234
384,0.01215
385,0.01223
386,0.01259
387,0.01301
388,0.01248
389,0.01232
390,0.01281
391,0.01301
392,0.01297
393,0.01279
394,0.01265
395,0.01276
396,0.01262
397,0.01244
398,0.01267
399,0.01258
400,0.0128
401,0.01336
402,0.01333
403,0.01311
404,0.013
405,0.01313
406,0.01317
407,0.01325
408,0.01336
409,0.01344
410,0.01323
411,0.01315
412,0.01333
413,0.01333
414,0.01349
415,0.01364
416,0.0136
417,0.01361
418,0.01374
419,0.01389
420,0.01377
421,0.01385
422,0.01405
423,0.01425
424,0.01443
425,0.01452
426,0.01461
427,0.01482
428,0.01494
429,0.01504
430,0.01516
431,0.01531
432,0.01556
433,0.01584
434,0.01605
435,0.01612
436,0.01632
437,0.01662
438,0.0167
439,0.01677
440,0.0169
441,0.01712
442,0.01734
443,0.01752
444,0.01774
445,0.01808
446,0.01825
447,0.01839
448,0.01859
449,0.01885
450,0.01913
451,0.01942
452,0.01969
453,0.01988
454,0.02012
455,0.02037
456,0.02047
457,0.02066
458,0.02084
459,0.02097
460,0.02117
461,0.02132
462,0.02145
463,0.02161
464,0.02175
465,0.02199
466,0.02228
467,0.02233
468,0.02237
469,0.02247
470,0.02264
471,0.02275
472,0.02289
473,0.02304
474,0.02311
475,0.02325
476,0.02332
477,0.02332
478,0.02347
479,0.0236
480,0.0237
481,0.02376
482,0.02388
483,0.02403
484,0.02418
485,0.02428
486,0.02442
487,0.02458
488,0.02475
489,0.02491
490,0.02506
491,0.02521
492,0.0254
493,0.02558
494,0.02579
495,0.02603
496,0.0262
497,0.02648
498,0.02677
499,0.02697
500,0.02726
501,0.02761
502,0.02798
503,0.02833
504,0.02876
505,0.02922
506,0.02966
507,0.03009
508,0.03056
509,0.03107
510,0.03161
511,0.03223
512,0.03285
513,0.03347
514,0.03415
515,0.03483
516,0.0355
517,0.03619
518,0.03693
519,0.03768
520,0.0384
521,0.03913
522,0.03989
523,0.04063
524,0.04134
525,0.04201
526,0.04272
527,0.0434
528,0.04398
529,0.04455
530,0.0451
531,0.04564
532,0.04612
533,0.04654
534,0.04695
535,0.04738
536,0.04779
537,0.04817
538,0.04854
539,0.04896
540,0.04949
541,0.05007
542,0.05064
543,0.05113
544,0.05143
545,0.05155
546,0.05156
547,0.05147
548,0.0514
549,0.05142
550,0.05149
551,0.05157
552,0.05163
553,0.05164
554,0.05165
555,0.05159
556,0.05148
557,0.05141
558,0.05133
559,0.05123
560,0.05109
561,0.05096
562,0.0508
563,0.05064
564,0.05048
565,0.05028
566,0.05008
567,0.0499
568,0.04968
569,0.04941
570,0.04912
571,0.04883
572,0.04855
573,0.04828
574,0.04802
575,0.04773
576,0.04746
577,0.04721
578,0.04698
579,0.04681
580,0.04664
581,0.04649
582,0.04633
583,0.04615
584,0.04599
585,0.04586
586,0.04573
587,0.04564
588,0.04557
589,0.0455
590,0.04537
591,0.0453
592,0.04526
593,0.04517
594,0.04512
595,0.04509
596,0.04506
597,0.04503
598,0.04502
599,0.04501
600,0.04496
601,0.04489
602,0.04478
603,0.04464
604,0.04453
605,0.04437
606,0.04418
607,0.04399
608,0.04379
609,0.04364
610,0.04361
611,0.0437
612,0.04346
613,0.043
614,0.04249
615,0.04216
616,0.04184
617,0.04153
618,0.04129
619,0.04114
620,0.04098
621,0.0408
622,0.04066
623,0.04054
624,0.04044
625,0.04037
626,0.04031
627,0.04026
628,0.04024
629,0.04027
630,0.04032
631,0.04034
632,0.04032
633,0.04027
634,0.04022
635,0.04017
636,0.04011
637,0.03997
638,0.03982
639,0.03967
640,0.0395
641,0.0393
642,0.03907
643,0.03883
644,0.03853
645,0.03821
646,0.0379
647,0.0376
648,0.0373
649,0.037
650,0.03674
651,0.0365
652,0.03629
653,0.03609
654,0.03586
655,0.03556
656,0.03524
657,0.03489
658,0.03454
659,0.03413
660,0.03372
661,0.03329
662,0.03284
663,0.0324
664,0.03196
665,0.03156
666,0.03124
667,0.03094
668,0.03066
669,0.03044
670,0.03025
671,0.03012
672,0.03004
673,0.02996
674,0.02994
675,0.02995
676,0.02997
677,0.03001
678,0.0301
679,0.03024
680,0.03042
681,0.03063
682,0.03093
683,0.03134
684,0.03187
685,0.03252
686,0.03328
687,0.03417
688,0.03524
689,0.03647
690,0.03785
691,0.03939
692,0.0411
693,0.04293
694,0.04486
695,0.04688
696,0.04899
697,0.05117
698,0.05339
699,0.05563
700,0.05788
701,0.06013
702,0.06238
703,0.06461
704,0.06682
705,0.06898
706,0.07111
707,0.07321
708,0.07526
709,0.07726
710,0.07922
711,0.08116
712,0.08308
713,0.08497
714,0.08678
715,0.08856
716,0.09034
717,0.09211
718,0.09382
719,0.09546
720,0.09707
721,0.09863
722,0.10014
723,0.10161
724,0.10303
725,0.1044
726,0.10572
727,0.10698
728,0.10816
729,0.10927
730,0.11034
731,0.11135
732,0.11232
733,0.11324
734,0.1141
735,0.11492
736,0.1157
737,0.11641
738,0.11707
739,0.11771
740,0.11833
741,0.1189
742,0.11942
743,0.1199
744,0.12035
745,0.12077
746,0.12116
747,0.12153
748,0.12188
749,0.12221
750,0.1225
751,0.12278
752,0.12303
753,0.12327
754,0.1235
755,0.12371
756,0.12392
757,0.12413
758,0.12433
759,0.12452
760,0.12469
761,0.12486
762,0.12503
763,0.1252
764,0.12534
765,0.12548
766,0.12562
767,0.12575
768,0.12588
769,0.126
770,0.12612
771,0.12625
772,0.12635
773,0.12646
774,0.12658
775,0.1267
776,0.12681
777,0.12694
778,0.12708
779,0.12718
780,0.12727
781,0.12737
782,0.12748
783,0.12759
784,0.12768
785,0.12778
786,0.12788
787,0.12798
788,0.12806
789,0.12814
790,0.12824
791,0.12834
792,0.12841
793,0.12849
794,0.12858
795,0.12865
796,0.12874
797,0.12883
798,0.12888
799,0.12893
800,0.12898
801,0.129
802,0.12909
803,0.12917
804,0.12923
805,0.12929
806,0.12933
807,0.12938
808,0.12942
809,0.12949
810,0.12954
811,0.12959
812,0.12963
813,0.12966
814,0.12967
815,0.12969
816,0.12973
817,0.12978
818,0.12983
819,0.12987
820,0.12989
821,0.12991
822,0.12995
823,0.13
824,0.13005
825,0.13008
826,0.13011
827,0.13013
828,0.13015
829,0.13016
830,0.13019
