wl,value
360,0.0349
361,0.03461
362,0.03509
363,0.03527
364,0.03498
365,0.03447
366,0.03464
367,0.03455
368,0.03411
369,0.03383
370,0.03376
371,0.03408
372,0.03436
373,0.03284
374,0.03303
375,0.03392
376,0.03364
377,0.0339
378,0.0335
379,0.03259
380,0.03246
381,0.03249
382,0.03266
383,0.03289
384,0.03287
385,0.03277
386,0.03265
387,0.03258
388,0.03275
389,0.03281
390,0.03259
391,0.03224
392,0.03216
393,0.03216
394,0.03203
395,0.03173
396,0.03193
397,0.03239
398,0.03245
399,0.03212
400,0.03196
401,0.03208
402,0.03187
403,0.03185
404,0.03192
405,0.03192
406,0.03183
407,0.03204
408,0.03234
409,0.0322
410,0.03211
411,0.03213
412,0.03222
413,0.03228
414,0.03228
415,0.03234
416,0.03258
417,0.03297
418,0.03321
419,0.0333
420,0.03355
421,0.0338
422,0.03413
423,0.03456
424,0.03495
425,0.0352
426,0.03541
427,0.03575
428,0.03612
429,0.03646
430,0.03677
431,0.03711
432,0.03753
433,0.03792
434,0.03821
435,0.03848
436,0.03885
437,0.03925
438,0.03945
439,0.03965
440,0.03991
441,0.04018
442,0.04038
443,0.04056
444,0.04073
445,0.04092
446,0.04129
447,0.04158
448,0.04173
449,0.04188
450,0.04204
451,0.04227
452,0.04256
453,0.04265
454,0.04271
455,0.04283
456,0.04298
457,0.04305
458,0.04304
459,0.04303
460,0.04313
461,0.04322
462,0.04323
463,0.04316
464,0.04322
465,0.04326
466,0.04321
467,0.04313
468,0.04324
469,0.04331
470,0.04316
471,0.04311
472,0.0431
473,0.04311
474,0.04314
475,0.04305
476,0.04295
477,0.04294
478,0.04304
479,0.04306
480,0.04307
481,0.04315
482,0.04311
483,0.04308
484,0.04313
485,0.04324
486,0.04335
487,0.04341
488,0.04343
489,0.04348
490,0.04358
491,0.04372
492,0.04386
493,0.04397
494,0.04412
495,0.04433
496,0.0445
497,0.04478
498,0.04512
499,0.04545
500,0.04582
501,0.04621
502,0.04663
503,0.04712
504,0.04763
505,0.04825
506,0.04899
507,0.04972
508,0.0505
509,0.05138
510,0.05235
511,0.05333
512,0.05441
513,0.05561
514,0.05687
515,0.05819
516,0.05958
517,0.06103
518,0.06255
519,0.06417
520,0.06584
521,0.06751
522,0.06924
523,0.07097
524,0.07268
525,0.07434
526,0.07594
527,0.07746
528,0.07888
529,0.08029
530,0.08157
531,0.08271
532,0.08378
533,0.08478
534,0.08569
535,0.08649
536,0.08723
537,0.08788
538,0.08847
539,0.0891
540,0.0898
541,0.09057
542,0.09134
543,0.09199
544,0.0924
545,0.09259
546,0.09263
547,0.09251
548,0.09242
549,0.09245
550,0.09253
551,0.09255
552,0.09248
553,0.09229
554,0.09201
555,0.09163
556,0.09113
557,0.09052
558,0.08987
559,0.08915
560,0.08836
561,0.08752
562,0.08662
563,0.08569
564,0.08473
565,0.08375
566,0.08273
567,0.08166
568,0.08057
569,0.07947
570,0.07836
571,0.07722
572,0.0761
573,0.07502
574,0.074
575,0.073
576,0.07211
577,0.07131
578,0.07057
579,0.06982
580,0.06912
581,0.06848
582,0.06791
583,0.06735
584,0.06679
585,0.06625
586,0.06575
587,0.06532
588,0.06491
589,0.06447
590,0.06405
591,0.06371
592,0.06342
593,0.0631
594,0.06283
595,0.0626
596,0.0624
597,0.0622
598,0.06201
599,0.0618
600,0.06159
601,0.06132
602,0.061
603,0.06066
604,0.06029
605,0.05986
606,0.05939
607,0.0589
608,0.05836
609,0.05789
610,0.05753
611,0.05724
612,0.05667
613,0.05592
614,0.05513
615,0.05448
616,0.05389
617,0.05334
618,0.05286
619,0.05244
