wl,value
360,0.04155
361,0.04105
362,0.04085
363,0.04077
364,0.04107
365,0.04172
366,0.04137
367,0.04101
368,0.04092
369,0.0408
370,0.04038
371,0.04037
372,0.04093
373,0.04101
374,0.04056
375,0.04025
376,0.04063
377,0.04057
378,0.04037
379,0.04041
380,0.041
381,0.04118
382,0.04085
383,0.04029
384,0.04031
385,0.04009
386,0.03991
387,0.04028
388,0.04042
389,0.04045
390,0.04045
391,0.04043
392,0.04043
393,0.04039
394,0.04025
395,0.03999
396,0.03986
397,0.04001
398,0.0404
399,0.04035
400,0.04019
401,0.04018
402,0.0403
403,0.04012
404,0.04003
405,0.04032
406,0.04022
407,0.04027
408,0.04046
409,0.0404
410,0.04049
411,0.0405
412,0.04038
413,0.04065
414,0.04079
415,0.04078
416,0.04074
417,0.04093
418,0.04103
419,0.04101
420,0.04115
421,0.0413
422,0.04139
423,0.04139
424,0.04144
425,0.04153
426,0.04159
427,0.04155
428,0.04166
429,0.0418
430,0.04192
431,0.04206
432,0.04218
433,0.04226
434,0.04229
435,0.0424
436,0.04248
437,0.04253
438,0.04257
439,0.04253
440,0.04248
441,0.04249
442,0.04257
443,0.04262
444,0.04267
445,0.04278
446,0.04286
447,0.04285
448,0.0428
449,0.04293
450,0.04303
451,0.0431
452,0.04314
453,0.04314
454,0.04318
455,0.04329
456,0.0434
457,0.04343
458,0.04344
459,0.04349
460,0.0435
461,0.04348
462,0.04348
463,0.04354
464,0.04352
465,0.04351
466,0.04355
467,0.04361
468,0.04361
469,0.0436
470,0.04362
471,0.04364
472,0.04364
473,0.04365
474,0.04371
475,0.04372
476,0.0437
477,0.04368
478,0.04371
479,0.04373
480,0.04375
481,0.04378
482,0.04385
483,0.04392
484,0.04397
485,0.04402
486,0.04412
487,0.04424
488,0.04433
489,0.04439
490,0.04446
491,0.04455
492,0.04464
493,0.04471
494,0.04482
495,0.045
496,0.04517
497,0.04534
498,0.04554
499,0.04581
500,0.04611
501,0.04638
502,0.04666
503,0.04709
504,0.04755
505,0.04804
506,0.04854
507,0.04911
508,0.04978
509,0.05055
510,0.0514
511,0.0523
512,0.05327
513,0.05434
514,0.0556
515,0.05694
516,0.05835
517,0.05983
518,0.06145
519,0.06312
520,0.06483
521,0.06666
522,0.0685
523,0.07038
524,0.07227
525,0.07408
526,0.07583
527,0.07753
528,0.07918
529,0.08069
530,0.08208
531,0.08339
532,0.08463
533,0.08573
534,0.08672
535,0.08762
536,0.08846
537,0.08922
538,0.08991
539,0.09059
540,0.09134
541,0.09212
542,0.09287
543,0.09352
544,0.09396
545,0.09419
546,0.09428
547,0.09426
548,0.09422
549,0.09424
550,0.09434
551,0.09439
552,0.09436
553,0.09426
554,0.09402
555,0.0937
556,0.09333
557,0.09289
558,0.09233
559,0.09163
560,0.09081
561,0.08993
562,0.08893
563,0.08784
564,0.08673
565,0.08561
566,0.08445
567,0.08323
568,0.08196
569,0.08069
570,0.07945
571,0.07825
572,0.07709
573,0.07593
574,0.07483
575,0.07392
576,0.07322
577,0.07259
578,0.07194
579,0.07126
580,0.07055
581,0.06986
582,0.06926
583,0.06882
584,0.06848
585,0.06813
586,0.06773
587,0.06723
588,0.06663
589,0.06596
590,0.06542
591,0.065
592,0.06469
593,0.0644
594,0.06407
595,0.06378
596,0.06356
597,0.06339
598,0.06322
599,0.06305
600,0.06287
601,0.06262
602,0.06236
603,0.0621
604,0.06182
605,0.06153
606,0.06119
607,0.0608
608,0.06038
609,0.06006
610,0.05985
611,0.05969
612,0.05925
613,0.05863
614,0.058
615,0.05751
616,0.05707
617,0.05666
618,0.0563
619,0.05595
620,0.05567
621,0.05544
622,0.05521
623,0.05499
624,0.05479
625,0.05464
626,0.05452
627,0.05442
628,0.05435
629,0.0543
630,0.05426
631,0.0542
632,0.05408
633,0.05389
634,0.05368
635,0.05345
636,0.05317
637,0.05278
638,0.05236
639,0.05192
640,0.05145
641,0.05095
642,0.05046
643,0.04998
644,0.04951
645,0.04907
646,0.04866
647,0.0483
648,0.04799
649,0.04773
650,0.04752
651,0.04736
652,0.04726
653,0.04717
654,0.04704
655,0.04692
656,0.04681
657,0.04669
658,0.04653
659,0.04637
660,0.04621
661,0.04605
662,0.04588
663,0.04572
664,0.04559
665,0.04549
666,0.0454
667,0.04535
668,0.04534
669,0.04534
670,0.0454
671,0.0455
672,0.04562
673,0.04575
674,0.04591
675,0.04611
676,0.04634
677,0.04658
678,0.04683
679,0.04711
680,0.04746
681,0.04786
682,0.04826
683,0.04867
684,0.04917
685,0.04973
686,0.05037
687,0.05114
688,0.05204
689,0.05316
690,0.05459
691,0.05639
692,0.05867
693,0.06147
694,0.06486
695,0.06886
696,0.07349
697,0.07876
698,0.08462
699,0.09099
700,0.09781
701,0.10498
702,0.11243
703,0.12009
704,0.12787
705,0.13571
706,0.14358
707,0.15142
708,0.1592
709,0.16696
710,0.17465
711,0.18236
712,0.19004
713,0.19765
714,0.2052
715,0.21276
716,0.22029
717,0.22775
718,0.23517
719,0.24255
720,0.24986
721,0.25709
722,0.2642
723,0.27118
724,0.27804
725,0.28476
726,0.29131
727,0.29767
728,0.30382
729,0.30977
730,0.31551
731,0.32105
732,0.32637
733,0.33145
734,0.33629
735,0.34091
736,0.34531
737,0.34948
738,0.35342
739,0.35715
740,0.36065
741,0.36392
742,0.36699
743,0.36985
744,0.37249
745,0.37493
746,0.37718
747,0.37925
748,0.38118
749,0.38295
750,0.38455
751,0.38598
752,0.3873
753,0.38856
754,0.38967
755,0.39067
756,0.39157
757,0.39238
758,0.39312
759,0.39379
760,0.39441
761,0.39497
762,0.39545
763,0.39588
764,0.39629
765,0.39662
766,0.39694
767,0.39726
768,0.39751
769,0.39772
770,0.39792
771,0.39809
772,0.39824
773,0.39838
774,0.39851
775,0.39861
776,0.39872
777,0.39883
778,0.39894
779,0.39906
780,0.39915
781,0.39924
782,0.39931
783,0.39934
784,0.39938
785,0.39943
786,0.39949
787,0.3995
788,0.39953
789,0.39957
790,0.39957
791,0.39958
792,0.39958
793,0.39957
794,0.39956
795,0.39955
796,0.39954
797,0.39951
798,0.39948
799,0.39941
800,0.39933
801,0.39927
802,0.39921
803,0.39915
804,0.39909
805,0.399
806,0.39892
807,0.39883
808,0.39873
809,0.39865
810,0.39855
811,0.39847
812,0.39838
813,0.39827
814,0.39811
815,0.39796
816,0.39785
817,0.39775
818,0.39767
819,0.3976
820,0.3975
821,0.39736
822,0.3972
823,0.39706
824,0.39696
825,0.39685
826,0.39675
827,0.39666
828,0.39653
829,0.3964
830,0.39627
