wl,value
360,0.04587
361,0.04714
362,0.04716
363,0.04711
364,0.04735
365,0.04758
366,0.04563
367,0.04457
368,0.04528
369,0.04686
370,0.04774
371,0.04777
372,0.04696
373,0.04493
374,0.04582
375,0.04743
376,0.04666
377,0.04668
378,0.04647
379,0.04606
380,0.04638
381,0.04694
382,0.047
383,0.04654
384,0.04733
385,0.04748
386,0.04676
387,0.04589
388,0.04697
389,0.04788
390,0.04767
391,0.04692
392,0.04669
393,0.0472
394,0.04809
395,0.04808
396,0.0479
397,0.04779
398,0.0478
399,0.04787
400,0.04802
401,0.04811
402,0.04775
403,0.04769
404,0.04791
405,0.04823
406,0.04875
407,0.04909
408,0.04905
409,0.04866
410,0.04871
411,0.04903
412,0.04931
413,0.04921
414,0.04933
415,0.04943
416,0.04917
417,0.04929
418,0.04944
419,0.04944
420,0.04935
421,0.04943
422,0.04969
423,0.04999
424,0.05003
425,0.05004
426,0.05004
427,0.04997
428,0.05014
429,0.05028
430,0.05024
431,0.05015
432,0.0501
433,0.05013
434,0.05023
435,0.05029
436,0.05028
437,0.05027
438,0.05038
439,0.05057
440,0.05063
441,0.0505
442,0.05053
443,0.05049
444,0.05049
445,0.05067
446,0.05088
447,0.05099
448,0.051
449,0.05114
450,0.05115
451,0.05121
452,0.05145
453,0.05142
454,0.05142
455,0.05152
456,0.05165
457,0.05164
458,0.05161
459,0.05163
460,0.05155
461,0.05166
462,0.0518
463,0.05177
464,0.05166
465,0.05158
466,0.05159
467,0.05173
468,0.05174
469,0.05172
470,0.05176
471,0.05178
472,0.05177
473,0.05176
474,0.05181
475,0.05181
476,0.05175
477,0.05169
478,0.05175
479,0.05176
480,0.05178
481,0.05187
482,0.052
483,0.05203
484,0.05198
485,0.05194
486,0.05199
487,0.05215
488,0.05233
489,0.05226
490,0.05239
491,0.05263
492,0.0527
493,0.05278
494,0.05291
495,0.05312
496,0.05341
497,0.05358
498,0.05378
499,0.0542
500,0.05448
501,0.05482
502,0.05527
503,0.05578
504,0.05631
505,0.05687
506,0.05753
507,0.05837
508,0.05926
509,0.06027
510,0.06152
511,0.06264
512,0.06397
513,0.06564
514,0.06747
515,0.06932
516,0.07132
517,0.07359
518,0.07582
519,0.07824
520,0.08084
521,0.08345
522,0.08608
523,0.08876
524,0.09144
525,0.0939
526,0.09632
527,0.09868
528,0.10085
529,0.1029
530,0.10474
531,0.10635
532,0.10793
533,0.10922
534,0.11034
535,0.11139
536,0.11221
537,0.11295
538,0.11366
539,0.11427
540,0.11474
541,0.11518
542,0.11565
543,0.11607
544,0.11651
545,0.11696
546,0.11735
547,0.11758
548,0.11777
549,0.11795
550,0.11806
551,0.11817
552,0.1182
553,0.11811
554,0.11791
555,0.11749
556,0.11686
557,0.11616
558,0.11532
559,0.11435
560,0.11326
561,0.11204
562,0.11067
563,0.10918
564,0.10762
565,0.10601
566,0.10431
567,0.10254
568,0.10082
569,0.09905
570,0.09727
571,0.09557
572,0.09396
573,0.09239
574,0.09088
575,0.08951
576,0.08823
577,0.08707
578,0.086
579,0.08499
580,0.084
581,0.08302
582,0.08212
583,0.08131
584,0.08057
585,0.07987
586,0.07917
587,0.07854
588,0.07795
589,0.07736
590,0.07686
591,0.07637
592,0.07592
593,0.0756
594,0.0753
595,0.075
596,0.07468
597,0.07439
598,0.07412
599,0.07385
600,0.07356
601,0.07327
602,0.07299
603,0.07268
604,0.0723
605,0.07189
606,0.07144
607,0.07094
608,0.07045
609,0.06998
610,0.06947
611,0.06884
612,0.06825
613,0.06771
614,0.06719
615,0.06665
616,0.06615
617,0.06569
618,0.06527
619,0.06483
620,0.06445
621,0.06416
622,0.06393
623,0.06367
624,0.06345
625,0.06333
626,0.06318
627,0.06307
628,0.06296
629,0.06282
630,0.06273
631,0.06264
632,0.06252
633,0.06237
634,0.06206
635,0.06171
636,0.06141
637,0.06098
638,0.06047
639,0.05994
640,0.05943
641,0.05891
642,0.05835
643,0.05777
644,0.05729
645,0.05686
646,0.05646
647,0.05607
648,0.05571
649,0.05544
650,0.05525
651,0.05509
652,0.05493
653,0.05481
654,0.05475
655,0.05464
656,0.05453
657,0.05442
658,0.05431
659,0.05419
660,0.05404
661,0.05388
662,0.05375
663,0.05359
664,0.05348
665,0.05347
666,0.05347
667,0.05349
668,0.05353
669,0.05359
670,0.05378
671,0.05399
672,0.05418
673,0.0544
674,0.05468
675,0.05502
676,0.05539
677,0.05578
678,0.05621
679,0.05668
680,0.05721
681,0.05771
682,0.05824
683,0.05882
684,0.0594
685,0.06003
686,0.06072
687,0.0615
688,0.06242
689,0.06353
690,0.06495
691,0.06683
692,0.06927
693,0.07236
694,0.07615
695,0.08077
696,0.08628
697,0.09267
698,0.09986
699,0.10769
700,0.11611
701,0.12507
702,0.13445
703,0.14401
704,0.15365
705,0.16333
706,0.17293
707,0.18251
708,0.19199
709,0.20126
710,0.21044
711,0.21957
712,0.22863
713,0.23754
714,0.24632
715,0.25494
716,0.2634
717,0.2718
718,0.27996
719,0.28792
720,0.29578
721,0.30343
722,0.31086
723,0.31808
724,0.32508
725,0.33176
726,0.3382
727,0.34445
728,0.35037
729,0.35612
730,0.36164
731,0.36678
732,0.37176
733,0.37642
734,0.38078
735,0.38501
736,0.38883
737,0.39244
738,0.39594
739,0.39897
740,0.40196
741,0.40484
742,0.40731
743,0.40955
744,0.41166
745,0.41366
746,0.41541
747,0.41693
748,0.41826
749,0.41946
750,0.4207
751,0.42167
752,0.42248
753,0.42332
754,0.42396
755,0.42458
756,0.42522
757,0.42579
758,0.42613
759,0.42644
760,0.42678
761,0.42697
762,0.42721
763,0.42749
764,0.42774
765,0.42782
766,0.42779
767,0.4278
768,0.42798
769,0.42793
770,0.42791
771,0.42802
772,0.4281
773,0.42801
774,0.42798
775,0.42816
776,0.42821
777,0.42816
778,0.42804
779,0.42792
780,0.42802
781,0.42815
782,0.4282
783,0.42816
784,0.42811
785,0.42808
786,0.4281
787,0.42821
788,0.42828
789,0.42829
790,0.42827
791,0.42824
792,0.42825
793,0.42829
