wl,value
360,0.07913
361,0.08053
362,0.08064
363,0.08063
364,0.08032
365,0.07954
366,0.07895
367,0.07914
368,0.07995
369,0.08063
370,0.08068
371,0.08037
372,0.08012
373,0.08058
374,0.07981
375,0.07925
376,0.08044
377,0.07985
378,0.07876
379,0.07831
380,0.07915
381,0.07951
382,0.07872
383,0.07743
384,0.0787
385,0.07901
386,0.07868
387,0.07902
388,0.07846
389,0.07818
390,0.07836
391,0.07807
392,0.07851
393,0.079
394,0.07887
395,0.07851
396,0.07806
397,0.07811
398,0.07914
399,0.07947
400,0.07915
401,0.07852
402,0.07796
403,0.07794
404,0.07841
405,0.07896
406,0.07836
407,0.07816
408,0.07856
409,0.07882
410,0.07858
411,0.07868
412,0.07931
413,0.07926
414,0.07931
415,0.07956
416,0.07986
417,0.07992
418,0.07989
419,0.07991
420,0.0801
421,0.08035
422,0.08056
423,0.08066
424,0.0807
425,0.08069
426,0.08079
427,0.08115
428,0.08104
429,0.08104
430,0.08133
431,0.0814
432,0.08139
433,0.08143
434,0.08157
435,0.0814
436,0.08127
437,0.0813
438,0.08142
439,0.08126
440,0.08124
441,0.08153
442,0.08161
443,0.08153
444,0.08145
445,0.08154
446,0.08154
447,0.08157
448,0.0817
449,0.08192
450,0.08204
451,0.08207
452,0.08209
453,0.0822
454,0.0822
455,0.08216
456,0.08233
457,0.08232
458,0.08239
459,0.0826
460,0.08243
461,0.08237
462,0.08241
463,0.08244
464,0.08244
465,0.08244
466,0.08243
467,0.0824
468,0.08235
469,0.08238
470,0.08248
471,0.08246
472,0.08242
473,0.08238
474,0.08233
475,0.08223
476,0.08228
477,0.08246
478,0.08234
479,0.08241
480,0.08253
481,0.08247
482,0.08238
483,0.08236
484,0.08244
485,0.08253
486,0.08256
487,0.08262
488,0.08274
489,0.08271
490,0.08276
491,0.0829
492,0.08302
493,0.08326
494,0.0835
495,0.08371
496,0.08396
497,0.08409
498,0.08429
499,0.08472
500,0.08503
501,0.08536
502,0.08572
503,0.08608
504,0.0865
505,0.08707
506,0.08777
507,0.08839
508,0.08912
509,0.08998
510,0.09091
511,0.09188
512,0.09298
513,0.09426
514,0.09578
515,0.09723
516,0.09882
517,0.10073
518,0.10264
519,0.10468
520,0.10685
521,0.10907
522,0.11136
