wl,value
360,0.06363
361,0.08493
362,0.09835
363,0.09493
364,0.08818
365,0.093
366,0.09695
367,0.09572
368,0.08842
369,0.07967
370,0.09583
371,0.10596
372,0.09604
373,0.09056
374,0.08092
375,0.0809
376,0.1017
377,0.11054
378,0.11008
379,0.10536
380,0.10191
381,0.09382
382,0.08644
383,0.08554
384,0.09078
385,0.09695
386,0.08981
387,0.06482
388,0.09449
389,0.11339
390,0.10064
391,0.08201
392,0.09173
393,0.10415
394,0.09673
395,0.09107
396,0.09624
397,0.10469
398,0.10343
399,0.10568
400,0.10402
401,0.09791
402,0.09794
403,0.09992
404,0.10009
405,0.09712
406,0.09739
407,0.09707
408,0.09674
409,0.0994
410,0.10028
411,0.10272
412,0.1063
413,0.10099
414,0.10457
415,0.11104
416,0.10961
417,0.10488
418,0.10296
419,0.10404
420,0.103
421,0.10494
422,0.10689
423,0.10637
424,0.10528
425,0.10529
426,0.10676
427,0.10896
428,0.10912
429,0.10778
430,0.10712
431,0.11122
432,0.11224
433,0.11113
434,0.11058
435,0.11035
436,0.11145
437,0.11329
438,0.11408
439,0.11401
440,0.11465
441,0.11629
442,0.11563
443,0.11668
444,0.11864
445,0.11918
446,0.11955
447,0.12031
448,0.1212
449,0.12117
450,0.12236
451,0.1234
452,0.1233
453,0.12504
454,0.12622
455,0.12567
456,0.12363
457,0.1256
458,0.12813
459,0.12854
460,0.12774
461,0.12677
462,0.12671
463,0.1281
464,0.12916
465,0.12957
466,0.12965
467,0.13027
468,0.13133
469,0.13144
470,0.13052
471,0.1332
472,0.13393
473,0.13322
474,0.1343
475,0.13331
476,0.13218
477,0.1324
478,0.13391
479,0.13469
480,0.1351
481,0.1359
482,0.13596
483,0.13506
484,0.13444
485,0.13627
486,0.13653
487,0.13618
488,0.13652
489,0.13762
490,0.13791
491,0.13777
492,0.13837
493,0.13859
494,0.13931
495,0.14096
496,0.14316
497,0.14417
498,0.14453
499,0.14504
500,0.14404
501,0.1455
502,0.14867
503,0.14927
504,0.15171
505,0.15352
506,0.15346
507,0.15579
508,0.15808
509,0.15985
510,0.16162
511,0.16454
512,0.16699
513,0.16876
514,0.17182
515,0.1743
516,0.17688
517,0.1805
518,0.18455
519,0.18745
520,0.18939
521,0.19196
522,0.19598
523,0.20022
524,0.20366
525,0.20638
526,0.20993
527,0.21364
528,0.21619
529,0.21909
530,0.22206
531,0.22479
532,0.22704
533,0.2293
534,0.23216
535,0.2356
536,0.2376
537,0.23953
538,0.24182
539,0.24419
540,0.24647
541,0.24927
542,0.25271
543,0.25608
544,0.25786
545,0.25842
546,0.25886
547,0.25946
548,0.26009
549,0.26096
550,0.26283
551,0.26378
552,0.26429
553,0.2651
554,0.26551
555,0.26569
556,0.26569
557,0.26546
558,0.26534
559,0.26492
560,0.2643
561,0.26502
562,0.26478
563,0.26401
564,0.26402
565,0.26433
566,0.26418
567,0.26341
568,0.26257
569,0.26149
570,0.26005
571,0.25843
572,0.25776
573,0.25675
574,0.25537
575,0.25441
576,0.25369
577,0.25306
578,0.25246
579,0.252
580,0.25147
581,0.25095
582,0.25057
583,0.25027
584,0.2494
585,0.24819
586,0.24783
587,0.24721
588,0.247
589,0.24754
590,0.24702
591,0.24614
592,0.24543
593,0.24529
594,0.24554
595,0.24564
596,0.24532
597,0.24485
598,0.24419
599,0.24373
600,0.24384
601,0.24455
602,0.24405
603,0.24247
604,0.24181
605,0.24148
606,0.24084
607,0.23958
608,0.23824
609,0.23702
610,0.23614
611,0.23567
612,0.23497
613,0.2333
614,0.23074
615,0.22857
616,0.22614
617,0.22411
618,0.22308
619,0.22217
620,0.22134
621,0.22051
622,0.21954
623,0.21855
624,0.21764
625,0.21702
626,0.21728
627,0.2167
628,0.21576
629,0.21569
630,0.21653
631,0.2168
632,0.21612
633,0.21546
634,0.21479
635,0.2142
636,0.21356
637,0.21235
638,0.21115
639,0.20981
640,0.20789
641,0.20664
642,0.20517
643,0.20309
644,0.2012
645,0.19916
646,0.19709
647,0.19518
648,0.1937
649,0.19181
650,0.1898
651,0.18886
652,0.18782
653,0.18682
654,0.18593
655,0.18473
656,0.18338
657,0.18171
658,0.17953
659,0.17744
660,0.17558
661,0.17369
662,0.17113
663,0.16828
664,0.1659
665,0.16431
666,0.16258
667,0.16089
668,0.15928
669,0.1578
670,0.15674
671,0.15601
672,0.1555
673,0.15519
674,0.1549
675,0.15474
676,0.15485
677,0.15525
678,0.15543
679,0.15558
680,0.1563
681,0.15765
682,0.15914
683,0.16079
684,0.16361
685,0.16706
686,0.1713
687,0.17661
688,0.18275
689,0.18972
690,0.1979
691,0.20784
692,0.21843
693,0.22969
694,0.24183
695,0.25506
696,0.26926
697,0.28399
