wl,value
360,0.07171
361,0.07229
362,0.0728
363,0.07252
364,0.07188
365,0.07158
366,0.07184
367,0.07216
368,0.07223
369,0.07195
370,0.07201
371,0.07207
372,0.07192
373,0.07189
374,0.07183
375,0.07141
376,0.07064
377,0.07128
378,0.07179
379,0.0717
380,0.07159
381,0.07193
382,0.07206
383,0.07173
384,0.07208
385,0.07201
386,0.07163
387,0.0715
388,0.07196
389,0.07243
390,0.07262
391,0.07253
392,0.07222
393,0.07219
394,0.07268
395,0.07298
396,0.07293
397,0.07274
398,0.07273
399,0.07289
400,0.07314
401,0.07326
402,0.07287
403,0.0731
404,0.07345
405,0.07333
406,0.07325
407,0.07341
408,0.0736
409,0.07346
410,0.07383
411,0.07411
412,0.07402
413,0.07424
414,0.07427
415,0.07422
416,0.07433
417,0.0744
418,0.07446
419,0.07451
420,0.07454
421,0.07465
422,0.07471
423,0.07466
424,0.07476
425,0.07476
426,0.07467
427,0.07465
428,0.07471
429,0.07476
430,0.07471
431,0.07451
432,0.0744
433,0.07434
434,0.07422
435,0.07411
436,0.07402
437,0.07403
438,0.07424
439,0.07442
440,0.07453
441,0.07461
442,0.07474
443,0.07481
444,0.07484
445,0.07487
446,0.07486
447,0.07486
448,0.0749
449,0.07498
450,0.07503
451,0.07509
452,0.07518
453,0.07514
454,0.07508
455,0.07508
456,0.07516
457,0.07527
458,0.07535
459,0.07537
460,0.07535
461,0.07535
462,0.07533
463,0.07524
464,0.07524
465,0.07527
466,0.07529
467,0.07529
468,0.07527
469,0.07526
470,0.07528
471,0.07524
472,0.07518
473,0.07518
474,0.07526
475,0.07529
476,0.07529
477,0.07528
478,0.07529
479,0.07527
480,0.07528
481,0.07533
482,0.07527
483,0.07523
484,0.07524
485,0.07523
486,0.07516
487,0.07516
488,0.07528
489,0.07538
490,0.07544
491,0.07549
492,0.07556
493,0.07571
494,0.07588
495,0.07605
496,0.07625
497,0.07645
498,0.07671
499,0.07704
500,0.07735
501,0.07769
502,0.07809
503,0.07852
504,0.07901
505,0.07955
506,0.08015
507,0.08087
508,0.08164
509,0.08249
510,0.08346
511,0.08455
512,0.08573
513,0.087
514,0.08842
515,0.08999
516,0.09166
517,0.09342
518,0.09531
519,0.0973
520,0.09937
521,0.10152
522,0.10361
523,0.1057
524,0.1078
525,0.10983
526,0.11177
527,0.11361
528,0.11532
529,0.11692
530,0.11838
531,0.11968
532,0.12082
533,0.12189
534,0.12284
535,0.12365
536,0.12429
537,0.12483
538,0.12531
539,0.12567
540,0.12588
541,0.12601
542,0.12613
543,0.12627
544,0.12645
545,0.12669
546,0.12699
547,0.12731
548,0.12758
549,0.12777
550,0.12785
551,0.12788
552,0.12785
553,0.12773
554,0.12749
555,0.12712
556,0.1266
557,0.12596
558,0.1252
559,0.12434
560,0.1234
561,0.12236
562,0.12123
563,0.12003
564,0.11876
565,0.11747
566,0.11615
567,0.11477
568,0.11335
569,0.11195
570,0.11058
571,0.10925
572,0.10793
573,0.10664
574,0.10543
575,0.10432
576,0.10331
577,0.10237
578,0.10148
579,0.10067
580,0.09988
581,0.09911
582,0.09839
583,0.09773
584,0.09716
585,0.09666
586,0.09617
587,0.09566
588,0.09516
589,0.09474
590,0.09434
591,0.09396
592,0.09359
593,0.09324
594,0.09295
595,0.09275
596,0.09262
597,0.09251
598,0.09237
599,0.09221
600,0.09205
601,0.09186
602,0.09161
603,0.09129
604,0.09095
605,0.09056
606,0.09013
607,0.08966
608,0.08913
609,0.0885
610,0.08774
611,0.08692
612,0.0864
613,0.08609
614,0.08582
615,0.08544
616,0.08504
617,0.08464
618,0.08423
619,0.08386
620,0.08353
621,0.08324
622,0.083
623,0.08281
624,0.08265
625,0.08251
626,0.08237
627,0.08226
628,0.08218
629,0.08211
630,0.08199
631,0.08188
632,0.08181
633,0.08171
634,0.08155
635,0.08133
636,0.08109
637,0.08079
638,0.08045
639,0.08009
640,0.07975
641,0.07936
642,0.07897
643,0.07861
644,0.07828
645,0.07795
646,0.07762
647,0.07734
648,0.0771
649,0.07688
650,0.07669
651,0.07656
652,0.07649
653,0.07643
654,0.07637
655,0.07632
656,0.07626
657,0.07617
658,0.07608
659,0.07599
660,0.0759
661,0.07581
662,0.07574
663,0.07572
664,0.07574
665,0.0758
666,0.07591
667,0.07603
668,0.07618
669,0.0764
670,0.07667
671,0.07698
672,0.07732
673,0.07771
674,0.07816
675,0.07865
676,0.07918
677,0.07974
678,0.08035
679,0.08101
680,0.08171
681,0.08243
682,0.08317
683,0.08389
684,0.08457
685,0.08524
686,0.08592
687,0.0866
688,0.08733
689,0.08817
690,0.08926
691,0.09072
692,0.09257
693,0.09492
694,0.09785
695,0.10146
696,0.10574
697,0.11068
698,0.11623
699,0.12235
700,0.12895
701,0.13595
702,0.14326
703,0.15077
704,0.15841
705,0.16613
706,0.17386
707,0.18163
708,0.18941
709,0.19719
710,0.205
711,0.21282
712,0.22064
713,0.22847
714,0.23635
715,0.24425
716,0.25215
717,0.26011
718,0.26806
719,0.27598
720,0.28386
721,0.29174
722,0.29957
723,0.3073
724,0.31494
725,0.32247
726,0.32987
727,0.33712
728,0.3442
729,0.3511
730,0.35781
731,0.3643
732,0.37058
733,0.37663
734,0.38242
735,0.38794
736,0.39323
737,0.39826
738,0.40301
739,0.40748
740,0.41168
741,0.4156
742,0.41926
743,0.42266
744,0.42576
745,0.42859
746,0.43118
747,0.43355
748,0.43568
749,0.43759
750,0.43931
751,0.44084
752,0.44219
753,0.4434
754,0.4445
755,0.44547
756,0.4463
757,0.44705
758,0.44771
759,0.4483
760,0.44881
761,0.44925
762,0.4496
763,0.44986
764,0.45007
765,0.45026
766,0.45039
767,0.45047
768,0.45051
769,0.45054
770,0.45053
771,0.45051
772,0.45048
773,0.45043
774,0.45039
775,0.45034
776,0.4503
777,0.45024
