wl,value
360,0.04758
361,0.04766
362,0.04769
363,0.04772
364,0.04753
365,0.0471
366,0.04728
367,0.04717
368,0.04678
369,0.04671
370,0.04638
371,0.04617
372,0.04629
373,0.04638
374,0.04662
375,0.04659
376,0.04604
377,0.04617
378,0.04609
379,0.04598
380,0.04682
381,0.04659
382,0.04639
383,0.04693
384,0.04682
385,0.04635
386,0.04614
387,0.04663
388,0.04607
389,0.04615
390,0.04699
391,0.04701
392,0.04694
393,0.04684
394,0.04671
395,0.04676
396,0.04686
397,0.04698
398,0.04717
399,0.04747
400,0.04756
401,0.04745
402,0.04763
403,0.04756
404,0.04747
405,0.04765
406,0.04779
407,0.04801
408,0.0482
409,0.04821
410,0.0483
411,0.04853
412,0.04882
413,0.04888
414,0.04884
415,0.04882
416,0.04895
417,0.04912
418,0.04925
419,0.04938
420,0.0496
421,0.04973
422,0.04976
423,0.04974
424,0.04978
425,0.04991
426,0.05006
427,0.0501
428,0.05007
429,0.05011
430,0.05024
431,0.05023
432,0.05021
433,0.05022
434,0.05027
435,0.05024
436,0.05031
437,0.05046
438,0.05052
439,0.05063
440,0.05072
441,0.05076
442,0.05077
443,0.05086
444,0.05098
445,0.05105
446,0.05107
447,0.05113
448,0.05126
449,0.05139
450,0.05149
451,0.05162
452,0.05179
453,0.05185
454,0.0519
455,0.05198
456,0.05207
457,0.05213
458,0.05219
459,0.05224
460,0.05221
461,0.05229
462,0.0524
463,0.05242
464,0.05243
465,0.05248
466,0.05253
467,0.05254
468,0.05251
469,0.05249
470,0.05252
471,0.05249
472,0.0525
473,0.05256
474,0.05259
475,0.05257
476,0.05257
477,0.05263
478,0.05265
479,0.05271
480,0.05277
481,0.05279
482,0.05279
483,0.0528
484,0.05283
485,0.05289
486,0.05296
487,0.05306
488,0.05321
489,0.05339
490,0.05355
491,0.05369
492,0.05387
493,0.05411
494,0.05434
495,0.05457
496,0.05493
497,0.05527
498,0.05559
499,0.05595
500,0.05645
501,0.05703
502,0.05762
503,0.05823
504,0.05895
505,0.05976
506,0.06066
507,0.06165
508,0.06276
509,0.06398
510,0.06528
511,0.06673
512,0.06833
513,0.07007
514,0.07193
515,0.07393
516,0.07605
517,0.07826
518,0.08069
519,0.08319
520,0.08573
521,0.08833
522,0.09094
523,0.09354
524,0.0961
525,0.09857
526,0.10099
527,0.1033
528,0.10545
529,0.10746
530,0.10931
531,0.11103
532,0.11269
533,0.1141
534,0.11534
535,0.11656
536,0.11761
537,0.11852
538,0.11935
539,0.12017
540,0.12096
541,0.12169
542,0.12237
543,0.12299
544,0.12354
545,0.12399
546,0.12431
547,0.12462
548,0.12486
549,0.12504
550,0.12523
551,0.12532
552,0.12532
553,0.12524
554,0.12499
555,0.12461
556,0.12411
557,0.12346
558,0.12266
559,0.12174
560,0.12073
561,0.11963
562,0.11844
563,0.11719
564,0.11586
565,0.11445
566,0.11295
567,0.1114
568,0.10982
569,0.10826
570,0.10668
571,0.10505
572,0.10349
573,0.10198
574,0.10054
575,0.09919
576,0.09794
577,0.09676
578,0.09562
579,0.09459
580,0.09361
581,0.09268
582,0.09177
583,0.09096
584,0.09022
585,0.0895
586,0.08877
587,0.08807
588,0.08744
589,0.0869
590,0.08647
591,0.08611
592,0.08577
593,0.08542
594,0.08504
595,0.08469
596,0.08438
597,0.08407
598,0.08377
599,0.08346
600,0.08311
601,0.08276
602,0.08239
603,0.08197
604,0.08151
605,0.08102
606,0.08046
607,0.07981
608,0.07916
609,0.07849
610,0.07779
611,0.0771
612,0.07641
613,0.0757
614,0.07498
615,0.07427
616,0.07359
617,0.07295
618,0.07236
619,0.07184
620,0.07138
621,0.07096
622,0.07058
623,0.07024
624,0.06996
625,0.06974
626,0.06955
627,0.06939
628,0.06923
629,0.06909
630,0.06898
631,0.06888
632,0.06876
633,0.06856
634,0.06831
635,0.06798
636,0.06757
637,0.06711
638,0.06658
639,0.06598
640,0.06534
641,0.06468
642,0.06401
643,0.06333
644,0.06264
645,0.06198
646,0.06134
647,0.06072
648,0.06017
649,0.05968
650,0.05925
651,0.05889
652,0.05859
653,0.05832
654,0.05807
655,0.0578
656,0.05749
657,0.05715
658,0.05678
659,0.05641
660,0.05599
661,0.05555
662,0.05518
663,0.05481
664,0.05447
665,0.05417
666,0.05393
667,0.05373
668,0.05356
669,0.05345
670,0.05339
671,0.05337
672,0.05339
673,0.05345
674,0.05355
675,0.0537
676,0.05389
677,0.05409
678,0.05434
679,0.05464
680,0.05496
681,0.05536
682,0.05582
683,0.05634
684,0.05698
685,0.05772
686,0.05861
687,0.05968
688,0.06099
689,0.06263
690,0.06468
691,0.06717
692,0.07022
693,0.07383
694,0.07804
695,0.08291
696,0.08844
697,0.09457
698,0.1012
699,0.10832
700,0.1158
701,0.12354
702,0.13147
703,0.1395
704,0.14753
705,0.15549
706,0.16339
707,0.17119
708,0.17888
709,0.18647
710,0.19395
711,0.20135
