wl,value
360,0.05802
361,0.06283
362,0.06371
363,0.06054
364,0.05551
365,0.05167
366,0.05382
367,0.05668
368,0.05681
369,0.05275
370,0.0472
371,0.04743
372,0.05444
373,0.05729
374,0.0587
375,0.05833
376,0.05655
377,0.05978
378,0.06101
379,0.05725
380,0.05038
381,0.05294
382,0.05612
383,0.05391
384,0.05385
385,0.05814
386,0.06207
387,0.05997
388,0.05696
389,0.05498
390,0.05547
391,0.05962
392,0.06111
393,0.06159
394,0.06275
395,0.06191
396,0.05855
397,0.05651
398,0.06006
399,0.05967
400,0.06173
401,0.06624
402,0.06339
403,0.06034
404,0.06031
405,0.06378
406,0.06654
407,0.06573
408,0.06374
409,0.0656
410,0.06378
411,0.06356
412,0.06692
413,0.06727
414,0.06596
415,0.06499
416,0.06568
417,0.06398
418,0.06416
419,0.06684
420,0.06897
421,0.06828
422,0.06596
423,0.06401
424,0.06462
425,0.06627
426,0.06767
427,0.06783
428,0.06812
429,0.06798
430,0.06737
431,0.06704
432,0.06757
433,0.06802
434,0.0676
435,0.06767
436,0.06769
437,0.06759
438,0.06771
439,0.06847
440,0.06883
441,0.06848
442,0.0692
443,0.06937
444,0.06878
445,0.06804
446,0.06901
447,0.07032
448,0.07059
449,0.06881
450,0.06808
451,0.06879
452,0.07023
453,0.07063
454,0.07038
455,0.07012
456,0.07053
457,0.07077
458,0.07108
459,0.07139
460,0.07073
461,0.07104
462,0.07114
463,0.06971
464,0.07099
465,0.07157
466,0.07085
467,0.07139
468,0.07161
469,0.07145
470,0.07122
471,0.07144
472,0.07142
473,0.0714
474,0.07196
475,0.07173
476,0.07129
477,0.07124
478,0.07187
479,0.07206
480,0.07199
481,0.0721
482,0.07189
483,0.07199
484,0.07232
485,0.07225
486,0.07261
487,0.07281
488,0.0725
489,0.07278
490,0.07269
491,0.0726
492,0.07323
493,0.07304
494,0.07304
495,0.07378
496,0.07486
497,0.07566
498,0.07624
499,0.0768
500,0.07715
501,0.07769
502,0.07836
503,0.07874
504,0.08001
505,0.0811
506,0.08149
507,0.08274
508,0.08418
509,0.08557
510,0.08689
511,0.08865
512,0.09026
513,0.09169
514,0.09385
515,0.09594
516,0.09789
517,0.09987
518,0.10236
519,0.10487
520,0.10713
521,0.10908
522,0.11168
523,0.11412
524,0.116
525,0.11834
526,0.12086
527,0.12322
528,0.12511
529,0.12677
530,0.12833
531,0.12988
