wl,value
360,0.04242
361,0.04293
362,0.04208
363,0.04192
364,0.04278
365,0.04403
366,0.04341
367,0.04324
368,0.04349
369,0.04265
370,0.04168
371,0.04138
372,0.04197
373,0.04281
374,0.0425
375,0.04168
376,0.04147
377,0.04169
378,0.04209
379,0.04263
380,0.04332
381,0.04212
382,0.04114
383,0.04151
384,0.0407
385,0.04076
386,0.04157
387,0.0422
388,0.04206
389,0.04166
390,0.04164
391,0.04269
392,0.04278
393,0.04254
394,0.04266
395,0.04234
396,0.04213
397,0.0419
398,0.04136
399,0.04174
400,0.0421
401,0.04207
402,0.04224
403,0.04236
404,0.04249
405,0.04272
406,0.04319
407,0.0432
408,0.0429
409,0.04297
410,0.04288
411,0.04275
412,0.04264
413,0.04239
414,0.04257
415,0.04285
416,0.04279
417,0.0426
418,0.04282
419,0.04318
420,0.04273
421,0.04298
422,0.04316
423,0.04275
424,0.04291
425,0.04312
426,0.04332
427,0.04355
428,0.04332
429,0.04313
430,0.0432
431,0.04334
432,0.04346
433,0.0436
434,0.04379
435,0.04402
436,0.04404
437,0.0438
438,0.04349
439,0.04342
440,0.04339
441,0.04327
442,0.0431
443,0.04328
444,0.04345
445,0.04311
446,0.04301
447,0.0431
448,0.04328
449,0.04342
450,0.04338
451,0.04338
452,0.04357
453,0.0436
454,0.04351
455,0.04347
456,0.04364
457,0.0436
458,0.0436
459,0.04374
460,0.04361
461,0.04357
462,0.04363
463,0.04367
464,0.04359
465,0.04356
466,0.0436
467,0.04354
468,0.04353
469,0.04348
470,0.04335
471,0.04356
472,0.04369
473,0.04361
474,0.04339
475,0.04349
476,0.04358
477,0.0435
478,0.04343
479,0.04351
480,0.04361
481,0.04355
482,0.04358
483,0.04367
484,0.04375
485,0.04376
486,0.04377
487,0.04383
488,0.04392
489,0.04397
490,0.04398
491,0.04398
492,0.04401
493,0.0442
494,0.04438
495,0.04447
496,0.04455
497,0.04459
498,0.04461
499,0.04466
500,0.04501
501,0.04531
502,0.04546
503,0.04566
504,0.04597
505,0.04626
506,0.0465
507,0.04688
508,0.04736
509,0.04791
510,0.04849
511,0.04913
512,0.04988
513,0.05074
514,0.05166
515,0.05267
516,0.05382
517,0.05512
518,0.05636
519,0.0578
520,0.05938
521,0.06085
522,0.06251
523,0.06422
524,0.06589
525,0.06754
526,0.06914
527,0.07066
528,0.07209
529,0.07339
530,0.07461
531,0.07575
532,0.07678
533,0.0777
534,0.07853
535,0.07927
536,0.07985
537,0.08039
538,0.08092
539,0.08142
540,0.08192
541,0.0824
542,0.08287
543,0.08338
544,0.08386
545,0.08426
546,0.08454
547,0.08451
548,0.08438
549,0.08432
550,0.08438
551,0.08443
552,0.08441
553,0.0843
554,0.08408
555,0.08375
556,0.08331
557,0.08276
558,0.08214
559,0.08144
560,0.08068
561,0.07993
562,0.07898
563,0.07791
564,0.07686
565,0.07578
566,0.0746
567,0.07335
568,0.07218
569,0.07102
570,0.06988
571,0.06879
572,0.06771
573,0.06664
574,0.06559
575,0.0646
576,0.06379
577,0.06305
578,0.06232
579,0.06169
580,0.06109
581,0.06052
582,0.05997
583,0.05938
584,0.05888
585,0.05847
586,0.0581
587,0.05781
588,0.05753
589,0.05717
590,0.05684
591,0.05651
592,0.05621
593,0.05596
594,0.05575
595,0.05553
596,0.0553
597,0.05514
598,0.05506
599,0.05496
600,0.05475
601,0.05454
602,0.05432
603,0.05409
604,0.05381
605,0.05353
606,0.05324
607,0.05294
608,0.05268
609,0.05247
610,0.05228
611,0.0521
612,0.05177
613,0.0513
614,0.05081
615,0.05045
616,0.05011
617,0.04981
618,0.04958
619,0.04936
620,0.04917
621,0.04899
622,0.04876
623,0.0486
624,0.0485
625,0.04843
626,0.04836
627,0.04827
628,0.04819
629,0.04814
630,0.04812
631,0.04811
632,0.04804
633,0.0479
634,0.04778
635,0.04764
636,0.04744
637,0.04727
638,0.04709
639,0.04685
640,0.04656
641,0.04628
642,0.04601
643,0.04577
644,0.04556
645,0.04532
646,0.04512
647,0.04503
648,0.04486
649,0.04468
650,0.04454
651,0.04447
652,0.04438
653,0.04432
654,0.04427
655,0.04414
