wl,value
360,0.06888
361,0.06978
362,0.06984
363,0.07012
364,0.0703
365,0.06982
366,0.06817
367,0.06735
368,0.06821
369,0.07045
370,0.07095
371,0.0702
372,0.06899
373,0.06733
374,0.0691
375,0.07102
376,0.06923
377,0.06869
378,0.06847
379,0.06831
380,0.06873
381,0.069
382,0.06916
383,0.06929
384,0.06938
385,0.06906
386,0.06837
387,0.0677
388,0.06869
389,0.06953
390,0.06934
391,0.06852
392,0.06823
393,0.06856
394,0.06919
395,0.06949
396,0.06948
397,0.06915
398,0.06859
399,0.06878
400,0.06881
401,0.06836
402,0.06805
403,0.06806
404,0.06822
405,0.06836
406,0.06891
407,0.06917
408,0.06898
409,0.06863
410,0.0687
411,0.06885
412,0.06886
413,0.06889
414,0.06917
415,0.06929
416,0.0689
417,0.06884
418,0.0689
419,0.06894
420,0.06888
421,0.06891
422,0.06906
423,0.06927
424,0.06936
425,0.06935
426,0.06926
427,0.06917
428,0.06928
429,0.06935
430,0.06932
431,0.06933
432,0.0693
433,0.06925
434,0.06919
435,0.06913
436,0.06907
437,0.06907
438,0.06915
439,0.06938
440,0.06944
441,0.06923
442,0.06921
443,0.06909
444,0.06904
445,0.06926
446,0.06944
447,0.06942
448,0.0693
449,0.06951
450,0.0695
451,0.06945
452,0.06957
453,0.06965
454,0.06965
455,0.06963
456,0.06967
457,0.06969
458,0.06967
459,0.06962
460,0.06955
461,0.06966
462,0.06979
463,0.06973
464,0.06958
465,0.0695
466,0.06952
467,0.06956
468,0.06952
469,0.06947
470,0.06949
471,0.06955
472,0.06954
473,0.06951
474,0.06958
475,0.06958
476,0.06952
477,0.06945
478,0.06947
479,0.0695
480,0.06952
481,0.06953
482,0.06959
483,0.06959
484,0.06953
485,0.06947
486,0.0695
487,0.06965
488,0.06982
489,0.06977
490,0.06981
491,0.06997
492,0.07009
493,0.07012
494,0.07015
495,0.07028
496,0.07052
497,0.0706
498,0.07069
499,0.07098
500,0.07115
501,0.07135
502,0.07164
503,0.07199
504,0.0723
505,0.07265
506,0.07311
507,0.07373
508,0.0744
509,0.07516
510,0.07607
511,0.07692
512,0.07789
513,0.07912
514,0.08053
515,0.082
516,0.0836
517,0.0854
518,0.08719
519,0.08912
520,0.09123
521,0.0934
522,0.09562
523,0.09787
524,0.1001
525,0.10219
526,0.10425
527,0.10626
528,0.10815
529,0.10997
530,0.11159
531,0.113
532,0.11438
533,0.11553
534,0.11656
535,0.11756
536,0.11828
537,0.11897
538,0.11968
539,0.12032
540,0.1208
541,0.12123
542,0.12168
543,0.12211
544,0.12257
545,0.12303
546,0.12343
547,0.12376
548,0.12401
549,0.1242
550,0.12441
551,0.12458
552,0.12466
553,0.12462
554,0.12447
555,0.12416
556,0.12367
557,0.12304
558,0.12231
559,0.12149
560,0.12054
561,0.11945
562,0.11824
563,0.11694
564,0.1156
565,0.11417
566,0.11265
567,0.11106
568,0.10947
569,0.10787
570,0.1063
571,0.1048
572,0.10337
573,0.10198
574,0.10064
575,0.09944
576,0.09837
577,0.0974
578,0.09652
579,0.09565
580,0.09479
581,0.09394
582,0.09315
583,0.09248
584,0.09189
585,0.09135
586,0.0908
587,0.09023
588,0.08965
589,0.08911
590,0.0887
591,0.08831
592,0.08795
593,0.08773
594,0.0875
595,0.08725
596,0.08698
597,0.08679
598,0.08658
599,0.08634
600,0.08611
601,0.08588
602,0.08565
603,0.08539
604,0.08508
605,0.08472
606,0.0843
607,0.0838
608,0.08341
609,0.08298
610,0.08246
611,0.08186
612,0.08135
613,0.08088
614,0.08042
615,0.07997
616,0.07955
617,0.07917
618,0.07882
619,0.07844
620,0.07812
621,0.07788
622,0.07767
623,0.07742
624,0.07725
625,0.07719
626,0.07705
627,0.07695
628,0.07686
629,0.07675
630,0.07666
631,0.07658
632,0.07651
633,0.07642
634,0.07619
635,0.07593
636,0.07571
637,0.07537
638,0.07501
639,0.07464
640,0.07426
641,0.07389
642,0.07346
643,0.07299
644,0.07268
645,0.07237
646,0.07204
647,0.07174
648,0.07146
649,0.07123
650,0.07106
651,0.07091
652,0.07076
653,0.07064
654,0.07054
655,0.07044
656,0.07033
657,0.07022
658,0.07008
659,0.06995
660,0.06981
661,0.06967
662,0.06956
663,0.06943
664,0.06933
665,0.06929
666,0.06925
667,0.06924
668,0.06925
669,0.06926
670,0.06935
671,0.06944
672,0.06952
673,0.06961
674,0.06976
675,0.06995
676,0.07013
677,0.07031
678,0.07051
679,0.07074
680,0.07102
681,0.07131
682,0.07159
683,0.07189
684,0.07221
685,0.07259
686,0.07305
687,0.07358
688,0.0742
689,0.07501
690,0.07609
691,0.07754
692,0.07946
693,0.08193
694,0.08507
695,0.08891
696,0.09358
697,0.09909
698,0.10539
699,0.11234
700,0.11997
701,0.12823
702,0.137
703,0.14611
704,0.15553
705,0.1652
706,0.1749
707,0.18473
708,0.1946
709,0.20437
710,0.21429
711,0.22418
712,0.23395
713,0.24358
714,0.25316
715,0.26259
716,0.27176
717,0.28093
718,0.28986
719,0.29847
720,0.30679
721,0.31494
722,0.32291
723,0.33061
724,0.33789
725,0.34478
726,0.35142
727,0.35786
728,0.36382
729,0.3696
730,0.37506
731,0.37996
732,0.3848
733,0.38931
734,0.39345
735,0.39749
736,0.40104
737,0.4044
738,0.40774
739,0.41063
740,0.41338
741,0.41596
742,0.41824
743,0.42021
744,0.42217
745,0.42413
746,0.42587
747,0.42735
748,0.42858
749,0.42966
750,0.431
751,0.43197
752,0.43273
753,0.4336
754,0.43421
755,0.43491
756,0.43568
757,0.43624
758,0.43655
759,0.43689
760,0.43736
761,0.4376
762,0.43796
763,0.43831
764,0.43846
765,0.43874
766,0.43892
767,0.43901
768,0.43913
769,0.43923
770,0.43934
771,0.43949
772,0.43971
773,0.4396
774,0.43952
775,0.43974
776,0.4399
777,0.43998
778,0.44002
779,0.44007
780,0.44022
781,0.44028
782,0.44023
783,0.44033
784,0.44031
785,0.44024
786,0.44025
787,0.44044
788,0.44056
789,0.44063
790,0.44077
791,0.44074
792,0.44069
793,0.44072
794,0.44079
795,0.44092
796,0.44096
797,0.4409
798,0.4409
799,0.44099
800,0.44111
801,0.44118
802,0.44096
803,0.44086
804,0.44093
805,0.44101
806,0.44081
807,0.44076
808,0.44087
809,0.44077
810,0.44092
811,0.44094
812,0.44068
813,0.44059
814,0.44061
815,0.44067
816,0.44068
817,0.44067
818,0.4405
819,0.44031
820,0.44032
821,0.44037
822,0.44032
823,0.44021
824,0.44019
825,0.44016
826,0.44015
827,0.44013
828,0.44003
829,0.43994
830,0.4399
