wl,value
360,0.06063
361,0.06481
362,0.06756
363,0.06895
364,0.06873
365,0.06695
366,0.0646
367,0.05945
368,0.05522
369,0.05917
370,0.06386
371,0.06729
372,0.06796
373,0.06255
374,0.06162
375,0.06347
376,0.06358
377,0.06506
378,0.0673
379,0.06927
380,0.0695
381,0.06522
382,0.05971
383,0.05695
384,0.06032
385,0.06152
386,0.06125
387,0.06261
388,0.0611
389,0.05989
390,0.05989
391,0.05928
392,0.05697
393,0.05793
394,0.06368
395,0.06438
396,0.06371
397,0.0617
398,0.0578
399,0.05926
400,0.06126
401,0.0612
402,0.06086
403,0.0628
404,0.06402
405,0.06189
406,0.05939
407,0.05951
408,0.06065
409,0.05893
410,0.06037
411,0.06183
412,0.06131
413,0.06069
414,0.0616
415,0.06187
416,0.05959
417,0.06068
418,0.06205
419,0.06181
420,0.05976
421,0.0588
422,0.06005
423,0.06285
424,0.06361
425,0.06235
426,0.06101
427,0.06184
428,0.06181
429,0.06151
430,0.0614
431,0.06133
432,0.06152
433,0.06228
434,0.06338
435,0.06258
436,0.06195
437,0.06217
438,0.06269
439,0.06256
440,0.06209
441,0.06164
442,0.06114
443,0.06122
444,0.06165
445,0.06191
446,0.06233
447,0.0624
448,0.06217
449,0.0624
450,0.06229
451,0.06188
452,0.06157
453,0.06243
454,0.06302
455,0.06286
456,0.06216
457,0.06162
458,0.06194
459,0.06289
460,0.06245
461,0.0626
462,0.06289
463,0.06241
464,0.06219
465,0.06221
466,0.06234
467,0.06231
468,0.06214
469,0.062
470,0.06196
471,0.06153
472,0.06238
473,0.06347
474,0.06265
475,0.06215
476,0.06228
477,0.06279
478,0.06279
479,0.06263
480,0.06253
481,0.06262
482,0.06292
483,0.06274
484,0.06231
485,0.06258
486,0.06278
487,0.06272
488,0.06248
489,0.06261
490,0.0629
491,0.06301
492,0.06262
493,0.06234
494,0.06285
495,0.06372
496,0.06299
497,0.06283
498,0.06328
499,0.06371
500,0.06345
501,0.06356
502,0.06403
503,0.06395
504,0.06364
505,0.06371
506,0.06443
507,0.0653
508,0.06594
509,0.06618
510,0.0661
511,0.06646
512,0.06709
513,0.06781
514,0.06858
515,0.06919
516,0.07017
517,0.07175
518,0.07225
519,0.07275
520,0.07367
521,0.07489
522,0.07637
523,0.07768
524,0.07868
525,0.07992
526,0.08103
527,0.08193
528,0.08279
529,0.08448
530,0.08588
531,0.0867
532,0.08784
533,0.08871
534,0.08946
535,0.09028
536,0.09097
537,0.09178
538,0.09269
539,0.09348
540,0.0943
541,0.09543
542,0.09679
543,0.09755
544,0.09788
545,0.09808
546,0.09836
547,0.09799
548,0.09767
549,0.09772
550,0.09776
551,0.09791
552,0.0979
553,0.09758
554,0.09752
555,0.09723
556,0.0968
557,0.09666
558,0.09602
559,0.09534
560,0.0949
561,0.09409
562,0.0935
563,0.09292
564,0.09192
565,0.09113
566,0.09049
567,0.08985
568,0.08897
569,0.08801
570,0.08712
571,0.08634
572,0.08541
573,0.08452
574,0.08371
575,0.08299
576,0.08244
577,0.08194
578,0.08142
579,0.08094
580,0.08044
581,0.07991
582,0.07943
583,0.07916
584,0.07902
585,0.07882
586,0.07831
587,0.07787
588,0.07762
589,0.07747
590,0.07701
591,0.07669
592,0.07659
593,0.07655
594,0.0764
595,0.07597
596,0.07545
597,0.07561
598,0.07578
599,0.07571
600,0.07537
601,0.07493
602,0.07464
603,0.07449
604,0.07419
605,0.07408
606,0.07391
607,0.0735
608,0.07328
609,0.07292
610,0.07273
611,0.07309
612,0.07277
613,0.07218
614,0.07163
615,0.07099
616,0.07059
617,0.07027
618,0.06982
619,0.06968
620,0.06961
621,0.06937
622,0.06879
623,0.06855
624,0.0685
625,0.06848
626,0.06846
627,0.06838
628,0.06825
629,0.06817
630,0.06838
631,0.06843
632,0.06824
633,0.06814
634,0.06791
635,0.06768
636,0.06754
637,0.06748
638,0.0674
639,0.06718
640,0.0668
641,0.06682
642,0.06676
643,0.06642
644,0.06619
645,0.06591
646,0.06567
647,0.06557
648,0.0655
649,0.06539
650,0.06518
651,0.06486
652,0.06466
653,0.06469
654,0.06486
655,0.06467
656,0.06442
657,0.06427
658,0.06426
659,0.06402
660,0.06374
661,0.06352
662,0.06332
663,0.06322
664,0.06311
665,0.06295
666,0.06302
667,0.0628
668,0.06249
669,0.06258
670,0.06265
671,0.06265
672,0.06262
673,0.06262
674,0.06265
675,0.06286
676,0.06325
677,0.06298
678,0.06286
679,0.06311
680,0.06352
681,0.06383
682,0.06398
683,0.06404
684,0.06436
685,0.06461
686,0.06495
687,0.06558
688,0.06636
689,0.06697
690,0.06758
691,0.06868
692,0.06998
693,0.07174
694,0.07409
695,0.07671
696,0.07978
697,0.08344
698,0.08773
699,0.09221
700,0.09739
701,0.10334
702,0.10975
703,0.11639
704,0.12338
705,0.13078
706,0.13839
707,0.14642
708,0.15474
709,0.16312
710,0.17148
711,0.18014
712,0.18922
713,0.19867
714,0.20791
715,0.21707
716,0.22643
717,0.23623
718,0.24621
719,0.25612
720,0.26584
721,0.27561
722,0.28552
723,0.29544
724,0.30503
725,0.31454
726,0.32387
727,0.3329
728,0.34161
729,0.35019
730,0.35864
731,0.36679
732,0.37431
733,0.38149
734,0.38848
735,0.39531
736,0.40159
737,0.40749
738,0.41319
739,0.41855
740,0.42361
741,0.42836
742,0.43276
743,0.43673
744,0.44049
745,0.44412
746,0.44748
747,0.45052
748,0.45334
749,0.45597
750,0.45831
751,0.46043
752,0.46243
753,0.46437
754,0.46595
755,0.46732
756,0.4686
757,0.46988
758,0.47106
759,0.47221
760,0.47328
761,0.47409
762,0.47468
763,0.47536
764,0.47625
765,0.47674
766,0.47708
767,0.4775
768,0.47811
769,0.47844
770,0.47874
771,0.47906
772,0.47917
773,0.47941
774,0.4797
775,0.47988
776,0.47989
777,0.48007
778,0.48034
779,0.48045
780,0.48042
781,0.48039
782,0.48041
783,0.4804
784,0.48045
785,0.48057
786,0.48072
787,0.48082
788,0.4809
789,0.48084
790,0.4806
791,0.48067
792,0.48065
