wl,value
360,0.05658
361,0.05157
362,0.06371
363,0.07245
364,0.07593
365,0.07628
366,0.07474
367,0.07114
368,0.06796
369,0.06923
370,0.06859
371,0.07111
372,0.07681
373,0.07473
374,0.06525
375,0.05969
376,0.06772
377,0.07077
378,0.07341
379,0.07612
380,0.07534
381,0.06954
382,0.06518
383,0.0664
384,0.07006
385,0.07062
386,0.06696
387,0.06141
388,0.06475
389,0.06849
390,0.06962
391,0.07148
392,0.06915
393,0.06674
394,0.06727
395,0.06614
396,0.06505
397,0.06549
398,0.06789
399,0.0654
400,0.06589
401,0.07114
402,0.07387
403,0.06893
404,0.06464
405,0.06787
406,0.06851
407,0.0686
408,0.06935
409,0.07094
410,0.06891
411,0.06807
412,0.07042
413,0.07102
414,0.07092
415,0.06984
416,0.06793
417,0.06906
418,0.06949
419,0.06885
420,0.07009
421,0.07202
422,0.07235
423,0.07076
424,0.07251
425,0.07213
426,0.0705
427,0.07098
428,0.07141
429,0.07161
430,0.07186
431,0.07291
432,0.07258
433,0.07191
434,0.0722
435,0.07245
436,0.0722
437,0.07188
438,0.07241
439,0.07244
440,0.07243
441,0.07287
442,0.0738
443,0.07371
444,0.07346
445,0.07432
446,0.07381
447,0.07335
448,0.07374
449,0.07464
450,0.07463
451,0.07402
452,0.07381
453,0.07581
454,0.07599
455,0.07469
456,0.07484
457,0.07454
458,0.07454
459,0.07515
460,0.07525
461,0.0759
462,0.07614
463,0.07506
464,0.07568
465,0.07592
466,0.07498
467,0.07366
468,0.07442
469,0.07563
470,0.07555
471,0.07463
472,0.07444
473,0.07493
474,0.07515
475,0.07492
476,0.07474
477,0.07492
478,0.07544
479,0.07505
480,0.07432
481,0.07428
482,0.07552
483,0.07552
484,0.07461
485,0.07551
486,0.07534
487,0.0747
488,0.07457
489,0.07531
490,0.07556
491,0.07531
492,0.07527
493,0.07565
494,0.0762
495,0.0765
496,0.07589
497,0.07615
498,0.07687
499,0.07711
500,0.07664
501,0.07653
502,0.07692
503,0.07715
504,0.07766
505,0.07798
506,0.07798
507,0.07886
508,0.07936
509,0.07954
510,0.07998
511,0.08043
512,0.08122
513,0.08219
514,0.08241
515,0.0837
516,0.08526
517,0.08602
518,0.08653
519,0.08738
520,0.08874
521,0.09037
522,0.09142
523,0.09231
524,0.09357
525,0.09574
526,0.09731
527,0.09828
528,0.09928
529,0.10063
530,0.10195
531,0.10301
532,0.10389
533,0.10479
534,0.1058
535,0.10683
536,0.10741
537,0.10785
538,0.10828
539,0.1087
540,0.10918
541,0.1097
542,0.11019
543,0.11029
544,0.11078
545,0.11143
546,0.11169
