wl,value
360,0.04497
361,0.0451
362,0.04498
363,0.04456
364,0.04416
365,0.04412
366,0.04452
367,0.04463
368,0.04439
369,0.04418
370,0.04334
371,0.04319
372,0.04398
373,0.0437
374,0.04285
375,0.04247
376,0.04327
377,0.0438
378,0.04329
379,0.04239
380,0.04278
381,0.04312
382,0.04291
383,0.04225
384,0.04213
385,0.04236
386,0.04246
387,0.04205
388,0.04189
389,0.04186
390,0.04186
391,0.04191
392,0.04174
393,0.04157
394,0.04163
395,0.04185
396,0.04189
397,0.04169
398,0.0414
399,0.04159
400,0.04145
401,0.04094
402,0.04115
403,0.04125
404,0.04115
405,0.04104
406,0.04138
407,0.04157
408,0.0415
409,0.04144
410,0.0415
411,0.04163
412,0.04181
413,0.04209
414,0.0424
415,0.0428
416,0.04333
417,0.04365
418,0.04402
419,0.04448
420,0.04489
421,0.04531
422,0.04577
423,0.04625
424,0.0468
425,0.04742
426,0.04803
427,0.04855
428,0.04911
429,0.04966
430,0.05016
431,0.05062
432,0.0511
433,0.05157
434,0.05198
435,0.05232
436,0.05268
437,0.05304
438,0.05334
439,0.0536
440,0.05386
441,0.05414
442,0.05436
443,0.05454
444,0.05476
445,0.05509
446,0.05533
447,0.0555
448,0.05564
449,0.05583
450,0.056
451,0.05612
452,0.05623
453,0.05641
454,0.05665
455,0.05688
456,0.05704
457,0.05709
458,0.05711
459,0.05715
460,0.05723
461,0.0573
462,0.05734
463,0.05737
464,0.05743
465,0.05748
466,0.05751
467,0.05751
468,0.05755
469,0.05755
470,0.05747
471,0.05736
472,0.05734
473,0.05736
474,0.05731
475,0.0573
476,0.05732
477,0.05731
478,0.05719
479,0.05718
480,0.05722
481,0.05725
482,0.0573
483,0.05733
484,0.05733
485,0.05739
486,0.05751
487,0.05767
488,0.05785
489,0.05805
490,0.05825
491,0.05847
492,0.05873
493,0.05898
494,0.05929
495,0.05969
496,0.06008
497,0.06055
498,0.0611
499,0.06169
500,0.06233
501,0.06308
502,0.06391
503,0.06479
504,0.06585
505,0.06704
506,0.06832
507,0.06976
508,0.07133
509,0.07304
510,0.07489
511,0.07686
512,0.07901
513,0.08136
514,0.08394
515,0.08669
516,0.08957
517,0.0926
518,0.09571
519,0.09899
520,0.10241
521,0.10584
522,0.10931
523,0.11276
524,0.11615
525,0.11942
526,0.1226
527,0.12567
528,0.12854
529,0.13118
530,0.13365
531,0.13596
532,0.13806
533,0.13994
534,0.14166
535,0.14324
536,0.14462
537,0.14586
538,0.14699
539,0.14802
540,0.14914
541,0.15033
542,0.15149
543,0.15242
544,0.15311
545,0.15357
546,0.15381
547,0.15392
548,0.15401
549,0.15417
550,0.15441
551,0.15457
552,0.15456
553,0.15437
554,0.15398
555,0.15338
556,0.15258
557,0.15165
558,0.15054
559,0.14931
560,0.14801
561,0.14663
562,0.1452
563,0.14373
564,0.14217
565,0.14053
566,0.13883
567,0.13708
568,0.13521
569,0.13328
570,0.13128
571,0.12921
572,0.12724
573,0.12534
574,0.12351
575,0.12176
576,0.12009
577,0.11851
578,0.11705
579,0.11573
580,0.11453
581,0.11342
582,0.11236
583,0.11132
584,0.11029
585,0.10932
586,0.10846
587,0.10773
588,0.10706
589,0.10639
590,0.10577
591,0.10516
592,0.1046
593,0.10415
594,0.10376
595,0.1034
596,0.10308
597,0.1028
598,0.1025
599,0.10217
600,0.10179
601,0.1013
602,0.10072
603,0.10007
604,0.09933
605,0.09846
606,0.09751
607,0.09649
608,0.09539
609,0.09433
610,0.09337
611,0.09248
612,0.09132
613,0.08996
614,0.08855
615,0.08737
616,0.08625
617,0.08521
618,0.08428
619,0.08347
620,0.08276
621,0.08211
622,0.08153
623,0.08102
624,0.08058
625,0.08021
626,0.07991
627,0.07966
628,0.07947
629,0.07932
630,0.07923
631,0.07916
632,0.07903
633,0.07881
634,0.07852
635,0.07814
636,0.07769
637,0.07712
638,0.07644
639,0.07567
640,0.07483
641,0.07393
642,0.073
643,0.07207
644,0.07109
645,0.07011
646,0.06915
647,0.06824
648,0.06737
649,0.0666
650,0.06595
651,0.06535
652,0.06477
653,0.06423
654,0.06368
655,0.06307
656,0.06238
657,0.06164
658,0.06086
659,0.06004
660,0.05921
661,0.0584
662,0.05763
663,0.05688
664,0.05623
665,0.05568
666,0.0552
667,0.05483
668,0.05455
669,0.05434
670,0.05426
671,0.05424
672,0.05426
673,0.05432
674,0.05448
675,0.0547
676,0.05495
677,0.0553
678,0.05569
679,0.05612
680,0.05663
681,0.05722
682,0.05793
683,0.05875
684,0.05969
685,0.06083
686,0.06221
687,0.06387
688,0.06596
689,0.06857
690,0.07182
691,0.07583
692,0.08069
693,0.08642
694,0.09301
695,0.10047
696,0.10877
697,0.11781
698,0.12752
699,0.1378
700,0.14854
701,0.15963
702,0.17096
703,0.18246
704,0.19405
705,0.20567
706,0.21725
707,0.22877
708,0.24021
709,0.2516
710,0.2629
711,0.27416
712,0.28536
713,0.29643
714,0.30735
715,0.31816
716,0.32888
717,0.33947
718,0.34987
719,0.36007
720,0.37003
721,0.37979
722,0.38928
723,0.39845
724,0.40734
725,0.41586
726,0.42403
727,0.43188
728,0.43935
729,0.44643
730,0.45316
731,0.45955
732,0.46556
733,0.47122
734,0.47656
735,0.48158
736,0.48625
737,0.4906
738,0.49465
739,0.49846
740,0.50199
741,0.50524
742,0.50825
743,0.51101
744,0.51353
745,0.51584
746,0.51797
747,0.5199
748,0.52163
749,0.52321
750,0.52465
751,0.52596
752,0.52713
753,0.5282
754,0.52916
755,0.53003
756,0.53082
757,0.53154
758,0.53218
759,0.53277
760,0.53335
761,0.53384
762,0.53427
763,0.53467
764,0.53503
765,0.53534
766,0.5356
767,0.53585
768,0.53609
769,0.53631
770,0.53651
771,0.53669
772,0.53681
773,0.53696
774,0.53712
775,0.53726
776,0.5374
777,0.53749
778,0.53756
779,0.53765
780,0.53776
781,0.53787
782,0.53796
783,0.538
784,0.53805
785,0.5381
786,0.53814
787,0.53818
788,0.53819
789,0.53818
790,0.53816
791,0.53819
792,0.53821
793,0.53817
794,0.5381
795,0.53805
796,0.53801
797,0.53793
798,0.53784
799,0.53774
800,0.53764
801,0.53753
802,0.53739
803,0.53728
804,0.53717
805,0.53701
806,0.53687
807,0.53669
808,0.5365
809,0.53637
810,0.53616
811,0.53597
812,0.53582
813,0.5356
814,0.53538
815,0.53517
816,0.53496
817,0.53475
818,0.53452
819,0.53429
820,0.53409
821,0.53389
822,0.53365
823,0.5334
824,0.53321
825,0.53297
826,0.53272
827,0.5325
828,0.53225
829,0.532
830,0.53174
