wl,value
360,0.05567
361,0.05986
362,0.04684
363,0.0454
364,0.05008
365,0.05027
366,0.05524
367,0.05525
368,0.05193
369,0.05372
370,0.04972
371,0.04352
372,0.03933
373,0.03847
374,0.04505
375,0.05029
376,0.04604
377,0.04812
378,0.04732
379,0.04432
380,0.04838
381,0.05167
382,0.05116
383,0.04715
384,0.04578
385,0.04464
386,0.0444
387,0.04621
388,0.04796
389,0.04914
390,0.0497
391,0.04993
392,0.04927
393,0.04918
394,0.0497
395,0.04567
396,0.04452
397,0.04638
398,0.0478
399,0.04755
400,0.0464
401,0.04552
402,0.04611
403,0.04629
404,0.04581
405,0.04485
406,0.04339
407,0.04233
408,0.04269
409,0.04518
410,0.04742
411,0.04752
412,0.04625
413,0.049
414,0.04838
415,0.04752
416,0.05081
417,0.05166
418,0.05187
419,0.05201
420,0.05128
421,0.0507
422,0.05094
423,0.05196
424,0.05228
425,0.05309
426,0.05436
427,0.05534
428,0.0543
429,0.05387
430,0.05513
431,0.05663
432,0.05651
433,0.05566
434,0.0554
435,0.05543
436,0.05604
437,0.05725
438,0.0587
439,0.05813
440,0.05769
441,0.05876
442,0.05956
443,0.05895
444,0.05823
445,0.05915
446,0.05906
447,0.05879
448,0.05898
449,0.05973
450,0.06023
451,0.06003
452,0.05933
453,0.06017
454,0.06059
455,0.06025
456,0.05986
457,0.05914
458,0.05931
459,0.06061
460,0.06119
461,0.06139
462,0.06077
463,0.05935
464,0.06
465,0.06071
466,0.0604
467,0.05933
468,0.05999
469,0.06052
470,0.05955
471,0.05979
472,0.06018
473,0.06042
474,0.06053
475,0.0597
476,0.05946
477,0.06024
478,0.06041
479,0.06028
480,0.05997
481,0.05965
482,0.05952
483,0.05957
484,0.05975
485,0.05992
486,0.06014
487,0.06011
488,0.05981
489,0.06002
490,0.06
491,0.05992
492,0.06031
493,0.06095
494,0.06121
495,0.06095
496,0.06075
497,0.06108
498,0.06159
499,0.06185
500,0.06235
501,0.06262
502,0.06285
503,0.0637
504,0.06416
505,0.0647
506,0.06561
507,0.06626
508,0.0666
509,0.06739
510,0.06937
511,0.07053
512,0.07174
513,0.07337
514,0.0748
515,0.07611
516,0.0778
517,0.08016
518,0.08232
519,0.08434
520,0.0864
521,0.08877
522,0.09114
523,0.09355
524,0.09601
525,0.09833
526,0.10059
527,0.10289
528,0.10522
529,0.10723
530,0.10898
531,0.11056
532,0.11212
533,0.11355
534,0.11493
535,0.11627
536,0.11713
537,0.11823
538,0.11935
539,0.1197
540,0.12043
541,0.12157
542,0.12279
543,0.12356
544,0.12407
545,0.12431
546,0.12424
547,0.12407
548,0.12404
549,0.12416
550,0.12412
551,0.12404
552,0.12396
553,0.12386
554,0.1237
555,0.12327
556,0.1226
557,0.12185
558,0.12115
559,0.12021
560,0.11891
561,0.11763
562,0.11653
563,0.11539
564,0.11392
565,0.11254
566,0.11116
567,0.10965
568,0.10781
569,0.10638
570,0.10497
571,0.10323
572,0.10179
573,0.10032
574,0.0989
575,0.09779
576,0.09655
577,0.09536
578,0.09432
579,0.09336
580,0.09263
581,0.09193
582,0.09104
583,0.09036
584,0.08978
585,0.08924
586,0.0887
587,0.08786
588,0.08711
589,0.08673
590,0.08621
591,0.08576
592,0.08531
593,0.08473
594,0.08451
595,0.08429
596,0.08391
597,0.08377
598,0.08342
599,0.08309
600,0.083
601,0.08255
602,0.08208
603,0.08173
604,0.08142
605,0.08086
606,0.08032
607,0.07994
608,0.07918
609,0.0786
610,0.0783
611,0.07809
612,0.07758
613,0.07657
614,0.07525
615,0.07435
616,0.07379
617,0.07331
618,0.07272
619,0.07221
620,0.07176
621,0.0714
622,0.07119
623,0.07076
624,0.07018
625,0.06966
626,0.06964
627,0.06958
628,0.06944
629,0.06937
630,0.06954
631,0.06964
632,0.06951
633,0.06918
634,0.06899
635,0.06874
636,0.06825
637,0.06792
638,0.06756
639,0.06706
640,0.06637
641,0.06575
642,0.06516
643,0.06453
644,0.06384
645,0.06332
646,0.06291
647,0.06251
648,0.06215
649,0.0617
650,0.06125
651,0.06106
652,0.0609
653,0.06068
654,0.0604
655,0.06026
656,0.0602
657,0.06
658,0.0595
659,0.05911
660,0.05883
661,0.05862
662,0.05835
663,0.05794
664,0.05763
665,0.05752
666,0.05719
667,0.05692
668,0.05683
669,0.05697
670,0.05716
671,0.0572
672,0.05718
673,0.05751
674,0.05774
675,0.05791
676,0.0582
677,0.05867
678,0.05925
679,0.05984
680,0.06034
681,0.06063
682,0.06113
683,0.06197
684,0.06265
685,0.06345
686,0.06429
687,0.06512
688,0.06611
689,0.06741
690,0.06914
691,0.07134
692,0.07393
693,0.07724
694,0.08149
695,0.08653
696,0.09217
697,0.09845
698,0.10547
699,0.11352
700,0.12196
701,0.13071
702,0.14017
703,0.14992
704,0.15997
705,0.17029
706,0.18075
707,0.1913
708,0.20194
709,0.21273
710,0.22333
711,0.2342
712,0.24536
713,0.25645
714,0.26752
715,0.27856
716,0.28961
717,0.30082
718,0.31191
719,0.32275
720,0.33336
721,0.34411
722,0.35473
723,0.36503
724,0.37493
725,0.38463
726,0.39405
727,0.40314
728,0.41204
729,0.42049
730,0.4285
731,0.4361
732,0.44322
733,0.45008
734,0.4567
735,0.46288
736,0.46856
737,0.47389
738,0.47898
739,0.48368
740,0.48799
741,0.49201
