wl,value
360,0.04228
361,0.0424
362,0.04268
363,0.04236
364,0.04232
365,0.04322
366,0.04333
367,0.04337
368,0.04353
369,0.04358
370,0.04352
371,0.04302
372,0.04238
373,0.04312
374,0.04359
375,0.04374
376,0.04393
377,0.04363
378,0.04335
379,0.04337
380,0.04364
381,0.04382
382,0.04366
383,0.04327
384,0.04353
385,0.04351
386,0.04347
387,0.04391
388,0.04363
389,0.04361
390,0.04402
391,0.04408
392,0.04423
393,0.04438
394,0.04438
395,0.04415
396,0.04458
397,0.04511
398,0.04479
399,0.04524
400,0.0456
401,0.04561
402,0.04601
403,0.04642
404,0.04686
405,0.0474
406,0.04794
407,0.04843
408,0.04885
409,0.04925
410,0.04982
411,0.05043
412,0.05098
413,0.05151
414,0.05194
415,0.05242
416,0.05307
417,0.05377
418,0.05426
419,0.05461
420,0.05518
421,0.05549
422,0.05585
423,0.05643
424,0.05669
425,0.05707
426,0.05752
427,0.05784
428,0.05825
429,0.05853
430,0.05867
431,0.05907
432,0.05933
433,0.05954
434,0.05979
435,0.0598
436,0.06004
437,0.06045
438,0.06062
439,0.06087
440,0.06116
441,0.06141
442,0.06158
443,0.06182
444,0.06205
445,0.06215
446,0.06241
447,0.06262
448,0.06277
449,0.06311
450,0.06329
451,0.06349
452,0.06384
453,0.06396
454,0.06413
455,0.06437
456,0.06455
457,0.06469
458,0.0648
459,0.0649
460,0.06503
461,0.06509
462,0.06514
463,0.06527
464,0.06536
465,0.06544
466,0.06551
467,0.06553
468,0.06559
469,0.0657
470,0.0658
471,0.06578
472,0.0658
473,0.0659
474,0.06597
475,0.06603
476,0.06605
477,0.06605
478,0.06613
479,0.06613
480,0.06614
481,0.06626
482,0.06633
483,0.0664
484,0.06648
485,0.06653
486,0.06659
487,0.06672
488,0.06696
489,0.06716
490,0.06739
491,0.06766
492,0.06791
493,0.0682
494,0.06858
495,0.06907
496,0.0696
497,0.07016
498,0.07074
499,0.07136
500,0.07207
501,0.07293
502,0.07387
503,0.07479
504,0.07588
505,0.07707
506,0.07833
507,0.07985
508,0.08139
509,0.08299
510,0.08476
511,0.08671
512,0.0888
513,0.09099
514,0.09333
515,0.09577
516,0.09829
517,0.10089
518,0.10354
519,0.10628
520,0.10908
521,0.1119
522,0.11474
523,0.11749
524,0.12012
525,0.12271
526,0.1251
527,0.12732
528,0.12947
529,0.13144
530,0.13325
531,0.13495
532,0.13654
533,0.13798
534,0.13926
535,0.14041
536,0.14141
537,0.1423
538,0.14311
539,0.14386
540,0.14451
541,0.14505
542,0.14551
543,0.14605
544,0.14656
545,0.14708
546,0.14769
547,0.14833
548,0.14895
549,0.14947
550,0.14986
551,0.15017
552,0.15038
553,0.15046
554,0.15041
555,0.1502
556,0.14983
557,0.14931
558,0.14865
559,0.14785
560,0.14692
561,0.14587
562,0.14469
563,0.14341
564,0.14205
565,0.1406
566,0.13911
567,0.13761
568,0.13608
569,0.13447
570,0.1328
571,0.13114
572,0.12953
573,0.12799
574,0.12649
575,0.12499
576,0.12354
577,0.1222
578,0.12099
579,0.11988
580,0.1188
581,0.11776
582,0.11677
583,0.1158
584,0.11488
585,0.11405
586,0.11329
587,0.11259
588,0.11199
589,0.1115
590,0.11091
591,0.11032
592,0.10976
593,0.10925
594,0.10884
595,0.10849
596,0.10817
597,0.10783
598,0.10748
599,0.10708
600,0.10661
601,0.10619
602,0.10574
603,0.10522
604,0.10461
605,0.104
606,0.10336
607,0.10263
608,0.10188
609,0.10105
610,0.10013
611,0.09915
612,0.09838
613,0.09766
614,0.09689
615,0.09614
616,0.09542
617,0.09472
618,0.09403
619,0.09342
620,0.09289
621,0.09245
622,0.09203
623,0.09169
624,0.09142
625,0.09122
626,0.09102
627,0.09088
628,0.0908
629,0.09076
630,0.09068
631,0.09058
632,0.09046
633,0.09028
634,0.09003
635,0.08969
636,0.08922
637,0.08859
638,0.08791
639,0.08715
640,0.0862
641,0.08519
642,0.08416
643,0.08311
644,0.082
645,0.08092
646,0.07988
647,0.07888
648,0.07801
649,0.0772
650,0.07648
651,0.0759
652,0.07541
653,0.07496
654,0.07451
655,0.07402
656,0.07352
657,0.07298
658,0.07239
659,0.07168
660,0.07093
661,0.07019
662,0.06945
663,0.06873
664,0.06806
665,0.06742
666,0.06687
667,0.06638
668,0.06598
669,0.06565
670,0.0654
671,0.06521
672,0.06508
673,0.06502
674,0.06502
675,0.06507
676,0.06518
677,0.0653
678,0.06549
679,0.06578
680,0.06617
681,0.06664
682,0.0672
683,0.06789
684,0.06881
685,0.06998
686,0.07142
687,0.07315
688,0.0753
689,0.07801
690,0.08132
691,0.08527
692,0.08993
693,0.09532
694,0.10146
695,0.10831
696,0.11578
697,0.12387
698,0.13256
699,0.14174
700,0.15139
701,0.16143
702,0.17174
703,0.18224
704,0.19291
705,0.20374
706,0.21473
707,0.22573
708,0.23676
709,0.24791
710,0.25911
711,0.27029
712,0.28147
713,0.29272
714,0.30394
715,0.31515
716,0.32635
717,0.33744
718,0.34849
719,0.35951
720,0.37045
721,0.38124
722,0.39189
723,0.40235
724,0.41261
725,0.42255
726,0.4322
727,0.44157
728,0.45061
729,0.45956
730,0.46813
731,0.47592
732,0.48355
733,0.49099
734,0.49814
735,0.50489
736,0.51123
737,0.51726
738,0.52299
739,0.52826
740,0.53337
741,0.53824
742,0.54267
743,0.54682
744,0.55072
745,0.55441
746,0.55792
747,0.56107
748,0.5639
749,0.56652
750,0.56908
751,0.57144
752,0.57354
753,0.57537
754,0.57694
755,0.57851
756,0.58003
757,0.58121
758,0.58241
759,0.58354
760,0.58452
761,0.58539
762,0.58629
763,0.58706
764,0.5876
765,0.58822
766,0.5888
767,0.58928
768,0.58963
769,0.59001
770,0.59038
771,0.59072
772,0.59106
773,0.59139
774,0.5917
775,0.59198
776,0.59214
777,0.59241
778,0.59269
779,0.5928
780,0.59302
781,0.59325
782,0.59344
783,0.59364
784,0.59387
785,0.59408
786,0.59425
787,0.5944
788,0.59473
789,0.59502
790,0.59507
791,0.59526
792,0.59554
793,0.5958
794,0.59593
795,0.596
796,0.59624
797,0.59661
798,0.5967
799,0.59695
800,0.59719
801,0.5973
802,0.59761
803,0.59792
804,0.59814
805,0.59824
806,0.59845
807,0.59867
808,0.59886
809,0.59902
810,0.59906
811,0.59917
812,0.59947
813,0.59984
814,0.60006
815,0.60019
816,0.60038
817,0.60068
818,0.60093
819,0.60116
820,0.60141
821,0.60171
822,0.60176
823,0.60168
824,0.60194
825,0.6021
826,0.60221
827,0.6023
828,0.60225
829,0.60235
830,0.60247
