wl,value
360,0.06919
361,0.06942
362,0.0691
363,0.06907
364,0.06902
365,0.06862
366,0.06861
367,0.06857
368,0.06843
369,0.06836
370,0.06863
371,0.06862
372,0.0681
373,0.06765
374,0.0676
375,0.06784
376,0.06801
377,0.06768
378,0.06744
379,0.06758
380,0.06805
381,0.06778
382,0.06742
383,0.06752
384,0.06777
385,0.06783
386,0.06754
387,0.06705
388,0.0676
389,0.06802
390,0.06788
391,0.0677
392,0.06761
393,0.06741
394,0.06711
395,0.06736
396,0.06756
397,0.06751
398,0.06729
399,0.0672
400,0.06726
401,0.06734
402,0.06724
403,0.06709
404,0.06707
405,0.0673
406,0.06766
407,0.0678
408,0.06772
409,0.06769
410,0.06784
411,0.06799
412,0.06808
413,0.06827
414,0.06844
415,0.06856
416,0.06865
417,0.06863
418,0.06867
419,0.06879
420,0.06886
421,0.06904
422,0.06911
423,0.06901
424,0.06913
425,0.06927
426,0.06935
427,0.06935
428,0.06944
429,0.06951
430,0.06945
431,0.0692
432,0.06904
433,0.069
434,0.06901
435,0.06893
436,0.06891
437,0.06903
438,0.06928
439,0.06946
440,0.06967
441,0.06994
442,0.07014
443,0.07024
444,0.07031
445,0.07042
446,0.0704
447,0.0705
448,0.07075
449,0.07085
450,0.07093
451,0.07098
452,0.07101
453,0.07111
454,0.07119
455,0.07126
456,0.07133
457,0.07138
458,0.07144
459,0.07152
460,0.07145
461,0.07155
462,0.07168
463,0.07164
464,0.07167
465,0.07166
466,0.07163
467,0.0717
468,0.07174
469,0.07177
470,0.07181
471,0.07182
472,0.07184
473,0.07188
474,0.07196
475,0.07192
476,0.07192
477,0.07201
478,0.07202
479,0.072
480,0.072
481,0.07202
482,0.07206
483,0.07206
484,0.072
485,0.07189
486,0.07187
487,0.0719
488,0.07194
489,0.072
490,0.07209
491,0.07221
492,0.0724
493,0.07259
494,0.07278
495,0.07299
496,0.07325
497,0.07349
498,0.07373
499,0.07403
500,0.07428
501,0.07454
502,0.07487
503,0.0753
504,0.07571
505,0.07611
506,0.07655
507,0.07707
508,0.07762
509,0.07823
510,0.07893
511,0.07968
512,0.08053
513,0.08147
514,0.08238
515,0.08343
516,0.08463
517,0.08591
518,0.08722
519,0.08864
520,0.09017
521,0.09176
522,0.09337
523,0.095
524,0.09663
525,0.09824
526,0.09985
527,0.10142
528,0.10287
529,0.10426
530,0.10558
531,0.10681
532,0.1079
533,0.1089
534,0.1098
535,0.11059
536,0.11127
537,0.11181
538,0.11222
539,0.11252
540,0.11266
541,0.11264
542,0.11255
543,0.1125
544,0.11262
545,0.11294
546,0.11342
547,0.11399
548,0.11449
549,0.11486
550,0.1151
551,0.1153
552,0.11542
553,0.11544
554,0.1154
555,0.11524
556,0.11493
557,0.11449
558,0.11394
559,0.1133
560,0.11258
561,0.11175
562,0.11085
563,0.1099
564,0.1089
565,0.10782
566,0.10675
567,0.10571
568,0.10463
569,0.10356
570,0.10249
571,0.10144
572,0.10043
573,0.09946
574,0.09853
575,0.09765
576,0.09685
577,0.0961
578,0.09537
579,0.09465
580,0.094
581,0.0934
582,0.09282
583,0.09227
584,0.09181
585,0.09144
586,0.09106
587,0.09072
588,0.09045
589,0.09027
590,0.09013
591,0.08993
592,0.08966
593,0.08941
594,0.08923
595,0.08912
596,0.08905
597,0.08897
598,0.0889
599,0.0888
600,0.08865
601,0.0885
602,0.08835
603,0.08814
604,0.08786
605,0.08754
606,0.08719
607,0.0868
608,0.08635
609,0.08576
610,0.08496
611,0.08404
612,0.08363
613,0.08352
614,0.08346
615,0.08324
616,0.08298
617,0.0827
618,0.08238
619,0.08209
620,0.08184
621,0.08162
622,0.08143
623,0.08131
624,0.08121
625,0.0811
626,0.08103
627,0.08099
628,0.08095
629,0.08089
630,0.0808
631,0.08075
632,0.08075
633,0.08073
634,0.08064
635,0.08049
636,0.08031
637,0.08007
638,0.07982
639,0.07956
640,0.07926
641,0.07894
642,0.07862
643,0.07832
644,0.078
645,0.0777
646,0.07743
647,0.0772
648,0.07697
649,0.07678
650,0.07663
651,0.07651
652,0.07645
653,0.07641
654,0.07637
655,0.07626
656,0.0762
657,0.07613
658,0.076
659,0.07586
660,0.07572
661,0.0756
662,0.07548
663,0.07539
664,0.07533
665,0.07531
666,0.07531
667,0.07536
668,0.07545
669,0.07556
670,0.07573
671,0.07596
672,0.07625
673,0.07659
674,0.07696
675,0.07735
676,0.07779
677,0.07828
678,0.07881
679,0.07939
680,0.08001
681,0.08067
682,0.08135
683,0.08203
684,0.08273
685,0.08341
686,0.08408
687,0.08477
688,0.08553
689,0.08642
690,0.0875
691,0.08884
692,0.09049
693,0.09253
694,0.09504
695,0.09809
696,0.10171
697,0.10591
698,0.11071
699,0.11609
700,0.12202
701,0.12846
702,0.13536
703,0.14262
704,0.1502
705,0.15808
706,0.1662
707,0.17457
708,0.18316
709,0.19199
710,0.20106
711,0.21033
712,0.21978
713,0.22938
714,0.2392
715,0.24919
716,0.25925
717,0.2694
718,0.27961
719,0.28987
720,0.30014
721,0.31034
722,0.32046
723,0.33048
724,0.34036
725,0.35003
726,0.35947
727,0.36865
728,0.37756
729,0.38614
730,0.39441
731,0.40237
732,0.40996
733,0.41717
734,0.424
735,0.43051
736,0.43663
737,0.44238
738,0.44776
739,0.45279
740,0.45748
741,0.46183
742,0.46583
743,0.46953
744,0.47291
745,0.47598
746,0.47878
747,0.48131
748,0.48359
749,0.48565
750,0.48747
751,0.4891
752,0.49055
753,0.49183
754,0.49301
755,0.49405
756,0.49496
757,0.49576
758,0.4965
759,0.49714
760,0.49768
761,0.49816
762,0.4986
763,0.49898
764,0.49928
765,0.49952
766,0.49972
767,0.49988
768,0.50003
769,0.50015
770,0.50024
771,0.5003
772,0.50035
773,0.50038
774,0.50041
775,0.50043
776,0.50044
777,0.50049
778,0.50054
779,0.50054
780,0.50059
781,0.50066
782,0.50071
783,0.50073
784,0.50075
785,0.50077
786,0.50078
787,0.50076
788,0.50073
789,0.50072
790,0.50071
791,0.50072
792,0.50071
793,0.50069
794,0.50066
795,0.50063
796,0.50059
797,0.50053
798,0.50044
799,0.50036
800,0.50029
801,0.50021
802,0.50012
803,0.50005
804,0.49999
805,0.49988
806,0.49978
807,0.49966
808,0.49954
809,0.49943
810,0.49932
811,0.49919
812,0.49905
813,0.4989
814,0.4988
815,0.49869
816,0.49851
817,0.49837
818,0.49823
819,0.4981
820,0.49797
821,0.49784
822,0.49772
823,0.49759
824,0.49747
825,0.49731
826,0.49716
827,0.49702
828,0.49688
829,0.49673
830,0.4966
