wl,value
360,0.05298
361,0.05305
362,0.05288
363,0.05267
364,0.05271
365,0.05305
366,0.0529
367,0.05215
368,0.05148
369,0.05195
370,0.05196
371,0.05173
372,0.05171
373,0.05248
374,0.05252
375,0.05205
376,0.05176
377,0.05141
378,0.05107
379,0.05096
380,0.0513
381,0.05119
382,0.05097
383,0.05102
384,0.05148
385,0.05137
386,0.05099
387,0.05094
388,0.05064
389,0.05056
390,0.05073
391,0.05069
392,0.05091
393,0.05099
394,0.05068
395,0.05051
396,0.0504
397,0.05041
398,0.05058
399,0.05061
400,0.05055
401,0.05047
402,0.05038
403,0.05038
404,0.05046
405,0.05054
406,0.05047
407,0.05039
408,0.05046
409,0.05077
410,0.05067
411,0.05051
412,0.05055
413,0.05078
414,0.05104
415,0.05119
416,0.05116
417,0.05132
418,0.05152
419,0.05168
420,0.05186
421,0.05218
422,0.05243
423,0.05249
424,0.05266
425,0.05284
426,0.05303
427,0.05326
428,0.05346
429,0.05364
430,0.05378
431,0.05383
432,0.05407
433,0.0543
434,0.05433
435,0.05444
436,0.05453
437,0.0546
438,0.05475
439,0.05503
440,0.05526
441,0.05537
442,0.05553
443,0.05566
444,0.05578
445,0.05593
446,0.05605
447,0.05618
448,0.05632
449,0.0565
450,0.05659
451,0.05666
452,0.05677
453,0.05699
454,0.05713
455,0.05716
456,0.05721
457,0.05727
458,0.05738
459,0.05754
460,0.05766
461,0.05766
462,0.05758
463,0.05753
464,0.05758
465,0.05769
466,0.05779
467,0.05777
468,0.05776
469,0.05779
470,0.05785
471,0.05786
472,0.05788
473,0.0579
474,0.05786
475,0.05794
476,0.05799
477,0.05793
478,0.05792
479,0.05794
480,0.05798
481,0.05802
482,0.05803
483,0.05804
484,0.05809
485,0.05814
486,0.05817
487,0.05821
488,0.05828
489,0.05838
490,0.05855
491,0.05874
492,0.05887
493,0.05906
494,0.05927
495,0.05947
496,0.05971
497,0.05999
498,0.06029
499,0.06059
500,0.06088
501,0.0612
502,0.06158
503,0.06199
504,0.06244
505,0.06292
506,0.06345
507,0.06403
508,0.06473
509,0.06552
510,0.06633
511,0.06715
512,0.06809
513,0.06917
514,0.0703
515,0.07151
516,0.07282
517,0.07425
518,0.07581
519,0.07744
520,0.07912
521,0.08089
522,0.08273
523,0.08459
524,0.08645
525,0.08832
526,0.0901
527,0.09181
528,0.09347
529,0.09504
530,0.09653
531,0.09792
532,0.09915
533,0.10031
534,0.10136
535,0.10228
536,0.10312
537,0.10385
538,0.10446
539,0.10499
540,0.10544
541,0.10585
542,0.10623
543,0.1066
544,0.10696
545,0.10732
546,0.10766
547,0.10798
548,0.1083
549,0.1086
550,0.1088
551,0.10894
552,0.10901
553,0.10897
554,0.10879
555,0.10849
556,0.10804
557,0.10747
558,0.1068
559,0.10603
560,0.10515
561,0.10422
562,0.10321
563,0.10214
564,0.10107
565,0.09999
566,0.09887
567,0.09771
568,0.09652
569,0.09529
570,0.09407
571,0.09288
572,0.0917
573,0.09056
574,0.08952
575,0.08857
576,0.08764
577,0.08677
578,0.08598
579,0.08523
580,0.08456
581,0.08392
582,0.0833
583,0.08272
584,0.08218
585,0.08169
586,0.08123
587,0.08078
588,0.08036
589,0.07997
590,0.07963
591,0.07931
592,0.07901
593,0.07875
594,0.07855
595,0.07836
596,0.07819
597,0.07805
598,0.0779
599,0.07775
600,0.07756
601,0.07735
602,0.07711
603,0.07683
604,0.07651
605,0.07614
606,0.07574
607,0.07531
608,0.07483
609,0.07428
610,0.07369
611,0.07314
612,0.07267
613,0.07223
614,0.0718
615,0.07137
616,0.07095
617,0.07057
618,0.07022
619,0.06985
620,0.06954
621,0.06928
622,0.06905
623,0.06887
624,0.06872
625,0.06858
626,0.06847
627,0.06837
628,0.0683
629,0.06825
630,0.0682
631,0.06814
632,0.06807
633,0.06799
634,0.06787
635,0.06769
636,0.06746
637,0.06718
638,0.06685
639,0.06649
640,0.06611
641,0.06571
642,0.06529
643,0.06487
644,0.06447
645,0.06411
646,0.06375
647,0.06338
648,0.06306
649,0.06281
650,0.0626
651,0.06241
652,0.06225
653,0.06212
654,0.06201
655,0.06187
656,0.06172
657,0.06156
658,0.06136
659,0.06113
660,0.0609
661,0.0607
662,0.0605
663,0.06032
664,0.06016
665,0.06002
666,0.05996
667,0.05994
668,0.05996
669,0.06005
670,0.06016
671,0.0603
672,0.0605
673,0.06076
674,0.06106
675,0.06141
676,0.06181
677,0.06221
678,0.06268
679,0.06323
680,0.06379
681,0.0644
682,0.06505
683,0.06573
684,0.06642
685,0.06712
686,0.06783
687,0.06857
688,0.06945
689,0.07048
690,0.07174
691,0.07332
692,0.07531
693,0.07781
694,0.0809
695,0.08462
696,0.08901
697,0.09407
698,0.09978
699,0.1061
700,0.11301
701,0.12041
