wl,value
360,0.05759
361,0.05679
362,0.05619
363,0.05637
364,0.05688
365,0.0571
366,0.05697
367,0.05645
368,0.05601
369,0.05633
370,0.05599
371,0.05604
372,0.05672
373,0.05633
374,0.05584
375,0.05548
376,0.05532
377,0.05591
378,0.05603
379,0.05579
380,0.05632
381,0.0565
382,0.05626
383,0.05588
384,0.05599
385,0.05533
386,0.05471
387,0.05531
388,0.05581
389,0.05586
390,0.0555
391,0.05509
392,0.05488
393,0.05485
394,0.05492
395,0.05516
396,0.05517
397,0.05508
398,0.0552
399,0.05518
400,0.05511
401,0.05507
402,0.05504
403,0.05514
404,0.05516
405,0.05497
406,0.055
407,0.05508
408,0.05515
409,0.05522
410,0.05511
411,0.05503
412,0.0551
413,0.05519
414,0.05531
415,0.05537
416,0.05532
417,0.05551
418,0.05571
419,0.05583
420,0.05588
421,0.05589
422,0.05595
423,0.05606
424,0.05602
425,0.05609
426,0.05619
427,0.05617
428,0.05624
429,0.05632
430,0.05635
431,0.05632
432,0.05621
433,0.05616
434,0.05625
435,0.05627
436,0.05629
437,0.05633
438,0.05633
439,0.05653
440,0.05671
441,0.05675
442,0.05681
443,0.0568
444,0.05678
445,0.05686
446,0.05697
447,0.05708
448,0.05715
449,0.05714
450,0.05719
451,0.05728
452,0.05735
453,0.05735
454,0.05739
455,0.05749
456,0.05764
457,0.0577
458,0.05768
459,0.05765
460,0.05766
461,0.05769
462,0.05773
463,0.05777
464,0.05778
465,0.05777
466,0.05775
467,0.05773
468,0.05776
469,0.05782
470,0.05787
471,0.05786
472,0.05789
473,0.05791
474,0.05784
475,0.05784
476,0.0579
477,0.05799
478,0.05795
479,0.05793
480,0.05793
481,0.05792
482,0.05795
483,0.058
484,0.05803
485,0.05804
486,0.05805
487,0.05807
488,0.0581
489,0.05821
490,0.0583
491,0.05838
492,0.05855
493,0.05866
494,0.05877
495,0.05893
496,0.05915
497,0.0593
498,0.05944
499,0.05964
500,0.05986
501,0.06015
502,0.06049
503,0.0608
504,0.06112
505,0.06149
506,0.06193
507,0.06241
508,0.06292
509,0.06347
510,0.0641
511,0.06483
512,0.06563
513,0.06648
514,0.0674
515,0.0684
516,0.06951
517,0.07075
518,0.07203
519,0.07337
520,0.07479
521,0.07629
522,0.0778
523,0.07933
524,0.08089
525,0.08244
526,0.08397
527,0.08545
528,0.08682
529,0.08816
530,0.08943
531,0.09061
532,0.09172
533,0.09273
534,0.09366
535,0.09453
536,0.09527
537,0.09591
538,0.09647
539,0.09697
540,0.09741
541,0.09781
542,0.09816
543,0.0985
544,0.09882
545,0.09915
546,0.0995
547,0.0998
548,0.10007
549,0.10031
550,0.10047
551,0.10057
552,0.10057
553,0.10048
554,0.10029
555,0.09995
556,0.09948
557,0.09892
558,0.09822
559,0.09747
560,0.09671
561,0.09591
562,0.09508
563,0.09422
564,0.09333
565,0.09245
566,0.09157
567,0.09067
568,0.08973
569,0.08872
570,0.08765
571,0.08658
572,0.0856
573,0.08468
574,0.0838
575,0.08295
576,0.08209
577,0.08128
578,0.08057
579,0.07997
580,0.07943
581,0.0789
582,0.07833
583,0.07773
584,0.07715
585,0.07661
586,0.07615
587,0.07582
588,0.07561
589,0.07549
590,0.07533
591,0.0751
592,0.07485
593,0.07465
594,0.07448
595,0.07431
596,0.07411
597,0.07389
598,0.07365
599,0.07341
600,0.07318
601,0.07294
602,0.07269
603,0.07243
604,0.07214
605,0.07185
606,0.07154
607,0.07121
608,0.07087
609,0.0705
610,0.07007
611,0.06957
612,0.06922
613,0.06893
614,0.06863
615,0.06829
616,0.06797
617,0.06766
618,0.06739
619,0.06711
620,0.06687
621,0.06667
622,0.0665
623,0.06635
624,0.06622
625,0.06611
626,0.06605
627,0.06599
628,0.06594
629,0.06589
630,0.06583
631,0.06577
632,0.06571
633,0.06568
634,0.06557
635,0.0654
636,0.0652
637,0.06493
638,0.06464
639,0.06432
640,0.06397
641,0.06363
642,0.06328
643,0.06293
644,0.0626
645,0.06229
646,0.06203
647,0.06179
648,0.06155
649,0.06137
650,0.06124
651,0.06113
652,0.06103
653,0.06096
654,0.06093
655,0.06088
656,0.06082
657,0.06075
658,0.06067
659,0.06059
660,0.0605
661,0.0604
662,0.06033
663,0.06028
664,0.06026
665,0.06027
666,0.06031
667,0.06037
668,0.06048
669,0.06064
670,0.06082
671,0.06104
672,0.06129
673,0.06158
674,0.06192
675,0.06229
676,0.06267
677,0.06311
678,0.06361
679,0.06413
680,0.06465
681,0.06522
682,0.06582
683,0.06644
684,0.06703
685,0.06763
686,0.06823
687,0.06886
688,0.06956
689,0.07039
690,0.07145
691,0.07281
692,0.07458
693,0.07683
694,0.07964
695,0.08308
696,0.08722
697,0.09204
698,0.09748
699,0.10361
700,0.1103
701,0.11751
702,0.12517
703,0.13317
704,0.14147
705,0.15001
706,0.15873
707,0.16758
708,0.17655
709,0.18563
710,0.19479
711,0.20404
712,0.21335
713,0.22271
714,0.23211
715,0.24152
716,0.25094
717,0.26038
718,0.26978
719,0.27912
720,0.28834
721,0.29748
722,0.3065
723,0.31536
724,0.32401
725,0.33248
726,0.34071
727,0.34868
728,0.35637
729,0.3638
730,0.37096
731,0.37778
732,0.38433
733,0.39057
734,0.39649
735,0.40205
736,0.40733
737,0.41232
738,0.41701
739,0.42143
740,0.42556
741,0.42942
742,0.433
743,0.43628
744,0.43928
745,0.44204
746,0.44455
747,0.44685
748,0.44893
749,0.45078
750,0.45251
751,0.45407
752,0.45544
753,0.45666
754,0.45778
755,0.45876
756,0.45962
757,0.46043
758,0.46113
759,0.46175
760,0.46232
761,0.46284
762,0.46328
763,0.46365
764,0.46395
765,0.46424
766,0.46449
767,0.46468
768,0.46483
769,0.46494
770,0.46506
771,0.46519
772,0.46529
773,0.46539
774,0.46549
775,0.46559
776,0.46563
777,0.46567
778,0.46572
779,0.46579
780,0.46587
781,0.46597
782,0.46606
783,0.4661
784,0.46615
785,0.46622
786,0.46628
787,0.46632
788,0.46635
789,0.46637
790,0.46638
791,0.46641
792,0.46644
793,0.46645
794,0.46648
795,0.4665
796,0.4665
797,0.46648
798,0.46644
799,0.46641
800,0.46638
801,0.46632
802,0.46629
803,0.46628
804,0.46625
805,0.46618
806,0.46614
807,0.46609
808,0.46603
809,0.46596
810,0.46588
811,0.46579
812,0.46568
813,0.46557
814,0.46549
815,0.46542
816,0.46532
817,0.46521
818,0.46514
819,0.46507
820,0.46495
821,0.46483
822,0.46471
823,0.46459
824,0.46449
825,0.46436
826,0.46423
827,0.46415
828,0.46407
829,0.46399
830,0.46389
