wl,value
360,0.06735
361,0.06593
362,0.06662
363,0.06708
364,0.06709
365,0.06694
366,0.06676
367,0.06642
368,0.06613
369,0.06628
370,0.06649
371,0.06668
372,0.06675
373,0.06646
374,0.0663
375,0.06636
376,0.06649
377,0.06604
378,0.06596
379,0.0662
380,0.06591
381,0.06605
382,0.06624
383,0.06615
384,0.06607
385,0.0661
386,0.0661
387,0.06594
388,0.06604
389,0.0663
390,0.06645
391,0.06611
392,0.06613
393,0.0662
394,0.0661
395,0.06646
396,0.0665
397,0.06632
398,0.06632
399,0.06626
400,0.06635
401,0.06659
402,0.06669
403,0.06672
404,0.06686
405,0.06716
406,0.06736
407,0.06742
408,0.06744
409,0.06758
410,0.06797
411,0.06826
412,0.06836
413,0.06874
414,0.06918
415,0.06963
416,0.07005
417,0.07029
418,0.07066
419,0.07118
420,0.07159
421,0.07203
422,0.07244
423,0.07277
424,0.0732
425,0.07368
426,0.07415
427,0.07455
428,0.0749
429,0.07518
430,0.07548
431,0.07606
432,0.07656
433,0.0769
434,0.07712
435,0.07732
436,0.07758
437,0.07785
438,0.078
439,0.07816
440,0.07833
441,0.0785
442,0.07853
443,0.07864
444,0.07882
445,0.07897
446,0.07914
447,0.0793
448,0.07942
449,0.07947
450,0.07956
451,0.07971
452,0.07985
453,0.07986
454,0.07993
455,0.08002
456,0.07998
457,0.07996
458,0.08004
459,0.08017
460,0.08011
461,0.08012
462,0.08016
463,0.08012
464,0.08012
465,0.08015
466,0.08015
467,0.08006
468,0.08011
469,0.08016
470,0.08007
471,0.08005
472,0.08004
473,0.08005
474,0.08009
475,0.08002
476,0.08001
477,0.08009
478,0.08003
479,0.08
480,0.08004
481,0.08011
482,0.08013
483,0.08015
484,0.08018
485,0.08023
486,0.08028
487,0.08031
488,0.08033
489,0.08043
490,0.08049
491,0.08053
492,0.0806
493,0.08064
494,0.0807
495,0.08082
496,0.08095
497,0.08105
498,0.08117
499,0.08136
500,0.08147
501,0.08163
502,0.0819
503,0.08225
504,0.08256
505,0.08284
506,0.08314
507,0.08358
508,0.08405
509,0.08454
510,0.08508
511,0.0856
512,0.08616
513,0.0868
514,0.08744
515,0.08818
516,0.08895
517,0.08965
518,0.0904
519,0.09122
520,0.09209
521,0.09293
522,0.09379
523,0.09462
524,0.09539
525,0.09615
526,0.0969
527,0.09762
528,0.0983
529,0.09891
530,0.09947
531,0.1
532,0.10044
533,0.1009
534,0.10132
535,0.10165
536,0.10198
537,0.1023
538,0.10262
539,0.10296
540,0.10338
541,0.10389
542,0.1044
543,0.1048
544,0.10502
545,0.10505
546,0.10493
547,0.10472
548,0.10453
549,0.10443
550,0.10436
551,0.10433
552,0.10427
553,0.10415
554,0.10399
555,0.10377
556,0.10351
557,0.10325
558,0.10296
559,0.10259
560,0.10216
561,0.10179
562,0.10138
563,0.10093
564,0.10047
565,0.09996
566,0.09941
567,0.09884
568,0.09825
569,0.09765
570,0.09706
571,0.09651
572,0.09594
573,0.09544
574,0.09502
575,0.09463
576,0.09433
577,0.094
578,0.09357
579,0.09315
580,0.09277
581,0.09244
582,0.09218
583,0.09197
584,0.09179
585,0.09162
586,0.0914
587,0.09114
588,0.09082
589,0.09048
590,0.0902
591,0.09007
592,0.09003
593,0.08996
594,0.08985
595,0.08969
596,0.0895
597,0.08935
598,0.0892
599,0.08905
600,0.08891
601,0.08874
602,0.08855
603,0.08834
604,0.08816
605,0.08792
606,0.08766
607,0.08743
608,0.08717
609,0.08699
610,0.08696
611,0.08704
612,0.08673
613,0.08616
614,0.08555
615,0.08511
616,0.08474
617,0.0844
618,0.08409
619,0.08386
620,0.08365
621,0.08344
622,0.08322
623,0.08304
624,0.08287
625,0.08272
626,0.08258
627,0.08247
628,0.08238
629,0.08232
630,0.08226
631,0.08219
632,0.08209
633,0.08197
634,0.08183
635,0.08168
636,0.08153
637,0.08133
638,0.08113
639,0.08091
640,0.08066
641,0.08037
642,0.08006
643,0.07978
644,0.07951
645,0.07921
646,0.07891
647,0.07862
648,0.07834
649,0.07807
650,0.07782
651,0.07764
652,0.07745
653,0.07725
654,0.07705
655,0.07684
656,0.07662
657,0.07639
658,0.07612
659,0.07583
660,0.07554
661,0.07525
662,0.07497
663,0.07466
664,0.07436
665,0.07412
666,0.07391
667,0.07371
668,0.07354
669,0.07339
670,0.07329
671,0.07323
672,0.0732
673,0.07318
674,0.07317
675,0.0732
676,0.07326
677,0.07332
678,0.07342
679,0.07355
680,0.07373
681,0.07391
682,0.07413
683,0.07443
684,0.07479
685,0.07519
686,0.07567
687,0.07626
688,0.07699
689,0.07785
690,0.07885
691,0.08005
692,0.08147
693,0.08312
694,0.08499
695,0.08707
696,0.0894
697,0.09198
698,0.09478
699,0.09775
700,0.10091
701,0.10425
702,0.10774
703,0.11135
704,0.11509
705,0.11894
706,0.12291
707,0.12699
708,0.13116
709,0.13542
710,0.1398
711,0.14433
712,0.14898
713,0.15373
714,0.15858
715,0.16354
716,0.16861
717,0.17384
718,0.17918
719,0.18461
720,0.19014
721,0.19573
722,0.20138
723,0.20707
724,0.21281
725,0.21852
726,0.2242
727,0.22984
728,0.23539
729,0.24087
730,0.24626
731,0.2515
732,0.25663
733,0.26162
734,0.26646
735,0.27114
736,0.27565
737,0.27998
738,0.28414
739,0.28812
740,0.29189
741,0.29548
742,0.2989
743,0.30211
744,0.30516
745,0.30804
746,0.31072
747,0.31323
748,0.31558
749,0.31777
750,0.3198
751,0.3217
752,0.32345
753,0.32506
754,0.32657
755,0.32797
756,0.32925
757,0.33043
758,0.3315
759,0.3325
760,0.33342
761,0.33429
762,0.3351
763,0.33585
764,0.33655
765,0.33721
766,0.33781
767,0.33836
768,0.33887
769,0.33936
770,0.33983
771,0.34026
772,0.34068
773,0.34106
774,0.34143
775,0.34179
776,0.34211
777,0.34242
778,0.34274
779,0.34307
780,0.34336
781,0.34364
782,0.3439
783,0.34415
784,0.34441
785,0.34467
786,0.3449
787,0.34509
788,0.34528
789,0.34548
790,0.34571
791,0.34587
792,0.34605
793,0.34623
794,0.34638
795,0.34654
796,0.34669
797,0.34683
798,0.34694
799,0.34707
800,0.3472
801,0.34732
802,0.34742
803,0.34748
804,0.34754
805,0.34763
806,0.34775
807,0.34783
808,0.34787
809,0.34791
810,0.348
811,0.34809
812,0.34813
813,0.34817
814,0.34819
815,0.34822
816,0.34829
817,0.34834
818,0.34838
819,0.34843
820,0.34848
821,0.34849
822,0.34852
823,0.34856
824,0.34858
825,0.34862
826,0.34864
827,0.34863
828,0.34867
829,0.34869
830,0.34869
