wl,value
360,0.05918
361,0.05939
362,0.05946
363,0.05908
364,0.05882
365,0.05911
366,0.05909
367,0.05902
368,0.05888
369,0.05854
370,0.05822
371,0.05837
372,0.05897
373,0.05905
374,0.05857
375,0.05823
376,0.05862
377,0.05855
378,0.05823
379,0.05798
380,0.0581
381,0.05832
382,0.05812
383,0.05752
384,0.05789
385,0.05791
386,0.05771
387,0.05782
388,0.05797
389,0.05802
390,0.058
391,0.05801
392,0.05751
393,0.0572
394,0.05752
395,0.05765
396,0.05792
397,0.05803
398,0.05754
399,0.05754
400,0.05768
401,0.05777
402,0.05806
403,0.05822
404,0.05833
405,0.05853
406,0.05886
407,0.05903
408,0.05903
409,0.05904
410,0.05926
411,0.05962
412,0.06005
413,0.06059
414,0.06077
415,0.06091
416,0.06145
417,0.06195
418,0.06235
419,0.06272
420,0.06321
421,0.06371
422,0.0642
423,0.06467
424,0.06511
425,0.06552
426,0.06596
427,0.06644
428,0.06678
429,0.06707
430,0.06743
431,0.06799
432,0.0684
433,0.06872
434,0.06912
435,0.06953
436,0.06975
437,0.0698
438,0.06989
439,0.07001
440,0.07008
441,0.0701
442,0.07024
443,0.07036
444,0.07043
445,0.07051
446,0.07063
447,0.07073
448,0.07082
449,0.07097
450,0.07108
451,0.07112
452,0.07111
453,0.07123
454,0.0713
455,0.07132
456,0.07142
457,0.07139
458,0.07137
459,0.07144
460,0.07139
461,0.07142
462,0.07145
463,0.07136
464,0.0714
465,0.0714
466,0.07134
467,0.07137
468,0.07131
469,0.07126
470,0.0713
471,0.07132
472,0.07126
473,0.07116
474,0.07112
475,0.07106
476,0.07102
477,0.07101
478,0.07106
479,0.07104
480,0.07102
481,0.07105
482,0.07109
483,0.07113
484,0.07117
485,0.07123
486,0.07135
487,0.07145
488,0.07147
489,0.07149
490,0.07152
491,0.07159
492,0.07168
493,0.07172
494,0.07178
495,0.07188
496,0.07198
497,0.07218
498,0.07238
499,0.07249
500,0.07265
501,0.0729
502,0.07323
503,0.0736
504,0.0739
505,0.07423
506,0.07466
507,0.0751
508,0.07563
509,0.07619
510,0.0767
511,0.0773
512,0.07798
513,0.0787
514,0.07943
515,0.08022
