wl,value
360,0.0452
361,0.03325
362,0.03999
363,0.04466
364,0.04174
365,0.03318
366,0.03436
367,0.03757
368,0.04169
369,0.0493
370,0.04357
371,0.04016
372,0.04633
373,0.04654
374,0.03975
375,0.03687
376,0.04603
377,0.04255
378,0.03477
379,0.03025
380,0.03345
381,0.03826
382,0.04316
383,0.04638
384,0.04298
385,0.04036
386,0.04267
387,0.04947
388,0.0427
389,0.03721
390,0.03827
391,0.03899
392,0.03999
393,0.04203
394,0.0445
395,0.04285
396,0.03956
397,0.03851
398,0.04239
399,0.04049
400,0.03989
401,0.04215
402,0.03956
403,0.03943
404,0.04015
405,0.03946
406,0.04075
407,0.0407
408,0.03927
409,0.03862
410,0.03951
411,0.04141
412,0.04307
413,0.04214
414,0.04286
415,0.04233
416,0.03798
417,0.04022
418,0.04232
419,0.04218
420,0.04273
421,0.04334
422,0.04297
423,0.04145
424,0.04063
425,0.04218
426,0.04388
427,0.0425
428,0.04255
429,0.0438
430,0.04518
431,0.04514
432,0.04421
433,0.0438
434,0.0447
435,0.04459
436,0.04502
437,0.04584
438,0.04565
439,0.04502
440,0.04435
441,0.04406
442,0.04473
443,0.04542
444,0.0454
445,0.04445
446,0.04466
447,0.04488
448,0.0446
449,0.0444
450,0.04501
451,0.04547
452,0.04509
453,0.04573
454,0.04556
455,0.04487
456,0.04518
457,0.04494
458,0.0447
459,0.04478
460,0.04441
461,0.04503
462,0.04574
463,0.04525
464,0.04441
465,0.04476
466,0.04582
467,0.04513
468,0.04526
469,0.04515
470,0.0441
471,0.04471
472,0.04489
473,0.04445
474,0.04429
475,0.04502
476,0.04535
477,0.04482
478,0.04467
479,0.04428
480,0.04403
481,0.04437
482,0.04489
483,0.04489
484,0.04445
485,0.04432
486,0.04446
487,0.04441
488,0.0441
489,0.04487
490,0.04493
491,0.04443
492,0.04442
493,0.04529
494,0.04546
495,0.04465
496,0.04466
497,0.04474
498,0.04494
499,0.0454
500,0.04569
501,0.04535
502,0.04467
503,0.04456
504,0.04532
505,0.04593
506,0.04591
507,0.04654
508,0.04687
509,0.04698
510,0.04734
511,0.04791
512,0.04832
513,0.04865
514,0.04967
515,0.05046
516,0.05088
517,0.05122
518,0.05236
519,0.05307
520,0.05352
521,0.05489
522,0.05554
523,0.05617
524,0.05725
525,0.05788
526,0.05854
527,0.05929
528,0.05999
529,0.06059
530,0.06148
531,0.06242
532,0.06236
533,0.0626
534,0.06314
535,0.06363
536,0.06394
537,0.06415
538,0.06444
539,0.06501
540,0.06537
541,0.06569
542,0.06612
543,0.06662
544,0.0671
545,0.06729
546,0.06699
547,0.06666
548,0.06645
549,0.0664
550,0.06645
551,0.0663
552,0.06619
553,0.06632
554,0.06625
555,0.06602
556,0.06571
557,0.06547
558,0.06506
559,0.06444
560,0.06375
561,0.06359
562,0.06335
563,0.06288
564,0.06225
565,0.06167
566,0.06131
567,0.06096
568,0.05997
569,0.0594
570,0.05903
571,0.05845
572,0.05753
573,0.05679
574,0.05642
575,0.05629
576,0.05595
577,0.05555
578,0.05518
579,0.05468
580,0.05439
581,0.05413
582,0.05366
583,0.05355
584,0.05347
585,0.05326
586,0.05296
587,0.05279
588,0.05262
589,0.05232
590,0.05207
591,0.05178
592,0.05163
