wl,value
360,0.02227
361,0.02268
362,0.0219
363,0.02284
364,0.02362
365,0.02236
366,0.02186
367,0.02205
368,0.02254
369,0.02279
370,0.0227
371,0.02264
372,0.02274
373,0.02262
374,0.02303
375,0.0235
376,0.02328
377,0.02223
378,0.02227
379,0.0232
380,0.02308
381,0.02325
382,0.02349
383,0.02346
384,0.02314
385,0.02293
386,0.02284
387,0.02283
388,0.02308
389,0.02332
390,0.02339
391,0.02327
392,0.0236
393,0.02395
394,0.02395
395,0.02394
396,0.0239
397,0.024
398,0.02443
399,0.02495
400,0.02525
401,0.0253
402,0.02538
403,0.02541
404,0.02549
405,0.02573
406,0.02621
407,0.02662
408,0.02689
409,0.02715
410,0.02761
411,0.02802
412,0.02825
413,0.02858
414,0.02897
415,0.02938
416,0.0298
417,0.03031
418,0.03081
419,0.03125
420,0.03161
421,0.03201
422,0.0324
423,0.03277
424,0.03312
425,0.03347
426,0.03387
427,0.03433
428,0.03458
429,0.03488
430,0.0353
431,0.0356
432,0.03594
433,0.03628
434,0.03656
435,0.03692
436,0.03719
437,0.03735
438,0.03746
439,0.03764
440,0.03781
441,0.03792
442,0.03804
443,0.03823
444,0.03844
445,0.03862
446,0.03889
447,0.03912
448,0.03929
449,0.03954
450,0.03974
451,0.0399
452,0.04003
453,0.0402
454,0.04036
455,0.04051
456,0.04062
457,0.04071
458,0.04076
459,0.0408
460,0.04088
461,0.04098
462,0.04104
463,0.04103
464,0.04103
465,0.04096
466,0.0409
467,0.04107
468,0.04111
469,0.04107
470,0.04105
471,0.04107
472,0.04109
473,0.04114
474,0.04121
475,0.04125
476,0.04125
477,0.04123
478,0.04123
479,0.04124
480,0.04131
481,0.04144
482,0.0415
483,0.04155
484,0.04162
485,0.04171
486,0.04184
487,0.04196
488,0.04204
489,0.04214
490,0.04228
491,0.04241
492,0.0425
493,0.0426
494,0.04272
495,0.04287
496,0.04316
497,0.0434
498,0.04365
499,0.04397
500,0.04426
501,0.04458
502,0.04498
503,0.04543
504,0.0459
505,0.0464
506,0.04695
507,0.04759
508,0.04828
509,0.04901
510,0.04977
511,0.05051
512,0.05133
513,0.05225
514,0.05319
515,0.05418
516,0.05522
517,0.05633
518,0.0575
519,0.05868
520,0.05987
521,0.06109
522,0.06226
523,0.06345
524,0.06465
525,0.0658
526,0.06688
527,0.06792
528,0.06895
529,0.0699
530,0.07075
531,0.07151
532,0.07221
533,0.07285
534,0.07341
535,0.07391
536,0.07438
537,0.07483
538,0.07525
539,0.07568
540,0.07625
541,0.07693
542,0.07761
543,0.07813
544,0.07843
545,0.07849
546,0.07833
547,0.07806
548,0.07779
549,0.07762
550,0.07759
551,0.07758
552,0.0775
553,0.07733
554,0.07711
