wl,value
360,0.08388
361,0.08267
362,0.08272
363,0.0831
364,0.08318
365,0.08265
366,0.08197
367,0.08167
368,0.08176
369,0.08191
370,0.08234
371,0.08219
372,0.08141
373,0.08155
374,0.08151
375,0.08139
376,0.08152
377,0.0816
378,0.08128
379,0.08088
380,0.08122
381,0.08155
382,0.08162
383,0.08142
384,0.08113
385,0.08108
386,0.08126
387,0.08148
388,0.08172
389,0.08178
390,0.08177
391,0.08218
392,0.08213
393,0.08201
394,0.08223
395,0.08247
396,0.08279
397,0.0831
398,0.08328
399,0.08353
400,0.08385
401,0.08416
402,0.08427
403,0.08435
404,0.08452
405,0.08486
406,0.0852
407,0.08541
408,0.08556
409,0.08585
410,0.08629
411,0.08668
412,0.08688
413,0.087
414,0.08709
415,0.08721
416,0.08739
417,0.08754
418,0.08766
419,0.08775
420,0.08787
421,0.08793
422,0.08794
423,0.08797
424,0.08817
425,0.08825
426,0.08825
427,0.08834
428,0.08837
429,0.08828
430,0.08809
431,0.088
432,0.08786
433,0.08775
434,0.08775
435,0.08776
436,0.08773
437,0.08772
438,0.08781
439,0.08798
440,0.08823
441,0.0885
442,0.08863
443,0.08874
444,0.08886
445,0.08898
446,0.08911
447,0.08924
448,0.08935
449,0.08945
450,0.08958
451,0.08972
452,0.08986
453,0.08994
454,0.09011
455,0.0903
456,0.09032
457,0.09034
458,0.0904
459,0.0905
460,0.09057
461,0.0906
462,0.09062
463,0.09066
464,0.09077
465,0.09083
466,0.0908
467,0.09077
468,0.09079
469,0.09085
470,0.0909
471,0.09091
472,0.09092
473,0.09093
474,0.09093
475,0.09097
476,0.09101
477,0.09104
478,0.09105
479,0.09105
480,0.09104
481,0.09104
482,0.09107
483,0.09106
484,0.09105
485,0.09106
486,0.09104
487,0.09109
488,0.09125
489,0.09128
490,0.09138
491,0.09159
492,0.09186
493,0.09211
494,0.09236
495,0.09261
496,0.09288
497,0.09323
498,0.0936
499,0.09394
500,0.0943
501,0.09474
502,0.09526
503,0.09578
504,0.09636
505,0.09696
506,0.09761
507,0.09844
508,0.09934
509,0.1003
510,0.10139
511,0.10257
512,0.10385
513,0.10525
514,0.10681
515,0.10844
516,0.1102
517,0.11211
518,0.11416
519,0.11634
520,0.11863
521,0.12099
522,0.12337
523,0.12578
524,0.12817
525,0.13049
526,0.1328
527,0.13506
528,0.13719
529,0.13917
530,0.14101
531,0.14271
532,0.14428
533,0.14572
534,0.14701
535,0.14814
536,0.14914
537,0.15
538,0.15071
539,0.15127
540,0.15168
541,0.15195
542,0.15214
543,0.15237
544,0.15271
545,0.15316
546,0.1537
547,0.15428
548,0.1548
549,0.1552
550,0.15548
551,0.15567
552,0.15574
553,0.15567
554,0.15548
555,0.15515
556,0.15464
557,0.15391
558,0.15308
559,0.15212
560,0.151
561,0.14977
562,0.14848
563,0.14714
564,0.14575
565,0.1443
566,0.14282
567,0.14133
568,0.13981
569,0.13826
570,0.13669
571,0.13514
572,0.13357
573,0.13206
