wl,value
360,0.05403
361,0.05489
362,0.05413
363,0.05457
364,0.05501
365,0.05404
366,0.05345
367,0.05348
368,0.05377
369,0.05369
370,0.0539
371,0.05419
372,0.05423
373,0.05366
374,0.05401
375,0.05438
376,0.05359
377,0.05312
378,0.05328
379,0.05365
380,0.05336
381,0.05347
382,0.05378
383,0.05389
384,0.05354
385,0.05326
386,0.05313
387,0.05308
388,0.05318
389,0.05345
390,0.05372
391,0.05368
392,0.05386
393,0.05399
394,0.05387
395,0.0537
396,0.05366
397,0.05387
398,0.05434
399,0.05475
400,0.05487
401,0.05475
402,0.05473
403,0.05463
404,0.05456
405,0.05467
406,0.05499
407,0.0553
408,0.05546
409,0.05542
410,0.05556
411,0.05573
412,0.05583
413,0.05598
414,0.05607
415,0.05615
416,0.05631
417,0.05647
418,0.05665
419,0.0568
420,0.05681
421,0.05684
422,0.05691
423,0.05701
424,0.05709
425,0.05715
426,0.05722
427,0.05734
428,0.05735
429,0.05742
430,0.05755
431,0.0575
432,0.05755
433,0.05762
434,0.05761
435,0.05771
436,0.05779
437,0.05783
438,0.05796
439,0.05807
440,0.05814
441,0.05818
442,0.05831
443,0.05847
444,0.05862
445,0.05872
446,0.05892
447,0.05907
448,0.05917
449,0.05938
450,0.05959
451,0.05974
452,0.05982
453,0.05996
454,0.06011
455,0.06025
456,0.06036
457,0.06047
458,0.06054
459,0.0606
460,0.06075
461,0.0609
462,0.06098
463,0.06096
464,0.06094
465,0.06093
466,0.06097
467,0.0611
468,0.06115
469,0.06115
470,0.06115
471,0.06121
472,0.06126
473,0.06131
474,0.06141
475,0.06146
476,0.06147
477,0.06145
478,0.06142
479,0.06147
480,0.06158
481,0.06172
482,0.06177
483,0.06181
484,0.06187
485,0.06198
486,0.06213
487,0.0623
488,0.06249
489,0.06273
490,0.06303
491,0.06335
492,0.06365
493,0.06401
494,0.06438
495,0.06479
496,0.06539
497,0.06596
498,0.06653
499,0.06719
500,0.06785
501,0.06861
502,0.06949
503,0.07045
504,0.07148
505,0.07262
506,0.07387
507,0.07519
508,0.07662
509,0.07819
510,0.07987
511,0.0816
512,0.08347
513,0.08552
514,0.08766
515,0.08992
516,0.09229
517,0.09479
518,0.09741
519,0.10007
520,0.10278
521,0.10557
522,0.10829
523,0.11099
524,0.11372
525,0.11637
526,0.11893
527,0.12137
528,0.12371
529,0.12589
530,0.12794
531,0.12985
532,0.13162
533,0.13323
534,0.1347
535,0.13604
536,0.13727
537,0.1384
538,0.13944
539,0.14047
540,0.14155
541,0.14266
542,0.1437
543,0.14458
544,0.14524
545,0.14571
546,0.14601
547,0.14617
548,0.14632
549,0.14651
550,0.14673
551,0.1469
552,0.14696
553,0.14686
554,0.14662
555,0.14624
556,0.14573
557,0.14511
558,0.14439
559,0.14357
560,0.14269
561,0.14171
562,0.14061
563,0.13942
564,0.13816
565,0.13683
566,0.13549
567,0.13413
568,0.13269
569,0.13118
570,0.12964
571,0.12809
572,0.12657
573,0.12515
574,0.12384
575,0.12263
576,0.12147
577,0.12043
578,0.11952
579,0.11866
580,0.11783
581,0.11698
582,0.11608
583,0.11517
584,0.11429
585,0.11346
586,0.11273
587,0.11211
588,0.11155
589,0.11098
590,0.11049
591,0.11005
592,0.10962
593,0.1092
594,0.10885
595,0.10854
596,0.10824
597,0.108
598,0.10774
599,0.10745
