wl,value
360,0.0379
361,0.03931
362,0.03845
363,0.03739
364,0.03701
365,0.03745
366,0.0372
367,0.03724
368,0.03752
369,0.03732
370,0.03721
371,0.03687
372,0.03636
373,0.03654
374,0.03679
375,0.03669
376,0.03618
377,0.03653
378,0.03673
379,0.03657
380,0.03661
381,0.03693
382,0.03695
383,0.0364
384,0.03593
385,0.03607
386,0.03645
387,0.03648
388,0.03668
389,0.03642
390,0.03598
391,0.03655
392,0.03677
393,0.0365
394,0.03605
395,0.03605
396,0.03629
397,0.03644
398,0.03623
399,0.03634
400,0.03641
401,0.03628
402,0.03625
403,0.03625
404,0.0363
405,0.03639
406,0.03641
407,0.0365
408,0.03655
409,0.03636
410,0.03651
411,0.03655
412,0.03634
413,0.03655
414,0.03662
415,0.03653
416,0.03646
417,0.03675
418,0.03689
419,0.03679
420,0.03676
421,0.03681
422,0.03683
423,0.03678
424,0.03684
425,0.03691
426,0.03697
427,0.03702
428,0.03701
429,0.03699
430,0.03699
431,0.03694
432,0.03697
433,0.03703
434,0.03702
435,0.0371
436,0.03713
437,0.03712
438,0.03717
439,0.03719
440,0.03716
441,0.03712
442,0.03718
443,0.03728
444,0.03737
445,0.03743
446,0.03743
447,0.03746
448,0.03753
449,0.0376
450,0.03758
451,0.03758
452,0.03768
453,0.03775
454,0.03781
455,0.03785
456,0.03783
457,0.03792
458,0.038
459,0.038
460,0.03798
461,0.03804
462,0.03809
463,0.03804
464,0.03814
465,0.03819
466,0.03817
467,0.03818
468,0.0382
469,0.03819
470,0.03816
471,0.03825
472,0.03826
473,0.03818
474,0.03813
475,0.03817
476,0.03821
477,0.03826
478,0.03839
479,0.03837
480,0.03824
481,0.03816
482,0.03826
483,0.03836
484,0.03839
485,0.03841
486,0.03848
487,0.03855
488,0.03857
489,0.03856
490,0.03864
491,0.03878
492,0.03892
493,0.03902
494,0.03914
495,0.03931
496,0.03945
497,0.03968
498,0.03993
499,0.04016
500,0.04041
501,0.04073
502,0.04111
503,0.04151
504,0.04197
505,0.04251
506,0.0431
507,0.04369
508,0.04446
509,0.04536
510,0.04627
511,0.04725
512,0.04837
513,0.04965
514,0.05101
515,0.05251
516,0.05414
517,0.05589
518,0.05773
519,0.05972
520,0.06184
521,0.06405
522,0.06629
523,0.06853
524,0.07077
525,0.07303
526,0.07529
527,0.07747
528,0.07951
529,0.08147
530,0.08331
531,0.085
532,0.08661
533,0.08811
534,0.08948
535,0.0907
536,0.09179
537,0.09279
538,0.09373
539,0.09458
540,0.09537
541,0.09615
542,0.09693
543,0.09759
544,0.09814
545,0.0986
546,0.09895
547,0.09927
548,0.09956
549,0.09983
550,0.10008
551,0.10024
552,0.10029
553,0.10021
554,0.09999
555,0.09964
556,0.09915
557,0.09851
558,0.09778
559,0.09694
560,0.09596
561,0.09491
562,0.09378
563,0.09257
564,0.0913
565,0.08998
566,0.0886
567,0.08714
568,0.0856
569,0.08402
570,0.08249
571,0.08105
572,0.07964
573,0.07827
574,0.07694
575,0.07568
576,0.07456
577,0.07356
578,0.07264
579,0.07177
580,0.07092
581,0.07008
582,0.06925
583,0.06855
584,0.06791
585,0.06731
586,0.06677
587,0.0662
588,0.06561
589,0.065
590,0.06446
591,0.06399
592,0.06361
593,0.06333
594,0.06307
595,0.06284
596,0.06262
597,0.06238
598,0.06214
599,0.0619
600,0.0617
601,0.06149
602,0.0612
603,0.06082
604,0.06039
605,0.05991
606,0.05938
607,0.0588
608,0.0582
609,0.05758
610,0.05695
611,0.05634
612,0.05573
613,0.0551
614,0.05448
615,0.05385
616,0.05326
617,0.05273
618,0.05226
619,0.05182
620,0.05144
621,0.05112
622,0.05081
623,0.05055
624,0.05034
625,0.05019
626,0.05007
627,0.04997
628,0.04989
629,0.04985
630,0.04979
631,0.04973
632,0.04965
633,0.04951
634,0.04934
635,0.04912
636,0.04884
637,0.04849
638,0.0481
639,0.04768
640,0.04721
641,0.0467
642,0.04619
643,0.04568
644,0.04514
645,0.04464
646,0.04418
647,0.04372
648,0.04334
649,0.04301
650,0.04274
651,0.04255
652,0.04237
653,0.04219
654,0.04201
655,0.04186
656,0.04169
657,0.04149
658,0.04128
659,0.04104
660,0.04081
661,0.04061
662,0.04041
663,0.04025
664,0.04013
665,0.04004
666,0.03996
667,0.03994
668,0.03998
669,0.04009
670,0.04021
671,0.04036
672,0.04053
673,0.04072
674,0.04098
675,0.04128
676,0.04158
677,0.04191
678,0.04227
679,0.04265
680,0.04309
681,0.04353
682,0.044
683,0.0445
684,0.04499
685,0.04554
686,0.04614
687,0.04683
688,0.04768
689,0.04876
690,0.05017
691,0.05206
692,0.05453
693,0.05768
694,0.06155
695,0.06619
696,0.07163
697,0.07787
698,0.08484
699,0.09246
700,0.10065
701,0.10934
702,0.11839
703,0.1277
704,0.13718
705,0.14677
706,0.15641
707,0.16609
708,0.17581
709,0.18556
710,0.19531
711,0.2051
712,0.21492
713,0.22469
714,0.23445
715,0.24419
716,0.25386
717,0.2635
718,0.27302
719,0.28241
720,0.29168
721,0.30076
722,0.30962
723,0.31827
724,0.32669
725,0.33481
726,0.34262
727,0.35012
728,0.35732
729,0.3642
730,0.37074
731,0.37694
732,0.38281
733,0.38834
734,0.39357
735,0.39849
736,0.4031
737,0.4074
738,0.41143
739,0.41517
740,0.41864
741,0.42185
742,0.42483
743,0.42756
744,0.43005
745,0.43231
746,0.43438
747,0.43626
748,0.43796
749,0.43948
750,0.44088
751,0.44216
752,0.44329
753,0.44427
754,0.44517
755,0.44602
756,0.44678
757,0.44742
758,0.44801
759,0.44855
760,0.44903
761,0.4495
762,0.4499
763,0.45023
764,0.45051
765,0.45078
766,0.45101
767,0.4512
768,0.45138
769,0.45155
770,0.4517
771,0.45184
772,0.45196
773,0.45205
774,0.45216
775,0.45228
776,0.45235
777,0.45245
778,0.45257
779,0.45266
780,0.45273
781,0.4528
782,0.45289
783,0.45298
784,0.45304
785,0.45311
786,0.45319
787,0.45319
788,0.45326
789,0.45334
790,0.45335
791,0.45338
792,0.45342
793,0.45346
794,0.45349
795,0.45351
796,0.45353
797,0.45354
798,0.45355
799,0.45353
800,0.45348
801,0.45344
802,0.45343
803,0.45342
804,0.45339
805,0.45335
806,0.4533
807,0.45324
808,0.45319
809,0.45314
810,0.4531
811,0.45305
812,0.45299
813,0.45295
814,0.45288
815,0.4528
816,0.45274
817,0.45269
818,0.45263
819,0.45257
820,0.45253
821,0.4525
822,0.45243
823,0.45235
824,0.45234
825,0.45226
826,0.4522
827,0.45218
828,0.45215
829,0.4521
830,0.45204
