wl,value
360,0.07338
361,0.07424
362,0.07466
363,0.07488
364,0.07469
365,0.07411
366,0.07413
367,0.07438
368,0.07451
369,0.07425
370,0.07444
371,0.07449
372,0.07411
373,0.0739
374,0.07381
375,0.07375
376,0.07368
377,0.07387
378,0.07396
379,0.07377
380,0.07336
381,0.07349
382,0.0738
383,0.07395
384,0.07391
385,0.07407
386,0.07419
387,0.07394
388,0.07368
389,0.07364
390,0.07379
391,0.07394
392,0.07409
393,0.07417
394,0.07411
395,0.07397
396,0.0741
397,0.07427
398,0.07408
399,0.07381
400,0.07378
401,0.07402
402,0.07417
403,0.07414
404,0.07416
405,0.07436
406,0.07426
407,0.07419
408,0.07418
409,0.07411
410,0.07439
411,0.07461
412,0.07455
413,0.07453
414,0.07471
415,0.07492
416,0.07494
417,0.07489
418,0.07492
419,0.07502
420,0.07505
421,0.0752
422,0.07532
423,0.07531
424,0.07533
425,0.07541
426,0.07548
427,0.07544
428,0.07547
429,0.07553
430,0.07554
431,0.07542
432,0.07536
433,0.07529
434,0.07511
435,0.07509
436,0.07519
437,0.07533
438,0.07544
439,0.07562
440,0.07576
441,0.07582
442,0.07607
443,0.07615
444,0.07616
445,0.07629
446,0.07638
447,0.07648
448,0.07659
449,0.07667
450,0.07671
451,0.07677
452,0.07688
453,0.07702
454,0.07707
455,0.07709
456,0.07718
457,0.07724
458,0.07728
459,0.07734
460,0.07738
461,0.07751
462,0.07764
463,0.07767
464,0.07768
465,0.07771
466,0.07776
467,0.0778
468,0.07782
469,0.07783
470,0.07783
471,0.07786
472,0.07794
473,0.07801
474,0.07801
475,0.07803
476,0.07807
477,0.07815
478,0.07823
479,0.07824
480,0.07823
481,0.07826
482,0.07821
483,0.07819
484,0.0782
485,0.07821
486,0.07823
487,0.0783
488,0.07844
489,0.07863
490,0.07876
491,0.07886
492,0.07903
493,0.07922
494,0.07939
495,0.07955
496,0.07979
497,0.0801
498,0.08038
499,0.08058
500,0.0809
501,0.08124
502,0.0816
503,0.08202
504,0.08252
505,0.08305
506,0.08359
507,0.0842
508,0.08488
509,0.08567
510,0.08663
511,0.0876
512,0.08866
513,0.08984
514,0.09115
515,0.09263
516,0.09421
517,0.09585
518,0.09759
519,0.09946
520,0.10143
521,0.1035
522,0.10559
523,0.1077
524,0.10984
525,0.11195
