wl,value
360,0.06171
361,0.06131
362,0.06139
363,0.06075
364,0.05988
365,0.05949
366,0.05945
367,0.05946
368,0.0595
369,0.05972
370,0.06042
371,0.06027
372,0.05904
373,0.05866
374,0.05942
375,0.06016
376,0.05977
377,0.0597
378,0.05977
379,0.05982
380,0.05978
381,0.05956
382,0.05958
383,0.05989
384,0.05943
385,0.05934
386,0.05952
387,0.05946
388,0.05931
389,0.05908
390,0.05888
391,0.05897
392,0.05937
393,0.05952
394,0.05917
395,0.05924
396,0.05922
397,0.05907
398,0.05895
399,0.05907
400,0.05903
401,0.05884
402,0.05911
403,0.05909
404,0.059
405,0.05909
406,0.05893
407,0.05887
408,0.0589
409,0.05878
410,0.05879
411,0.05888
412,0.05899
413,0.05906
414,0.05921
415,0.05934
416,0.0593
417,0.05923
418,0.05934
419,0.05957
420,0.05963
421,0.05974
422,0.05983
423,0.05984
424,0.06001
425,0.06025
426,0.06041
427,0.06037
428,0.06045
429,0.06066
430,0.0609
431,0.06093
432,0.06101
433,0.0611
434,0.06114
435,0.06124
436,0.06131
437,0.06144
438,0.06175
439,0.06198
440,0.06219
441,0.06241
442,0.06252
443,0.06266
444,0.06283
445,0.063
446,0.06322
447,0.06338
448,0.06348
449,0.06367
450,0.06391
451,0.06413
452,0.06426
453,0.06447
454,0.06462
455,0.06474
456,0.06496
457,0.06517
458,0.06538
459,0.06559
460,0.06564
461,0.0658
462,0.06602
463,0.06616
464,0.06622
465,0.06635
466,0.06653
467,0.06663
468,0.06671
469,0.06679
470,0.06689
471,0.06698
472,0.06701
473,0.06706
474,0.06721
475,0.06722
476,0.06719
477,0.06723
478,0.06732
479,0.0674
480,0.06746
481,0.06751
482,0.06752
483,0.06761
484,0.06774
485,0.06776
486,0.06788
487,0.06809
488,0.06833
489,0.06851
490,0.06876
491,0.06907
492,0.06935
493,0.06963
494,0.07
495,0.07045
496,0.07082
497,0.07119
498,0.07167
499,0.07226
500,0.07283
501,0.07341
502,0.07402
503,0.07468
504,0.0754
505,0.07618
506,0.077
507,0.07792
508,0.0789
509,0.07992
510,0.081
511,0.08217
512,0.08346
513,0.08487
514,0.08631
515,0.08785
516,0.08946
517,0.09112
518,0.09289
519,0.09475
520,0.09668
521,0.09863
522,0.10063
523,0.10269
524,0.10478
525,0.10683
526,0.10882
527,0.11079
528,0.11275
529,0.11465
530,0.11645
531,0.11813
532,0.11978
533,0.12132
534,0.12277
535,0.12416
536,0.12543
537,0.12659
538,0.12766
539,0.12866
540,0.12959
541,0.13045
542,0.13124
543,0.13199
544,0.13266
545,0.1333
546,0.13394
547,0.13449
548,0.13504
549,0.13558
550,0.13603
551,0.13641
552,0.13668
553,0.13685
554,0.13695
555,0.1369
556,0.1367
557,0.13639
558,0.13595
559,0.13538
560,0.13471
561,0.13396
562,0.13311
563,0.13219
564,0.13126
565,0.13033
566,0.12938
567,0.12841
568,0.12738
569,0.1263
570,0.12518
571,0.12408
572,0.12302
573,0.12199
574,0.12099
575,0.12006
576,0.11916
577,0.11829
578,0.11745
579,0.11664
580,0.11588
581,0.11516
582,0.11448
583,0.11387
584,0.11332
585,0.11279
586,0.11222
587,0.11171
588,0.11126
589,0.11083
590,0.11045
591,0.11007
592,0.1097
593,0.10938
594,0.10911
595,0.10887
596,0.10865
597,0.10843
598,0.10821
599,0.10799
600,0.10775
601,0.10747
602,0.10712
603,0.10673
604,0.10633
605,0.10587
606,0.10536
607,0.10483
608,0.10423
609,0.10356
610,0.10285
611,0.10217
612,0.10154
613,0.10095
614,0.10037
615,0.09974
616,0.09914
617,0.09855
618,0.09798
619,0.09748
620,0.09705
621,0.09665
622,0.09626
623,0.09599
624,0.09579
625,0.09564
626,0.09549
627,0.09538
628,0.09531
629,0.09527
630,0.09521
631,0.09513
632,0.09503
633,0.09485
634,0.0946
635,0.09423
636,0.09372
637,0.09309
638,0.09238
639,0.09159
640,0.09071
641,0.08977
642,0.08882
643,0.08786
644,0.08684
645,0.08589
646,0.08501
647,0.0842
648,0.08346
649,0.08282
650,0.08229
651,0.0819
652,0.08156
653,0.08125
654,0.08094
655,0.08061
656,0.08022
657,0.07978
658,0.07929
659,0.07873
660,0.07812
661,0.07747
662,0.0768
663,0.07618
664,0.07558
665,0.07501
666,0.07452
667,0.07406
668,0.07367
669,0.07337
670,0.07317
671,0.07305
672,0.07298
673,0.07295
674,0.07302
675,0.07315
676,0.07329
677,0.07351
678,0.0738
679,0.07417
680,0.07462
681,0.07522
682,0.07597
683,0.07688
684,0.07795
685,0.07931
686,0.08096
687,0.08293
688,0.08533
689,0.08823
690,0.0917
691,0.09577
692,0.10053
693,0.10599
694,0.11216
695,0.11898
696,0.12644
697,0.13448
698,0.14301
699,0.15198
700,0.16126
701,0.17074
702,0.18033
703,0.18994
704,0.19951
705,0.20896
706,0.21829
707,0.22742
708,0.23636
709,0.24513
710,0.25376
711,0.2622
712,0.27044
713,0.27847
714,0.28631
715,0.29395
716,0.30135
717,0.30852
718,0.31548
719,0.32223
720,0.32874
721,0.33501
722,0.341
723,0.34671
724,0.35216
725,0.35732
726,0.3622
727,0.36683
728,0.37122
729,0.37531
730,0.37914
731,0.38272
732,0.38608
733,0.38921
734,0.39212
735,0.39482
736,0.39735
737,0.3997
738,0.40186
739,0.40388
740,0.40574
741,0.40745
742,0.40903
743,0.41049
744,0.4118
745,0.41297
746,0.41405
747,0.41502
748,0.4159
749,0.41672
750,0.41745
751,0.4181
752,0.41869
753,0.41922
754,0.41972
755,0.42016
756,0.42055
757,0.42091
758,0.42125
759,0.42156
760,0.42183
761,0.42208
762,0.42232
763,0.42254
764,0.42274
765,0.42291
766,0.42305
767,0.4232
768,0.42335
769,0.42347
770,0.42361
771,0.42376
772,0.42387
773,0.42396
774,0.42404
775,0.42413
776,0.42422
777,0.42434
778,0.42445
779,0.42453
780,0.42463
781,0.42474
782,0.42484
783,0.42492
784,0.42502
785,0.4251
786,0.42515
787,0.42521
788,0.42526
789,0.42531
790,0.42536
791,0.42542
792,0.42547
793,0.4255
794,0.42551
795,0.42551
796,0.42552
797,0.42553
798,0.42551
799,0.42549
800,0.42545
801,0.42541
802,0.42539
803,0.42538
804,0.42535
805,0.42528
806,0.42521
807,0.42516
808,0.42511
809,0.42501
810,0.4249
811,0.4248
812,0.42471
813,0.42465
814,0.42454
815,0.42441
816,0.42432
817,0.42425
818,0.42416
819,0.42405
820,0.42391
821,0.42379
822,0.4237
823,0.42361
824,0.42349
825,0.42335
826,0.42323
827,0.42312
828,0.423
829,0.42288
830,0.42275
