wl,value
360,0.06093
361,0.06034
362,0.05988
363,0.05944
364,0.05959
365,0.06047
366,0.06026
367,0.06023
368,0.06053
369,0.06054
370,0.0604
371,0.06021
372,0.06019
373,0.06079
374,0.06089
375,0.06099
376,0.06165
377,0.06137
378,0.06089
379,0.06085
380,0.06159
381,0.0615
382,0.06122
383,0.06141
384,0.06207
385,0.06225
386,0.06211
387,0.06219
388,0.06258
389,0.06322
390,0.06381
391,0.06381
392,0.06385
393,0.06394
394,0.06405
395,0.06444
396,0.06504
397,0.06557
398,0.06572
399,0.06582
400,0.06584
401,0.06595
402,0.06667
403,0.06688
404,0.06703
405,0.06763
406,0.06811
407,0.06848
408,0.06871
409,0.06884
410,0.06927
411,0.06989
412,0.07042
413,0.0705
414,0.07081
415,0.07123
416,0.07152
417,0.07215
418,0.07254
419,0.07261
420,0.07283
421,0.07321
422,0.07358
423,0.07382
424,0.07405
425,0.07424
426,0.07444
427,0.07472
428,0.07501
429,0.0752
430,0.07529
431,0.07537
432,0.07547
433,0.07562
434,0.0758
435,0.07594
436,0.07614
437,0.07631
438,0.07627
439,0.07628
440,0.0764
441,0.0766
442,0.0767
443,0.07683
444,0.07701
445,0.0772
446,0.07743
447,0.07763
448,0.07777
449,0.07789
450,0.07797
451,0.07809
452,0.0783
453,0.07846
454,0.0786
455,0.07872
456,0.07879
457,0.07891
458,0.07893
459,0.07887
460,0.07899
461,0.07907
462,0.07903
463,0.07891
464,0.07882
465,0.07873
466,0.07868
467,0.0787
468,0.07876
469,0.07876
470,0.07868
471,0.07871
472,0.07869
473,0.07862
474,0.07858
475,0.07853
476,0.07849
477,0.07846
478,0.07848
479,0.07849
480,0.07852
481,0.07859
482,0.07859
483,0.07861
484,0.07867
485,0.07868
486,0.07867
487,0.07874
488,0.0789
489,0.07897
490,0.0791
491,0.07925
492,0.07935
493,0.0795
494,0.07968
495,0.07989
496,0.08009
497,0.0804
498,0.08072
499,0.08098
500,0.08137
501,0.08175
502,0.08213
503,0.08265
504,0.08325
505,0.08385
506,0.0844
507,0.08509
508,0.08588
509,0.08672
510,0.08755
511,0.0885
512,0.08955
513,0.0907
514,0.09189
515,0.09311
516,0.09436
517,0.09566
518,0.09715
519,0.0987
520,0.10025
521,0.10182
522,0.10338
523,0.10495
524,0.10654
525,0.10804
526,0.1095
527,0.11089
528,0.11217
529,0.1134
530,0.11457
531,0.11562
532,0.11656
533,0.11742
534,0.11821
535,0.11893
536,0.11955
537,0.12009
538,0.12057
539,0.12106
540,0.12157
541,0.12211
542,0.12265
543,0.12309
544,0.1234
545,0.12358
546,0.12367
547,0.12369
548,0.12369
549,0.1237
550,0.12375
551,0.12372
552,0.12362
553,0.12343
554,0.12316
555,0.12281
556,0.12236
557,0.1218
558,0.12114
559,0.12044
560,0.11974
561,0.119
562,0.11821
563,0.11735
564,0.11643
565,0.1155
566,0.11454
567,0.11353
568,0.11248
569,0.1114
570,0.1103
571,0.10921
572,0.10814
573,0.10713
574,0.1062
575,0.10532
576,0.10451
577,0.10374
578,0.10301
579,0.10236
580,0.10174
581,0.10114
582,0.10055
583,0.09996
584,0.09942
585,0.0989
586,0.09839
587,0.09792
588,0.09749
589,0.09709
590,0.09674
591,0.09643
592,0.09616
593,0.0959
594,0.09566
595,0.09543
596,0.09521
597,0.095
598,0.09476
599,0.09451
600,0.09427
601,0.09399
602,0.09368
603,0.09334
604,0.09295
605,0.09259
606,0.09221
607,0.09177
608,0.09132
609,0.09089
610,0.09051
611,0.0902
612,0.08971
613,0.08909
614,0.08844
615,0.08788
616,0.08736
617,0.08687
618,0.0864
619,0.08602
620,0.08568
621,0.08535
622,0.08501
623,0.08473
624,0.0845
625,0.08429
626,0.08412
627,0.08395
628,0.08382
