wl,value
360,0.0464
361,0.04738
362,0.0505
363,0.04791
364,0.04746
365,0.05497
366,0.05479
367,0.04843
368,0.0449
369,0.0553
370,0.05348
371,0.04882
372,0.04833
373,0.04634
374,0.0417
375,0.03999
376,0.04558
377,0.04598
378,0.04775
379,0.05041
380,0.04774
381,0.04989
382,0.0524
383,0.0513
384,0.04848
385,0.04799
386,0.05037
387,0.05341
388,0.04972
389,0.04507
390,0.04315
391,0.04436
392,0.04872
393,0.05084
394,0.04846
395,0.04967
396,0.05009
397,0.04985
398,0.05081
399,0.05159
400,0.05036
401,0.04755
402,0.04641
403,0.04796
404,0.04901
405,0.04749
406,0.04902
407,0.04975
408,0.04962
409,0.05091
410,0.05256
411,0.05145
412,0.04815
413,0.0502
414,0.05158
415,0.05078
416,0.04886
417,0.05183
418,0.05372
419,0.05296
420,0.05242
421,0.05254
422,0.05213
423,0.05086
424,0.05151
425,0.05215
426,0.05259
427,0.05325
428,0.05287
429,0.05235
430,0.05223
431,0.05229
432,0.0522
433,0.05234
434,0.0529
435,0.0527
436,0.05261
437,0.05301
438,0.05379
439,0.05351
440,0.05259
441,0.05182
442,0.05216
443,0.05316
444,0.05401
445,0.05403
446,0.05425
447,0.05405
448,0.05356
449,0.05393
450,0.05515
451,0.05599
452,0.0555
453,0.05457
454,0.05508
455,0.05602
456,0.05484
457,0.05414
458,0.05459
459,0.05564
460,0.05508
461,0.0545
462,0.05461
463,0.05544
464,0.05523
465,0.05476
466,0.05471
467,0.05545
468,0.05565
469,0.05504
470,0.0541
471,0.05491
472,0.05453
473,0.05376
474,0.05502
475,0.05561
476,0.05594
477,0.05605
478,0.05484
479,0.05434
480,0.05497
481,0.05613
482,0.0555
483,0.05494
484,0.05514
485,0.05553
486,0.05528
487,0.05488
488,0.05484
489,0.0551
490,0.05552
491,0.05595
492,0.05621
493,0.0556
494,0.05527
495,0.0557
496,0.0561
497,0.05622
498,0.05644
499,0.05707
500,0.05728
501,0.057
502,0.05679
503,0.05761
504,0.05862
505,0.05932
506,0.05951
507,0.05955
508,0.05969
509,0.06017
510,0.0611
511,0.06176
512,0.06251
513,0.06346
514,0.06433
515,0.06561
516,0.06669
517,0.06719
518,0.06877
519,0.07045
520,0.07174
521,0.07263
522,0.07386
523,0.07533
524,0.07676
525,0.07791
526,0.07893
527,0.08026
528,0.08225
529,0.08357
530,0.08438
531,0.08501
532,0.08577
533,0.08666
534,0.08741
535,0.08792
536,0.08867
537,0.08938
538,0.09001
539,0.09065
540,0.09111
541,0.09153
542,0.09202
543,0.09244
544,0.09288
545,0.09323
546,0.09337
547,0.09328
548,0.09304
549,0.09287
550,0.09315
551,0.09337
552,0.09334
553,0.09309
554,0.09315
555,0.09295
556,0.09248
557,0.09217
558,0.09164
559,0.09119
560,0.09086
561,0.08996
562,0.08905
563,0.08837
564,0.08791
565,0.08717
566,0.08625
567,0.08529
568,0.08444
569,0.08342
570,0.0824
571,0.08156
572,0.08073
573,0.08002
574,0.07927
575,0.0782
576,0.07756
577,0.07719
578,0.0768
579,0.07618
580,0.07557
581,0.07509
582,0.07475
583,0.07437
584,0.07409
585,0.07388
586,0.07346
587,0.07311
588,0.07274
589,0.07233
590,0.07219
591,0.07208
592,0.07187
593,0.07156
594,0.07148
595,0.07144
596,0.0713
597,0.07108
598,0.07074
599,0.07049
600,0.0705
601,0.0705
602,0.07033
603,0.06996
604,0.0695
605,0.06933
606,0.0692
607,0.06889
608,0.06852
609,0.06838
610,0.06845
611,0.06846
612,0.06797
613,0.06743
614,0.06702
615,0.06637
616,0.0659
617,0.06567
618,0.06561
619,0.06546
620,0.06523
621,0.06496
622,0.0647
623,0.06455
624,0.06443
625,0.0643
626,0.06427
627,0.06422
628,0.06411
629,0.06399
630,0.06404
631,0.06407
632,0.06392
633,0.0635
634,0.06365
635,0.06389
636,0.06367
637,0.06321
638,0.06293
639,0.06279
640,0.06254
641,0.0623
642,0.06198
643,0.06155
644,0.06109
645,0.06075
646,0.06055
647,0.06043
648,0.06004
649,0.05995
650,0.06009
651,0.05982
652,0.05951
653,0.05935
654,0.05937
655,0.05936
656,0.05926
657,0.05913
658,0.05901
659,0.05853
660,0.05836
661,0.05853
662,0.0584
663,0.05808
664,0.0578
665,0.05774
666,0.05776
667,0.0577
668,0.05766
669,0.05778
670,0.05765
671,0.05766
672,0.05794
673,0.05815
674,0.05844
675,0.05869
676,0.0588
677,0.05897
678,0.05909
679,0.05928
680,0.0598
681,0.06036
682,0.06082
683,0.06113
684,0.06136
685,0.06178
686,0.0625
687,0.06344
688,0.06414
689,0.06486
690,0.06586
691,0.06735
692,0.06887
693,0.07076
694,0.07327
695,0.0762
696,0.07956
697,0.08342
698,0.08783
699,0.09254
700,0.09778
701,0.10366
702,0.11015
703,0.11681
704,0.12367
705,0.13083
706,0.13838
707,0.1461
708,0.15395
709,0.16198
710,0.17026
711,0.1786
712,0.18694
713,0.19542
714,0.20395
715,0.21259
716,0.22132
717,0.22987
718,0.23855
719,0.24735
720,0.2561
721,0.2645
722,0.27279
723,0.28106
724,0.2892
725,0.2969
726,0.30441
727,0.31189
728,0.31913
729,0.32596
730,0.33239
731,0.33851
732,0.34447
733,0.35012
734,0.35538
735,0.36027
736,0.36511
737,0.36967
738,0.37381
739,0.37783
740,0.38147
741,0.38482
742,0.38809
743,0.39123
744,0.39401
745,0.39645
746,0.39882
747,0.4008
748,0.40266
749,0.4046
750,0.4064
751,0.40786
752,0.40905
753,0.4102
754,0.41158
755,0.41264
756,0.41342
757,0.41438
758,0.41518
759,0.41598
760,0.41678
761,0.4172
762,0.41749
763,0.41793
764,0.41856
765,0.41873
766,0.41895
767,0.41934
768,0.41972
769,0.41993
770,0.42008
771,0.42024
772,0.42043
773,0.42069
774,0.42089
775,0.42098
776,0.42115
777,0.42149
778,0.42166
779,0.42132
780,0.42147
781,0.42159
782,0.42155
783,0.42175
784,0.42179
785,0.4218
786,0.4219
787,0.42199
788,0.42189
789,0.42188
790,0.42217
791,0.422
792,0.42185
793,0.42182
794,0.42169
795,0.42171
796,0.42183
797,0.42188
798,0.42157
799,0.42152
800,0.42161
801,0.42161
802,0.42136
803,0.42138
804,0.4215
805,0.42138
806,0.42141
807,0.42139
808,0.42126
809,0.42115
810,0.42092
811,0.42082
812,0.42089
813,0.42083
814,0.42067
815,0.42052
816,0.42044
817,0.4204
818,0.42035
819,0.42023
820,0.41999
821,0.41987
822,0.41989
823,0.41995
824,0.41986
825,0.41985
826,0.41969
827,0.41942
828,0.41967
829,0.41959
830,0.41943
