wl,value
360,0.04956
361,0.04933
362,0.04886
363,0.04893
364,0.04904
365,0.04875
366,0.04906
367,0.04917
368,0.04911
369,0.04937
370,0.04863
371,0.04851
372,0.04947
373,0.04916
374,0.04843
375,0.04824
376,0.04908
377,0.04935
378,0.0491
379,0.0487
380,0.04876
381,0.04941
382,0.04965
383,0.04909
384,0.04905
385,0.0493
386,0.04947
387,0.04927
388,0.04921
389,0.04937
390,0.04962
391,0.04966
392,0.04969
393,0.05004
394,0.0507
395,0.05084
396,0.05107
397,0.05137
398,0.05147
399,0.05202
400,0.05222
401,0.05203
402,0.05258
403,0.05302
404,0.05325
405,0.05346
406,0.05405
407,0.05451
408,0.05477
409,0.05508
410,0.05538
411,0.05567
412,0.056
413,0.05642
414,0.05688
415,0.05736
416,0.05778
417,0.0581
418,0.05851
419,0.05899
420,0.0593
421,0.05959
422,0.05985
423,0.06008
424,0.06034
425,0.06064
426,0.06097
427,0.06125
428,0.06144
429,0.0616
430,0.06175
431,0.0618
432,0.06205
433,0.06231
434,0.06235
435,0.06246
436,0.06256
437,0.06265
438,0.06276
439,0.06289
440,0.06301
441,0.06309
442,0.06317
443,0.06321
444,0.06331
445,0.06353
446,0.0637
447,0.06382
448,0.06392
449,0.06403
450,0.06418
451,0.06431
452,0.06439
453,0.06446
454,0.06461
455,0.06477
456,0.06486
457,0.06487
458,0.06482
459,0.06479
460,0.06489
461,0.06492
462,0.06489
463,0.06485
464,0.06485
465,0.06487
466,0.06488
467,0.06486
468,0.06486
469,0.06485
470,0.06479
471,0.06468
472,0.06465
473,0.06466
474,0.06461
475,0.06461
476,0.06467
477,0.06471
478,0.06457
479,0.06455
480,0.06463
481,0.06467
482,0.06469
483,0.06467
484,0.06464
485,0.06466
486,0.06471
487,0.06479
488,0.06489
489,0.06496
490,0.06507
491,0.0652
492,0.06537
493,0.06549
494,0.06564
495,0.06584
496,0.06604
497,0.06629
498,0.06661
499,0.06698
500,0.06736
501,0.0678
502,0.0683
503,0.06881
504,0.06945
505,0.07014
506,0.07083
507,0.07165
508,0.07256
509,0.07353
510,0.07454
511,0.07558
512,0.07674
513,0.07806
514,0.07953
515,0.08109
516,0.08269
517,0.08434
518,0.08603
519,0.08788
520,0.08984
521,0.09179
522,0.09374
523,0.09568
524,0.09757
525,0.09945
526,0.1013
