wl,value
360,0.06648
361,0.06579
362,0.06607
363,0.06577
364,0.06571
365,0.06654
366,0.0659
367,0.06567
368,0.06603
369,0.06597
370,0.06576
371,0.06559
372,0.06561
373,0.06587
374,0.06595
375,0.06609
376,0.0665
377,0.06621
378,0.06552
379,0.06507
380,0.06553
381,0.06545
382,0.06522
383,0.06531
384,0.06564
385,0.06588
386,0.06583
387,0.06549
388,0.06559
389,0.06595
390,0.06622
391,0.06603
392,0.06589
393,0.06581
394,0.06582
395,0.0662
396,0.0666
397,0.06679
398,0.06669
399,0.06657
400,0.06648
401,0.06661
402,0.06732
403,0.06737
404,0.06728
405,0.06767
406,0.06774
407,0.06794
408,0.06826
409,0.06844
410,0.06879
411,0.06925
412,0.06965
413,0.06984
414,0.07017
415,0.07063
416,0.07109
417,0.07165
418,0.07199
419,0.07213
420,0.07244
421,0.07285
422,0.07328
423,0.07365
424,0.07397
425,0.07425
426,0.07456
427,0.07498
428,0.07535
429,0.07558
430,0.0757
431,0.0758
432,0.07594
433,0.07614
434,0.07638
435,0.0765
436,0.07669
437,0.07691
438,0.07702
439,0.07711
440,0.07731
441,0.07761
442,0.07771
443,0.07784
444,0.07803
445,0.07826
446,0.07852
447,0.07871
448,0.07882
449,0.07897
450,0.07907
451,0.07919
452,0.07942
453,0.07954
454,0.07967
455,0.07978
456,0.07981
457,0.07986
458,0.07992
459,0.07997
460,0.08
461,0.08003
462,0.08003
463,0.07996
464,0.07989
465,0.07981
466,0.07976
467,0.07977
468,0.07978
469,0.07976
470,0.07972
471,0.07979
472,0.07976
473,0.07967
474,0.07969
475,0.07964
476,0.0796
477,0.07959
478,0.07958
479,0.07957
480,0.07959
481,0.07964
482,0.07956
483,0.07956
484,0.07965
485,0.0796
486,0.07954
487,0.07957
488,0.07972
489,0.0798
490,0.07992
491,0.08007
492,0.08018
493,0.08034
494,0.08052
495,0.0807
496,0.08096
497,0.0813
498,0.08163
499,0.08191
500,0.08228
501,0.08268
502,0.08311
503,0.08364
504,0.08426
505,0.08491
506,0.08556
507,0.08636
508,0.08725
509,0.08818
510,0.08915
511,0.09023
512,0.09143
513,0.09274
514,0.09416
515,0.09564
516,0.09717
517,0.09878
518,0.1006
519,0.1025
520,0.10443
521,0.10642
522,0.10839
523,0.11039
524,0.11242
525,0.11438
526,0.11627
527,0.11808
528,0.1198
529,0.12143
530,0.12294
531,0.12431
532,0.12556
533,0.1267
534,0.12773
535,0.12863
536,0.1294
537,0.13007
538,0.13068
539,0.13123
540,0.13172
541,0.13217
542,0.13258
543,0.13295
544,0.13329
545,0.1336
546,0.1339
547,0.13417
548,0.1344
549,0.13458
550,0.13474
551,0.1348
552,0.13477
553,0.13466
554,0.13444
555,0.13408
556,0.13358
557,0.13295
558,0.13219
559,0.13137
560,0.13051
561,0.12958
562,0.12857
563,0.12749
564,0.12636
565,0.12519
566,0.12396
567,0.12266
568,0.12131
569,0.11994
570,0.11857
571,0.11721
572,0.11588
573,0.11461
574,0.11341
575,0.1123
576,0.11126
577,0.11026
578,0.10933
579,0.10848
580,0.10768
581,0.10691
582,0.10618
583,0.10549
584,0.10484
585,0.10424
586,0.10365
587,0.10307
588,0.10255
589,0.1021
590,0.10172
591,0.10137
592,0.10102
593,0.10068
594,0.10039
595,0.10012
596,0.09987
597,0.09961
598,0.09935
599,0.09909
600,0.09883
601,0.09852
602,0.0982
603,0.09785
604,0.09738
605,0.09695
606,0.09649
607,0.09596
608,0.09542
609,0.09485
610,0.09425
611,0.09364
612,0.09307
613,0.09249
614,0.09188
615,0.09129
616,0.09074
617,0.09022
618,0.08969
619,0.08926
620,0.08887
621,0.0885
622,0.08814
623,0.08786
624,0.08764
625,0.08745
626,0.08726
627,0.08711
628,0.087
629,0.0869
630,0.08681
631,0.08669
632,0.08653
633,0.08638
634,0.08615
635,0.08585
636,0.08551
637,0.08509
638,0.08461
639,0.0841
640,0.08355
641,0.08299
642,0.08241
643,0.0818
644,0.08118
645,0.0806
646,0.08005
647,0.07953
648,0.07903
649,0.07861
650,0.07827
651,0.078
652,0.07777
653,0.07756
654,0.07734
655,0.07713
656,0.07689
657,0.07662
658,0.07632
659,0.076
660,0.07565
661,0.07529
662,0.07496
663,0.07464
664,0.07434
665,0.07412
666,0.07396
667,0.07386
668,0.07381
669,0.07382
670,0.07389
671,0.07405
672,0.0743
673,0.07461
674,0.07495
675,0.07534
676,0.0758
677,0.07633
678,0.07695
679,0.07763
680,0.07835
681,0.07916
682,0.08004
683,0.08096
684,0.0819
685,0.08289
686,0.08395
687,0.08513
688,0.08646
689,0.08802
690,0.0899
691,0.09221
692,0.09505
693,0.09847
694,0.10248
695,0.10716
696,0.11252
697,0.11853
698,0.12517
699,0.13241
700,0.14013
701,0.14827
702,0.15677
703,0.1655
704,0.17443
705,0.18351
706,0.19267
707,0.20193
708,0.21127
709,0.22064
710,0.23004
711,0.23947
712,0.24894
713,0.25842
714,0.26789
715,0.27734
716,0.28669
717,0.29594
718,0.30509
719,0.31411
720,0.32297
721,0.33161
722,0.34
723,0.34815
724,0.35604
725,0.36364
726,0.3709
727,0.37783
728,0.38449
729,0.39078
730,0.39673
731,0.40236
732,0.40769
733,0.41267
734,0.41733
735,0.42168
736,0.42572
737,0.42947
738,0.43295
739,0.43618
740,0.43913
741,0.44181
742,0.44426
743,0.4465
744,0.44851
745,0.45029
746,0.45185
747,0.45325
748,0.45447
749,0.45551
750,0.45644
751,0.45727
752,0.45799
753,0.4586
754,0.45911
755,0.45957
756,0.45997
757,0.46031
758,0.4606
759,0.46084
760,0.46104
761,0.46121
762,0.46134
763,0.46143
764,0.46151
765,0.46153
766,0.46153
767,0.46152
768,0.46147
769,0.46144
770,0.46143
771,0.4614
772,0.46133
773,0.46127
774,0.46121
775,0.46115
776,0.46113
777,0.46111
778,0.46109
779,0.46108
780,0.46106
781,0.46105
782,0.46105
783,0.46106
784,0.46106
785,0.46105
786,0.46104
787,0.46106
788,0.46104
789,0.46102
790,0.46102
791,0.46102
792,0.461
793,0.46097
794,0.46097
795,0.46093
796,0.46087
797,0.46082
798,0.46076
799,0.46072
800,0.46067
801,0.46058
802,0.46048
803,0.46041
804,0.46035
805,0.46026
806,0.46017
807,0.46006
808,0.45992
809,0.45983
810,0.45974
811,0.45966
812,0.45956
813,0.45942
814,0.45928
815,0.45914
816,0.45902
817,0.45891
818,0.4588
819,0.45866
820,0.45853
821,0.45841
822,0.45829
823,0.45816
824,0.45806
825,0.45796
826,0.45783
827,0.45769
828,0.45758
829,0.45744
830,0.4573
