wl,value
360,0.0604
361,0.06001
362,0.06021
363,0.05987
364,0.05978
365,0.06054
366,0.0603
367,0.06034
368,0.0607
369,0.06063
370,0.06002
371,0.05964
372,0.05995
373,0.06078
374,0.06095
375,0.06075
376,0.0608
377,0.0606
378,0.06041
379,0.06041
380,0.0606
381,0.06044
382,0.06027
383,0.06033
384,0.06031
385,0.06049
386,0.06069
387,0.06063
388,0.06058
389,0.06074
390,0.06105
391,0.06116
392,0.06128
393,0.06123
394,0.06102
395,0.06135
396,0.06176
397,0.0619
398,0.06163
399,0.06157
400,0.0616
401,0.06173
402,0.06218
403,0.06204
404,0.06181
405,0.06207
406,0.06224
407,0.06244
408,0.06259
409,0.0625
410,0.06256
411,0.06285
412,0.06319
413,0.06307
414,0.06317
415,0.0634
416,0.06351
417,0.06388
418,0.06407
419,0.06403
420,0.06407
421,0.06426
422,0.06451
423,0.06471
424,0.06476
425,0.06482
426,0.06496
427,0.06519
428,0.0654
429,0.06555
430,0.06566
431,0.06576
432,0.06582
433,0.06588
434,0.06595
435,0.06602
436,0.06613
437,0.06624
438,0.06628
439,0.06634
440,0.06645
441,0.06661
442,0.06668
443,0.06675
444,0.06686
445,0.06701
446,0.06711
447,0.0672
448,0.06729
449,0.0674
450,0.0674
451,0.06744
452,0.06763
453,0.06773
454,0.06781
455,0.06789
456,0.06794
457,0.06796
458,0.06799
459,0.06804
460,0.06811
461,0.0682
462,0.06825
463,0.06826
464,0.06819
465,0.06811
466,0.06808
467,0.06811
468,0.06817
469,0.06819
470,0.06814
471,0.06822
472,0.06823
473,0.06817
474,0.06816
475,0.06815
476,0.06814
477,0.06811
478,0.0681
479,0.06809
480,0.06811
481,0.06819
482,0.06821
483,0.06822
484,0.06823
485,0.06822
486,0.0682
487,0.06825
488,0.06838
489,0.06839
490,0.06848
491,0.06861
492,0.06867
493,0.06877
494,0.06888
495,0.06898
496,0.06913
497,0.06932
498,0.0695
499,0.06963
500,0.06985
501,0.07007
502,0.07027
503,0.07055
504,0.0709
505,0.07122
506,0.07149
507,0.0719
508,0.07236
509,0.07283
510,0.07328
511,0.07383
512,0.07446
513,0.07517
514,0.07592
515,0.07672
516,0.07756
517,0.07845
518,0.07951
519,0.0806
520,0.08169
521,0.0829
522,0.0841
523,0.08531
524,0.08655
525,0.08774
526,0.08894
527,0.09011
528,0.09122
529,0.09227
530,0.09328
531,0.09421
532,0.09504
533,0.09582
534,0.09653
535,0.09717
536,0.09774
537,0.09823
538,0.09867
539,0.09909
540,0.09947
541,0.09982
542,0.10016
543,0.10049
544,0.10075
545,0.10095
546,0.10116
547,0.10135
548,0.1015
549,0.10161
550,0.10172
551,0.10177
552,0.10175
553,0.10166
554,0.10152
555,0.10129
556,0.10096
557,0.10056
558,0.10006
559,0.09953
560,0.09897
561,0.09837
562,0.09774
563,0.09705
564,0.09627
565,0.0955
566,0.09471
567,0.09386
568,0.09301
569,0.09214
570,0.09127
571,0.09041
572,0.08958
573,0.08878
574,0.08804
575,0.0874
576,0.08681
577,0.08626
578,0.08575
579,0.08528
580,0.08484
581,0.08441
582,0.08399
583,0.08356
584,0.08317
585,0.08283
586,0.0825
587,0.08218
588,0.08189
589,0.08164
590,0.08145
591,0.08129
592,0.08112
593,0.08096
594,0.08079
595,0.08065
596,0.08056
597,0.08046
598,0.08035
599,0.08023
600,0.0801
601,0.07992
602,0.07972
603,0.0795
604,0.07922
605,0.07897
606,0.07871
607,0.07839
608,0.07808
609,0.07772
610,0.07735
611,0.07701
612,0.07668
613,0.07633
614,0.07597
615,0.07564
616,0.07534
617,0.07504
618,0.07471
619,0.07447
620,0.07426
621,0.07405
622,0.07384
623,0.07367
624,0.07354
625,0.07342
626,0.07331
627,0.07322
628,0.07317
629,0.07313
630,0.07307
631,0.07299
632,0.07293
633,0.07287
634,0.07274
635,0.07257
636,0.0724
637,0.07219
638,0.07196
639,0.0717
640,0.0714
641,0.0711
642,0.0708
643,0.07049
644,0.07016
645,0.06986
646,0.06958
647,0.0693
648,0.06902
649,0.06881
650,0.06866
651,0.06852
652,0.06843
653,0.06835
654,0.06824
655,0.06813
656,0.06802
657,0.0679
658,0.06776
659,0.0676
660,0.06744
661,0.06728
662,0.06712
663,0.06698
664,0.06686
665,0.06676
666,0.06674
667,0.06673
668,0.06674
669,0.06679
670,0.0669
671,0.06707
672,0.06729
673,0.06753
674,0.06779
675,0.06809
676,0.06844
677,0.06882
678,0.06927
679,0.06977
680,0.07028
681,0.07084
682,0.07144
683,0.07208
684,0.0727
685,0.07333
686,0.07397
687,0.07467
688,0.07543
689,0.07631
690,0.07735
691,0.07862
692,0.08022
693,0.08217
694,0.08451
695,0.08734
696,0.09067
697,0.09452
698,0.09893
699,0.10385
700,0.10924
701,0.11508
702,0.12134
703,0.12801
704,0.135
705,0.14226
706,0.14978
707,0.15753
708,0.16549
709,0.17363
710,0.18192
711,0.19039
712,0.19901
713,0.20777
714,0.21662
715,0.22556
716,0.23453
717,0.24356
718,0.25259
719,0.26161
720,0.27058
721,0.27942
722,0.28814
723,0.2967
724,0.3051
725,0.31329
726,0.32122
727,0.32887
728,0.33626
729,0.34335
730,0.35013
731,0.35662
732,0.36278
733,0.36862
734,0.37413
735,0.37932
736,0.38418
737,0.38874
738,0.39302
739,0.39701
740,0.4007
741,0.40409
742,0.40724
743,0.41015
744,0.41278
745,0.41516
746,0.41728
747,0.41921
748,0.42093
749,0.42245
750,0.42381
751,0.42505
752,0.42616
753,0.42712
754,0.42797
755,0.42874
756,0.42942
757,0.43002
758,0.43056
759,0.43103
760,0.43142
761,0.43177
762,0.43206
763,0.43232
764,0.43255
765,0.4327
766,0.43283
767,0.43293
768,0.43299
769,0.43308
770,0.43316
771,0.43319
772,0.4332
773,0.43322
774,0.43325
775,0.43327
776,0.43328
777,0.43329
778,0.43332
779,0.43334
780,0.43337
781,0.4334
782,0.43344
783,0.43347
784,0.43349
785,0.43351
786,0.43353
787,0.43354
788,0.43353
789,0.43352
790,0.43352
791,0.43352
792,0.43349
793,0.43345
794,0.43346
795,0.43345
796,0.4334
797,0.43332
798,0.43326
799,0.4332
800,0.43313
801,0.43305
802,0.43295
803,0.43287
804,0.4328
805,0.43271
806,0.43263
807,0.4325
808,0.43234
809,0.43222
810,0.43213
811,0.43203
812,0.43193
813,0.43178
814,0.43158
815,0.43139
816,0.43127
817,0.43116
818,0.43101
819,0.43085
820,0.43068
821,0.43052
822,0.43037
823,0.43023
824,0.43008
825,0.42994
826,0.42978
827,0.42961
828,0.42947
829,0.42931
830,0.42914
