wl,value
360,0.12113
361,0.12381
362,0.12241
363,0.12117
364,0.12044
365,0.12001
366,0.12138
367,0.12241
368,0.12214
369,0.1207
370,0.12057
371,0.12085
372,0.12073
373,0.1205
374,0.11908
375,0.11799
376,0.11878
377,0.11912
378,0.1194
379,0.12
380,0.12101
381,0.11979
382,0.11808
383,0.11758
384,0.11835
385,0.11916
386,0.11929
387,0.11858
388,0.1185
389,0.1191
390,0.11975
391,0.11932
392,0.11914
393,0.11927
394,0.11939
395,0.11906
396,0.11828
397,0.11795
398,0.11894
399,0.11899
400,0.11851
401,0.118
402,0.11779
403,0.11808
404,0.11818
405,0.11765
406,0.11771
407,0.11769
408,0.11764
409,0.11804
410,0.11809
411,0.118
412,0.11805
413,0.11836
414,0.11867
415,0.11885
416,0.11888
417,0.11871
418,0.11864
419,0.11863
420,0.1184
421,0.11858
422,0.11876
423,0.11862
424,0.11842
425,0.11838
426,0.11843
427,0.1184
428,0.11841
429,0.11826
430,0.11798
431,0.11791
432,0.11757
433,0.11713
434,0.11686
435,0.11667
436,0.11666
437,0.1168
438,0.117
439,0.11747
440,0.11777
441,0.11766
442,0.11766
443,0.11761
444,0.11765
445,0.11788
446,0.11765
447,0.11752
448,0.11767
449,0.11769
450,0.11773
451,0.11787
452,0.11804
453,0.11775
454,0.11764
455,0.11779
456,0.11791
457,0.11789
458,0.11789
459,0.11797
460,0.11784
461,0.11785
462,0.11796
463,0.11795
464,0.11774
465,0.11763
466,0.11767
467,0.11766
468,0.11762
469,0.11755
470,0.1175
471,0.11754
472,0.11744
473,0.11728
474,0.11733
475,0.11736
476,0.11736
477,0.11734
478,0.11722
479,0.11726
480,0.11732
481,0.11722
482,0.11706
483,0.11702
484,0.11702
485,0.11684
486,0.1168
487,0.11684
488,0.11689
489,0.11706
490,0.11713
491,0.11711
492,0.11713
493,0.11734
494,0.11754
495,0.11759
496,0.11757
497,0.1177
498,0.11792
499,0.11814
500,0.11835
501,0.11855
502,0.11875
503,0.11896
504,0.11925
505,0.11959
506,0.11996
507,0.12048
508,0.12096
509,0.12146
510,0.1221
511,0.12281
512,0.12366
513,0.12463
514,0.12557
515,0.12676
516,0.12814
517,0.12957
518,0.13108
519,0.13269
520,0.13442
521,0.13622
522,0.1381
523,0.13998
524,0.14182
525,0.14367
526,0.14553
527,0.14728
528,0.14882
529,0.15036
530,0.1518
531,0.1531
532,0.15422
533,0.15524
534,0.15617
535,0.15699
536,0.15776
537,0.15831
538,0.15868
539,0.15905
540,0.15924
541,0.15929
542,0.15928
543,0.15937
544,0.15956
545,0.15988
546,0.16038
547,0.16114
548,0.16185
549,0.1623
550,0.1625
551,0.16262
552,0.16271
553,0.16274
554,0.1626
555,0.16226
556,0.16175
557,0.16116
558,0.16047
559,0.15964
560,0.15868
561,0.15764
562,0.15654
563,0.15538
564,0.15414
565,0.15285
566,0.15156
567,0.15028
568,0.14887
569,0.14743
570,0.14599
571,0.14457
572,0.14322
573,0.14202
574,0.14097
575,0.13999
576,0.13899
577,0.13812
578,0.13745
579,0.13672
580,0.13602
581,0.13539
582,0.13485
583,0.1342
584,0.13359
585,0.13307
586,0.13254
587,0.132
588,0.13153
589,0.13118
590,0.13087
591,0.13064
592,0.13047
593,0.13034
594,0.13016
595,0.13006
596,0.13005
597,0.12994
598,0.12973
599,0.1295
600,0.12936
601,0.12925
602,0.12911
603,0.12888
604,0.12856
605,0.12825
606,0.12796
607,0.12763
608,0.1272
609,0.12656
610,0.12567
611,0.12464
612,0.12435
613,0.12443
614,0.1245
615,0.12431
616,0.12413
617,0.12394
618,0.12371
619,0.12343
620,0.12318
621,0.12298
622,0.12284
623,0.12268
624,0.12254
625,0.12243
626,0.12234
627,0.12226
628,0.1222
629,0.12215
630,0.12204
631,0.12193
632,0.12185
633,0.12184
634,0.12177
635,0.1216
636,0.12138
637,0.1212
638,0.12098
639,0.12071
640,0.1204
641,0.12009
642,0.1198
643,0.11953
644,0.11921
645,0.11894
646,0.1187
647,0.11848
648,0.11839
649,0.11825
650,0.11806
651,0.11794
652,0.11791
653,0.11791
654,0.11788
655,0.11781
656,0.11776
657,0.11772
658,0.11768
659,0.11761
660,0.11756
661,0.11753
662,0.11745
663,0.11746
664,0.11753
665,0.11758
666,0.11757
667,0.11767
668,0.11784
669,0.11797
670,0.11812
671,0.11833
672,0.11858
673,0.11878
674,0.11902
675,0.11932
676,0.11964
677,0.11992
678,0.12026
679,0.12067
680,0.12106
681,0.12146
682,0.1219
683,0.12234
684,0.12272
685,0.12313
686,0.12356
687,0.12401
688,0.12448
689,0.12511
690,0.12596
691,0.127
692,0.1284
693,0.13028
694,0.13274
695,0.13585
696,0.13969
697,0.14435
698,0.14989
