wl,value
360,0.04992
361,0.05046
362,0.05103
363,0.05013
364,0.0492
365,0.04968
366,0.04993
367,0.0497
368,0.04931
369,0.04941
370,0.04971
371,0.04991
372,0.04991
373,0.04998
374,0.04971
375,0.04941
376,0.04953
377,0.05
378,0.04996
379,0.04963
380,0.05009
381,0.04995
382,0.04979
383,0.05008
384,0.05047
385,0.05026
386,0.0498
387,0.04978
388,0.05014
389,0.05024
390,0.05002
391,0.05003
392,0.05005
393,0.05023
394,0.05056
395,0.05039
396,0.05024
397,0.05024
398,0.05031
399,0.05056
400,0.05083
401,0.05096
402,0.05072
403,0.05078
404,0.05095
405,0.05095
406,0.05106
407,0.05106
408,0.0511
409,0.05144
410,0.05157
411,0.05154
412,0.05148
413,0.05153
414,0.05162
415,0.05171
416,0.0518
417,0.0519
418,0.05205
419,0.05216
420,0.05206
421,0.05212
422,0.05224
423,0.05231
424,0.05232
425,0.05234
426,0.05242
427,0.05257
428,0.0526
429,0.05261
430,0.05264
431,0.0527
432,0.05281
433,0.05293
434,0.053
435,0.05296
436,0.05296
437,0.05305
438,0.05319
439,0.05319
440,0.05315
441,0.05318
442,0.05321
443,0.05325
444,0.05328
445,0.0533
446,0.05336
447,0.05342
448,0.05349
449,0.05351
450,0.05353
451,0.05355
452,0.05358
453,0.05362
454,0.05367
455,0.05374
456,0.05381
457,0.05379
458,0.05378
459,0.05383
460,0.05382
461,0.05386
462,0.0539
463,0.05387
464,0.05388
465,0.05386
466,0.05383
467,0.05392
468,0.05394
469,0.05393
470,0.05396
471,0.05402
472,0.05403
473,0.05403
474,0.05411
475,0.0541
476,0.05406
477,0.05406
478,0.05413
479,0.05417
480,0.05421
481,0.05429
482,0.05426
483,0.05429
484,0.05439
485,0.05441
486,0.05445
487,0.0545
488,0.05452
489,0.05456
490,0.0546
491,0.05466
492,0.05475
493,0.05476
494,0.0548
495,0.05489
496,0.05494
497,0.05501
498,0.05509
499,0.05517
500,0.0553
501,0.0554
502,0.05548
503,0.05563
504,0.05576
505,0.05589
506,0.05605
507,0.05623
508,0.0565
509,0.05679
510,0.05703
511,0.05731
512,0.05767
513,0.05811
514,0.05857
515,0.05902
516,0.05952
517,0.0601
518,0.06069
519,0.06129
520,0.06192
521,0.0626
522,0.06333
523,0.06407
524,0.06478
525,0.06547
526,0.06617
527,0.06688
528,0.06755
529,0.0682
530,0.06881
531,0.06937
532,0.06995
533,0.07049
534,0.07097
535,0.07141
536,0.07182
537,0.07223
538,0.07266
539,0.07303
540,0.07345
541,0.07391
542,0.07436
543,0.07473
544,0.07503
545,0.0753
546,0.07552
547,0.07567
548,0.07582
549,0.07601
550,0.07624
551,0.07643
552,0.07659
553,0.07673
554,0.0768
555,0.07683
556,0.07682
557,0.07677
558,0.0767
559,0.07658
560,0.0764
561,0.07621
562,0.07597
563,0.07568
564,0.07538
565,0.07505
566,0.0747
567,0.07433
568,0.07391
569,0.07349
570,0.07308
571,0.07269
572,0.07238
573,0.07209
574,0.0718
575,0.07153
576,0.07132
577,0.07112
578,0.07092
579,0.07075
580,0.07059
581,0.07045
582,0.07033
583,0.07022
584,0.07014
585,0.07008
586,0.07001
587,0.06991
588,0.06982
589,0.06978
590,0.0698
591,0.06983
592,0.06986
593,0.0699
594,0.06995
595,0.07001
596,0.07007
597,0.0701
598,0.07013
599,0.07017
600,0.07018
601,0.0702
602,0.07022
603,0.07024
604,0.07024
605,0.0702
606,0.07016
607,0.07012
608,0.07008
609,0.07009
610,0.07015
611,0.07023
612,0.07014
613,0.06997
614,0.0698
615,0.06968
616,0.06957
617,0.06949
618,0.06943
619,0.06942
620,0.06941
621,0.06941
622,0.0694
623,0.06941
624,0.06945
625,0.06953
626,0.06957
627,0.06965
628,0.06975
629,0.06984
630,0.06996
631,0.07005
632,0.07011
633,0.07015
634,0.07017
635,0.07016
636,0.07013
637,0.07003
638,0.06992
639,0.0698
640,0.06966
641,0.06949
642,0.0693
643,0.06912
644,0.06896
645,0.0688
646,0.06866
647,0.06855
648,0.06847
649,0.06843
650,0.06841
651,0.06839
652,0.06842
653,0.06846
654,0.0685
655,0.06854
656,0.06857
657,0.06859
658,0.06861
659,0.06859
660,0.06857
661,0.06856
662,0.06854
663,0.06853
664,0.06853
665,0.06857
666,0.06861
667,0.06867
668,0.06875
669,0.06887
670,0.06901
671,0.06919
672,0.0694
673,0.06958
674,0.0698
675,0.07007
676,0.07036
677,0.07069
678,0.07102
679,0.07136
680,0.07174
681,0.07216
682,0.07262
683,0.07314
684,0.07374
685,0.07438
686,0.07507
687,0.07585
688,0.07679
689,0.07787
690,0.07914
691,0.08067
692,0.08253
693,0.08475
694,0.08739
695,0.09052
696,0.09415
697,0.09831
698,0.10298
699,0.1081
700,0.11368
701,0.11966
702,0.12596
703,0.13254
704,0.13932
705,0.14624
706,0.15329
707,0.16043
708,0.16759
709,0.17474
710,0.18193
711,0.18915
712,0.19637
713,0.20358
714,0.21073
715,0.21785
716,0.22495
717,0.23201
718,0.23901
719,0.24595
720,0.25283
721,0.25961
722,0.26628
723,0.27283
724,0.27924
725,0.28548
726,0.29156
727,0.29746
728,0.30315
729,0.30865
730,0.31396
731,0.31905
732,0.32394
