wl,value
360,0.08473
361,0.08589
362,0.08518
363,0.08419
364,0.0839
365,0.08455
366,0.08444
367,0.08448
368,0.08468
369,0.08449
370,0.08429
371,0.08372
372,0.08286
373,0.08284
374,0.08312
375,0.08348
376,0.08375
377,0.08367
378,0.08359
379,0.08363
380,0.08365
381,0.08384
382,0.08386
383,0.08362
384,0.08374
385,0.08377
386,0.08396
387,0.08457
388,0.08476
389,0.08446
390,0.08417
391,0.08479
392,0.08516
393,0.08519
394,0.08515
395,0.08556
396,0.08591
397,0.08602
398,0.08601
399,0.08627
400,0.08676
401,0.08728
402,0.08755
403,0.08785
404,0.08836
405,0.08905
406,0.08958
407,0.09015
408,0.09073
409,0.09117
410,0.092
411,0.09275
412,0.09321
413,0.09387
414,0.09453
415,0.0951
416,0.09563
417,0.09639
418,0.09707
419,0.0976
420,0.09817
421,0.09864
422,0.09907
423,0.09953
424,0.09997
425,0.10042
426,0.10084
427,0.10116
428,0.10152
429,0.10187
430,0.10213
431,0.10218
432,0.10229
433,0.10242
434,0.10251
435,0.10267
436,0.10287
437,0.10315
438,0.10351
439,0.10385
440,0.10416
441,0.1045
442,0.10492
443,0.10528
444,0.10559
445,0.10588
446,0.10612
447,0.10637
448,0.10667
449,0.10696
450,0.10716
451,0.10737
452,0.10764
453,0.10786
454,0.10805
455,0.1082
456,0.1083
457,0.10844
458,0.10857
459,0.10865
460,0.10864
461,0.10871
462,0.10881
463,0.10883
464,0.10888
465,0.10891
466,0.1089
467,0.10891
468,0.10898
469,0.10902
470,0.10897
471,0.10902
472,0.10907
473,0.1091
474,0.10911
475,0.10914
476,0.10919
477,0.10927
478,0.10938
479,0.10941
480,0.10935
481,0.10926
482,0.10932
483,0.10939
484,0.1094
485,0.10938
486,0.10942
487,0.10949
488,0.10956
489,0.10965
490,0.10982
491,0.11005
492,0.11028
493,0.11052
494,0.11078
495,0.11107
496,0.11137
497,0.11172
498,0.11209
499,0.11244
500,0.11279
501,0.11318
502,0.11361
503,0.11403
504,0.11448
505,0.11497
506,0.11549
507,0.116
508,0.11662
509,0.11731
510,0.11802
511,0.11878
512,0.11963
513,0.12059
514,0.1216
515,0.12271
516,0.12392
517,0.1252
518,0.12659
519,0.12804
520,0.12958
521,0.13122
522,0.1329
523,0.13455
524,0.13616
525,0.13784
526,0.13948
527,0.14103
528,0.14249
529,0.14387
530,0.14516
531,0.14633
532,0.14736
533,0.14834
534,0.14922
535,0.14995
536,0.15055
537,0.15104
538,0.15143
539,0.15168
540,0.15172
541,0.15163
542,0.15152
543,0.15147
544,0.15157
545,0.15185
546,0.15229
547,0.15283
548,0.15332
549,0.15368
550,0.15389
551,0.15401
552,0.15407
553,0.15406
554,0.15395
555,0.15372
556,0.15333
557,0.15275
558,0.15208
559,0.1513
560,0.1504
561,0.14944
562,0.14842
563,0.14735
564,0.14625
565,0.14515
566,0.14399
567,0.14276
568,0.14151
569,0.14026
570,0.13906
571,0.13797
572,0.13695
573,0.13604
574,0.13521
575,0.13442
576,0.1337
577,0.13302
578,0.13238
579,0.13174
580,0.13115
581,0.13062
582,0.13014
583,0.12971
584,0.12929
585,0.12889
586,0.12853
587,0.1281
588,0.12766
589,0.12726
590,0.1269
591,0.12658
592,0.12631
593,0.12612
594,0.12601
595,0.12597
596,0.12595
597,0.12587
598,0.12574
599,0.12559
600,0.12546
601,0.12536
602,0.12522
603,0.12501
604,0.12477
605,0.12447
606,0.1241
607,0.12368
608,0.12327
609,0.12269
610,0.12187
611,0.12089
612,0.12048
613,0.12046
614,0.12052
615,0.12031
616,0.12008
617,0.11984
618,0.11956
619,0.11927
620,0.11901
621,0.1188
622,0.11863
623,0.1185
624,0.11839
625,0.11829
626,0.11825
627,0.11818
628,0.11811
629,0.11806
630,0.11797
631,0.11789
632,0.11784
633,0.11779
634,0.11769
635,0.11754
636,0.11734
637,0.11707
638,0.1168
639,0.11654
640,0.11626
641,0.11596
642,0.11565
643,0.11535
644,0.11504
645,0.11477
646,0.11452
647,0.11427
648,0.11404
649,0.11385
650,0.11371
651,0.11361
652,0.11355
653,0.11348
654,0.1134
655,0.11336
656,0.11331
657,0.11322
658,0.11308
659,0.11297
660,0.11284
661,0.11269
662,0.11255
663,0.11242
664,0.1123
665,0.11219
666,0.11211
667,0.11207
668,0.11208
669,0.11217
670,0.11228
671,0.11244
672,0.11264
673,0.1129
674,0.11323
675,0.11361
676,0.11401
677,0.11446
678,0.11497
679,0.11557
680,0.11627
681,0.11702
682,0.11783
683,0.1187
684,0.11961
685,0.12054
686,0.12147
687,0.12239
688,0.12336
689,0.12442
690,0.12562
691,0.12705
692,0.12882
693,0.13105
694,0.13383
695,0.13727
696,0.14142
697,0.14633
698,0.152
699,0.15839
700,0.16544
701,0.17311
702,0.18132
703,0.18996
704,0.19897
705,0.20829
706,0.21787
707,0.22767
708,0.23769
709,0.24794
710,0.25839
711,0.26903
712,0.27983
713,0.29077
714,0.30188
715,0.3131
716,0.32437
717,0.33577
718,0.3472
719,0.35862
720,0.37
721,0.38132
722,0.39255
723,0.40365
724,0.41455
725,0.42519
726,0.43556
727,0.44566
728,0.45543
729,0.46486
730,0.47392
731,0.48257
732,0.49086
733,0.49878
734,0.50629
735,0.51338
736,0.52011
737,0.52646
738,0.5324
739,0.53797
740,0.54316
741,0.54798
742,0.55245
743,0.55658
744,0.56035
745,0.56378
746,0.5669
747,0.56973
748,0.57229
749,0.57459
750,0.57665
751,0.57853
752,0.58021
753,0.58168
754,0.58299
755,0.58417
756,0.58523
757,0.58614
758,0.58697
