wl,value
360,0.12259
361,0.12945
362,0.12692
363,0.12839
364,0.13029
365,0.12764
366,0.12627
367,0.1233
368,0.11991
369,0.12028
370,0.12543
371,0.13012
372,0.13028
373,0.12374
374,0.12325
375,0.12648
376,0.12736
377,0.12804
378,0.12748
379,0.12712
380,0.12993
381,0.12778
382,0.12261
383,0.1187
384,0.12167
385,0.12219
386,0.12238
387,0.12641
388,0.12459
389,0.12308
390,0.12378
391,0.12332
392,0.12095
393,0.12017
394,0.12315
395,0.12696
396,0.12787
397,0.12565
398,0.1224
399,0.12198
400,0.12334
401,0.12456
402,0.12328
403,0.12497
404,0.12669
405,0.12515
406,0.12261
407,0.12242
408,0.12351
409,0.12242
410,0.12411
411,0.12524
412,0.124
413,0.12282
414,0.12354
415,0.12383
416,0.12157
417,0.1229
418,0.12425
419,0.12359
420,0.12095
421,0.12094
422,0.12288
423,0.12494
424,0.12542
425,0.12458
426,0.12346
427,0.12328
428,0.12336
429,0.12327
430,0.12284
431,0.12226
432,0.12166
433,0.12188
434,0.123
435,0.12163
436,0.12056
437,0.12086
438,0.12208
439,0.12265
440,0.12286
441,0.12296
442,0.12214
443,0.12234
444,0.12323
445,0.12367
446,0.1238
447,0.12351
448,0.12311
449,0.12341
450,0.12344
451,0.12311
452,0.12279
453,0.12376
454,0.12406
455,0.12358
456,0.12337
457,0.12297
458,0.12298
459,0.12341
460,0.12305
461,0.12334
462,0.12382
463,0.12362
464,0.12313
465,0.12298
466,0.12321
467,0.12319
468,0.123
469,0.12308
470,0.12342
471,0.12231
472,0.12311
473,0.12457
474,0.12347
475,0.12316
476,0.12341
477,0.12369
478,0.1235
479,0.12358
480,0.12368
481,0.12341
482,0.12333
483,0.12314
484,0.12288
485,0.12289
486,0.1229
487,0.1228
488,0.12258
489,0.1222
490,0.12257
491,0.12308
492,0.12262
493,0.12242
494,0.12288
495,0.12355
496,0.12289
497,0.12284
498,0.12341
499,0.12397
500,0.12367
501,0.12372
502,0.12417
503,0.12412
504,0.12387
505,0.12395
506,0.12454
507,0.12481
508,0.12534
509,0.12575
510,0.12551
511,0.12579
512,0.12617
513,0.12648
514,0.12718
515,0.1277
516,0.12855
517,0.13006
518,0.13057
519,0.13099
520,0.13179
521,0.13299
522,0.13416
523,0.13528
524,0.1364
525,0.13737
526,0.13831
527,0.13922
528,0.14012
529,0.14149
530,0.14271
531,0.14351
532,0.14418
533,0.14501
534,0.14579
535,0.14626
536,0.14636
537,0.14659
538,0.14702
539,0.14731
540,0.14706
541,0.14652
542,0.14601
543,0.14571
544,0.14563
545,0.14595
546,0.14676
547,0.14742
548,0.14811
549,0.1487
550,0.14871
551,0.14875
552,0.14879
553,0.14873
554,0.1489
555,0.14875
556,0.14834
557,0.14811
558,0.14725
559,0.14646
560,0.1461
561,0.14537
562,0.14486
563,0.14427
564,0.14314
565,0.14247
566,0.14193
567,0.14122
568,0.14023
569,0.13928
570,0.13835
571,0.13742
572,0.13658
573,0.13579
574,0.13507
575,0.13447
576,0.13403
577,0.13374
578,0.1335
579,0.1331
580,0.13264
581,0.13217
582,0.13172
583,0.13137
584,0.13112
585,0.13087
586,0.13042
587,0.12989
588,0.12963
589,0.12974
590,0.12953
591,0.12942
592,0.1295
593,0.12962
594,0.1297
595,0.12952
596,0.12915
597,0.12915
598,0.12914
599,0.12905
600,0.1289
601,0.12845
602,0.12821
603,0.12821
604,0.12801
605,0.12792
606,0.12781
607,0.12756
608,0.12735
609,0.1266
610,0.1254
611,0.12429
612,0.12406
613,0.12454
614,0.12523
615,0.12522
616,0.1253
617,0.12532
618,0.12506
619,0.12495
620,0.12487
621,0.12466
622,0.12425
623,0.12419
624,0.12438
625,0.12459
626,0.12462
627,0.12456
628,0.12451
629,0.12452
630,0.12467
631,0.12465
632,0.12452
633,0.12477
634,0.1247
635,0.12449
636,0.12443
637,0.1245
638,0.12456
639,0.1245
640,0.12424
641,0.12441
642,0.12449
643,0.12426
644,0.12419
645,0.12408
646,0.12403
647,0.12415
648,0.12415
649,0.12407
650,0.12398
651,0.12389
652,0.12385
653,0.12399
654,0.12425
655,0.12423
656,0.12418
657,0.12425
658,0.1245
659,0.12433
660,0.12419
661,0.12422
662,0.12418
663,0.12428
664,0.12438
665,0.12436
666,0.12451
667,0.1244
668,0.12427
669,0.12456
670,0.12474
671,0.12482
672,0.12488
673,0.12506
674,0.12522
675,0.12547
676,0.12586
677,0.12578
678,0.12582
679,0.12618
680,0.12675
681,0.12719
682,0.12748
683,0.1277
684,0.12797
685,0.12812
686,0.12832
687,0.12877
688,0.12922
689,0.12948
690,0.12968
691,0.13015
692,0.13064
693,0.13158
694,0.13319
695,0.13496
696,0.13709
697,0.13987
698,0.14345
699,0.14746
700,0.15226
701,0.1579
702,0.16417
703,0.17084
704,0.17798
705,0.18564
706,0.19365
707,0.20227
708,0.2114
709,0.22084
710,0.23046
711,0.24052
712,0.2511
713,0.26219
714,0.27331
715,0.2846
716,0.29627
717,0.30847
718,0.32083
719,0.33331
720,0.34602
721,0.35874
722,0.37158
723,0.38455
724,0.39752
725,0.41049
726,0.42326
727,0.43565
728,0.44764
729,0.45955
730,0.4712
731,0.48227
732,0.49309
733,0.50359
734,0.51363
735,0.52305
736,0.53187
737,0.54042
738,0.54879
739,0.55629
740,0.56345
741,0.57032
742,0.57674
743,0.5825
744,0.5878
745,0.5928
746,0.59757
747,0.60158
748,0.60529
749,0.60895
750,0.61197
751,0.61502
752,0.61793
753,0.62031
754,0.62205
755,0.62384
756,0.62574
757,0.62729
758,0.62881
759,0.63022
760,0.63138
761,0.63216
762,0.63274
763,0.63346
764,0.63445
765,0.63507
766,0.6353
767,0.63561
768,0.63658
769,0.63667
770,0.63662
771,0.63684
772,0.63687
773,0.63702
774,0.63741
775,0.63787
776,0.63753
777,0.63744
778,0.63763
779,0.63765
780,0.63779
781,0.63786
782,0.63775
783,0.63756
784,0.63764
785,0.63763
786,0.63737
787,0.63751
788,0.63765
789,0.6376
790,0.63736
791,0.6373
792,0.63729
793,0.63732
794,0.6374
795,0.63718
796,0.63681
797,0.63655
798,0.6366
799,0.63681
800,0.63684
801,0.63657
802,0.6366
803,0.6365
804,0.63629
805,0.63615
806,0.63584
807,0.63582
808,0.63597
809,0.63573
810,0.63581
811,0.6358
812,0.63549
813,0.6352
814,0.63506
815,0.63512
816,0.63532
817,0.6354
818,0.63524
819,0.63491
820,0.63462
821,0.63483
822,0.63509
823,0.63516
824,0.635
825,0.63471
826,0.63453
827,0.63453
828,0.63449
829,0.63469
830,0.63495
