wl,value
360,0.11509
361,0.11499
362,0.11463
363,0.11417
364,0.11402
365,0.1143
366,0.11403
367,0.11344
368,0.11296
369,0.11306
370,0.11325
371,0.113
372,0.11247
373,0.11306
374,0.11366
375,0.1135
376,0.11239
377,0.11223
378,0.11233
379,0.11233
380,0.11225
381,0.11236
382,0.11232
383,0.112
384,0.11198
385,0.11195
386,0.11179
387,0.11152
388,0.11149
389,0.1112
390,0.11076
391,0.11095
392,0.11123
393,0.11125
394,0.11095
395,0.11078
396,0.11066
397,0.1106
398,0.1106
399,0.11048
400,0.11032
401,0.11021
402,0.11017
403,0.11019
404,0.1102
405,0.11018
406,0.11011
407,0.11014
408,0.11021
409,0.11014
410,0.11028
411,0.11035
412,0.11026
413,0.11029
414,0.11035
415,0.11042
416,0.11053
417,0.11052
418,0.11062
419,0.11084
420,0.11095
421,0.11092
422,0.1109
423,0.11097
424,0.11099
425,0.11099
426,0.11101
427,0.11106
428,0.11111
429,0.11109
430,0.11094
431,0.11064
432,0.11027
433,0.10995
434,0.10976
435,0.10965
436,0.10963
437,0.10975
438,0.11005
439,0.11048
440,0.11094
441,0.11135
442,0.11157
443,0.11169
444,0.11181
445,0.11196
446,0.11189
447,0.11186
448,0.11196
449,0.11201
450,0.11205
451,0.11208
452,0.11209
453,0.11214
454,0.11221
455,0.11227
456,0.11231
457,0.11228
458,0.11227
459,0.11231
460,0.11231
461,0.11236
462,0.11239
463,0.11233
464,0.11234
465,0.11239
466,0.11243
467,0.11243
468,0.11247
469,0.11249
470,0.11246
471,0.11245
472,0.11248
473,0.11252
474,0.11257
475,0.11261
476,0.11265
477,0.11267
478,0.11265
479,0.11262
480,0.11257
481,0.11252
482,0.11245
483,0.11232
484,0.11214
485,0.1119
486,0.11174
487,0.11168
488,0.11169
489,0.11176
490,0.11184
491,0.11196
492,0.11215
493,0.11226
494,0.11239
495,0.11256
496,0.11265
497,0.1128
498,0.11305
499,0.11333
500,0.11351
501,0.11366
502,0.11387
503,0.11417
504,0.11446
505,0.11473
506,0.11502
507,0.11536
508,0.11571
509,0.1161
510,0.11657
511,0.11712
512,0.11772
513,0.11838
514,0.11911
515,0.11996
516,0.12089
517,0.12183
518,0.12294
519,0.12411
520,0.12531
521,0.12658
522,0.1279
523,0.12926
524,0.13063
525,0.13198
526,0.13326
527,0.13449
528,0.13569
529,0.1368
530,0.1378
531,0.13871
532,0.13959
533,0.14035
534,0.14098
535,0.14153
536,0.14198
537,0.14231
538,0.14248
539,0.14246
540,0.14208
541,0.14141
542,0.14064
543,0.14015
544,0.14011
545,0.14054
546,0.14132
547,0.14229
548,0.14313
549,0.1437
550,0.14397
551,0.14414
552,0.14424
553,0.14428
554,0.14431
555,0.14422
556,0.14397
557,0.14354
558,0.14298
559,0.14232
560,0.14159
561,0.1408
562,0.13994
563,0.13905
564,0.13816
565,0.13725
