wl,value
360,0.05675
361,0.06141
362,0.05932
363,0.06005
364,0.06183
365,0.06131
366,0.06065
367,0.05648
368,0.05176
369,0.0535
370,0.05807
371,0.06356
372,0.06652
373,0.05843
374,0.05753
375,0.06111
376,0.06154
377,0.06301
378,0.0641
379,0.06491
380,0.06654
381,0.0618
382,0.05615
383,0.05452
384,0.05576
385,0.05577
386,0.05634
387,0.05986
388,0.05824
389,0.05758
390,0.059
391,0.05777
392,0.05533
393,0.05547
394,0.05944
395,0.06124
396,0.06171
397,0.06028
398,0.05667
399,0.05657
400,0.05845
401,0.06
402,0.05883
403,0.06039
404,0.06158
405,0.05936
406,0.05819
407,0.05842
408,0.05884
409,0.0577
410,0.05887
411,0.06016
412,0.06019
413,0.06029
414,0.06107
415,0.0608
416,0.05842
417,0.05986
418,0.06152
419,0.06129
420,0.05902
421,0.05882
422,0.06024
423,0.06188
424,0.06281
425,0.06198
426,0.0608
427,0.06139
428,0.06179
429,0.06158
430,0.06096
431,0.06068
432,0.06065
433,0.06136
434,0.0626
435,0.0612
436,0.06025
437,0.06071
438,0.06169
439,0.06165
440,0.06147
441,0.06168
442,0.06097
443,0.06072
444,0.06108
445,0.06169
446,0.06225
447,0.06233
448,0.06207
449,0.06224
450,0.06199
451,0.06166
452,0.0618
453,0.06284
454,0.06313
455,0.06263
456,0.0623
457,0.06181
458,0.06194
459,0.06273
460,0.0625
461,0.06285
462,0.06326
463,0.06284
464,0.06268
465,0.06258
466,0.06251
467,0.06269
468,0.06258
469,0.06249
470,0.06251
471,0.06136
472,0.06218
473,0.06371
474,0.06278
475,0.06235
476,0.06258
477,0.06305
478,0.0628
479,0.06281
480,0.06284
481,0.06252
482,0.06289
483,0.06256
484,0.06184
485,0.06241
486,0.06245
487,0.0623
488,0.06237
489,0.0621
490,0.06253
491,0.06317
492,0.063
493,0.06261
494,0.06299
495,0.0639
496,0.06324
497,0.06346
498,0.06418
499,0.06443
500,0.06443
501,0.06482
502,0.06547
503,0.0656
504,0.06561
505,0.06599
506,0.06689
507,0.0676
508,0.0685
509,0.06935
510,0.06979
511,0.0707
512,0.07176
513,0.07282
514,0.07418
515,0.07548
516,0.07729
517,0.07987
518,0.08138
519,0.0827
520,0.08439
521,0.08668
522,0.08914
523,0.0914
524,0.09338
525,0.09558
526,0.09751
527,0.0993
528,0.10123
529,0.10323
530,0.10509
531,0.10677
532,0.10841
533,0.10979
534,0.11096
535,0.11199
536,0.11256
537,0.11333
538,0.11434
539,0.11516
540,0.11578
541,0.11638
542,0.117
543,0.11743
544,0.11774
545,0.11808
546,0.11853
547,0.1185
548,0.11861
549,0.11901
550,0.11915
551,0.11925
552,0.11923
553,0.11903
554,0.11895
555,0.11862
556,0.11806
557,0.11754
558,0.11652
559,0.11549
560,0.11469
561,0.11357
562,0.11258
563,0.11142
564,0.1097
565,0.10841
566,0.10731
567,0.1061
568,0.10448
569,0.10286
570,0.10138
571,0.10002
572,0.09846
573,0.09704
574,0.09579
575,0.09458
576,0.0935
577,0.09259
578,0.09178
579,0.0909
580,0.08998
581,0.08908
582,0.08827
583,0.08775
584,0.08733
585,0.0868
586,0.08607
587,0.08526
588,0.08474
589,0.08461
590,0.08406
591,0.08367
592,0.08351
593,0.08336
594,0.08308
595,0.08259
596,0.08207
597,0.08207
598,0.0821
599,0.082
600,0.08173
601,0.08123
602,0.08083
603,0.08057
604,0.08015
605,0.07988
606,0.0796
607,0.07915
608,0.07858
609,0.07776
610,0.07694
611,0.07652
612,0.07602
613,0.07565
614,0.07536
615,0.07469
616,0.07432
617,0.0741
618,0.07371
619,0.07337
620,0.07308
621,0.07273
622,0.07215
623,0.07193
624,0.07189
625,0.07182
626,0.07176
627,0.0717
628,0.07163
629,0.07154
630,0.07167
631,0.07163
632,0.07138
633,0.0713
634,0.0711
635,0.07076
636,0.07037
637,0.07015
638,0.06997
639,0.06963
640,0.069
641,0.06876
642,0.06852
643,0.06804
644,0.06755
645,0.06714
646,0.06685
647,0.06666
648,0.06645
649,0.06624
650,0.06602
651,0.06579
652,0.06556
653,0.06549
654,0.06559
655,0.06556
656,0.06538
657,0.06526
658,0.06541
659,0.06515
660,0.06484
661,0.06471
662,0.0647
663,0.06465
664,0.06453
665,0.06441
666,0.06454
667,0.06442
668,0.06426
669,0.06454
670,0.06479
671,0.06491
672,0.06496
673,0.06523
674,0.06553
675,0.06595
676,0.06646
677,0.06643
678,0.06659
679,0.06716
680,0.06796
681,0.06849
682,0.06891
683,0.06938
684,0.06995
685,0.07043
686,0.07102
687,0.07196
688,0.07293
689,0.07388
690,0.07507
691,0.07692
692,0.07905
693,0.08184
694,0.08554
695,0.08986
696,0.09485
697,0.10061
698,0.10715
699,0.11405
700,0.12158
701,0.12978
702,0.13849
703,0.14718
704,0.15599
705,0.16506
706,0.17436
707,0.18385
708,0.19342
709,0.20301
710,0.21257
711,0.22222
712,0.23206
713,0.24221
714,0.25201
715,0.26166
716,0.27147
717,0.28154
718,0.29148
719,0.30126
720,0.311
721,0.3205
722,0.32982
723,0.33904
724,0.34819
725,0.35706
726,0.36565
727,0.37393
728,0.3816
729,0.38913
730,0.39646
731,0.40337
732,0.4098
733,0.41606
734,0.42213
735,0.42762
736,0.43262
737,0.43744
738,0.44218
739,0.44624
740,0.45013
741,0.45386
742,0.45731
743,0.4603
744,0.46301
745,0.46558
746,0.468
747,0.46994
748,0.47169
749,0.4734
750,0.47477
751,0.47628
752,0.47775
753,0.47879
754,0.47945
755,0.48018
756,0.48102
757,0.48168
758,0.48239
759,0.48303
760,0.4835
761,0.48383
762,0.48387
763,0.48405
764,0.48468
765,0.48488
766,0.48485
767,0.48497
768,0.48556
769,0.4855
770,0.48526
771,0.48519
772,0.48521
773,0.48514
774,0.48523
775,0.48553
776,0.48515
777,0.48509
778,0.48524
779,0.48512
780,0.48511
781,0.48511
782,0.48503
783,0.48483
784,0.48482
785,0.48472
786,0.48446
787,0.48459
788,0.48471
789,0.48462
790,0.4843
791,0.48426
792,0.48412
793,0.48396
794,0.48409
795,0.48383
796,0.48345
797,0.48319
798,0.48315
799,0.48324
800,0.48317
801,0.48283
802,0.48271
803,0.48266
804,0.48249
805,0.48208
806,0.48168
807,0.48159
808,0.48164
809,0.48138
810,0.48134
811,0.48115
812,0.48068
813,0.48038
814,0.48021
815,0.48011
816,0.48002
817,0.47984
818,0.47955
819,0.4793
820,0.47923
821,0.47922
822,0.47907
823,0.47875
824,0.47842
825,0.4782
826,0.478
827,0.47777
828,0.4776
829,0.47758
830,0.47764
