wl,value
360,0.12227
361,0.11807
362,0.12037
363,0.12199
364,0.1258
365,0.13354
366,0.13458
367,0.13025
368,0.12412
369,0.1213
370,0.12489
371,0.12741
372,0.12633
373,0.13091
374,0.13209
375,0.12868
376,0.12394
377,0.12819
378,0.12939
379,0.12541
380,0.1237
381,0.12966
382,0.13148
383,0.1239
384,0.12017
385,0.12634
386,0.13237
387,0.12618
388,0.12438
389,0.12628
390,0.12823
391,0.1252
392,0.12466
393,0.12597
394,0.12731
395,0.12858
396,0.12879
397,0.12864
398,0.12918
399,0.12724
400,0.12586
401,0.12642
402,0.12748
403,0.12511
404,0.12342
405,0.12599
406,0.12761
407,0.12925
408,0.12943
409,0.12559
410,0.12235
411,0.12255
412,0.12605
413,0.12884
414,0.127
415,0.12484
416,0.12715
417,0.12681
418,0.12555
419,0.12499
420,0.12614
421,0.12671
422,0.12645
423,0.12574
424,0.12536
425,0.12524
426,0.12554
427,0.1262
428,0.12528
429,0.12495
430,0.12564
431,0.12493
432,0.12436
433,0.1243
434,0.12453
435,0.12367
436,0.12317
437,0.12357
438,0.12452
439,0.12402
440,0.1238
441,0.12489
442,0.12533
443,0.12599
444,0.12635
445,0.12567
446,0.12468
447,0.12495
448,0.12626
449,0.12635
450,0.12616
451,0.12615
452,0.12636
453,0.12585
454,0.12531
455,0.12535
456,0.12637
457,0.12633
458,0.12611
459,0.12625
460,0.1259
461,0.12652
462,0.12712
463,0.1264
464,0.12661
465,0.12683
466,0.12661
467,0.12607
468,0.12642
469,0.12686
470,0.12671
471,0.12703
472,0.12667
473,0.12597
474,0.126
475,0.12724
476,0.12774
477,0.127
478,0.12711
479,0.1264
480,0.12614
481,0.12751
482,0.12732
483,0.12658
484,0.12603
485,0.12602
486,0.12575
487,0.12573
488,0.12607
489,0.1251
490,0.12475
491,0.12543
492,0.12658
493,0.12674
494,0.12649
495,0.12635
496,0.1264
497,0.12646
498,0.12676
499,0.12741
500,0.12777
501,0.12782
502,0.12777
503,0.12802
504,0.1284
505,0.12827
506,0.12767
507,0.12852
508,0.12921
509,0.12971
510,0.13052
511,0.13092
512,0.13134
513,0.13181
514,0.13179
515,0.1325
516,0.13348
517,0.13415
518,0.13543
519,0.13661
520,0.1375
521,0.13836
522,0.13993
523,0.14135
524,0.14221
525,0.14364
526,0.14515
527,0.14642
528,0.14732
529,0.14833
530,0.14951
531,0.15069
532,0.15141
533,0.15222
534,0.153
535,0.15355
536,0.15382
537,0.15434
538,0.15486
539,0.15467
540,0.15425
541,0.15342
542,0.15228
543,0.15156
544,0.15157
545,0.15222
546,0.15319
547,0.15433
548,0.1553
549,0.15595
550,0.15649
551,0.15684
552,0.15695
553,0.15685
554,0.1569
555,0.15694
556,0.15685
557,0.15651
558,0.15613
559,0.15566
560,0.15502
561,0.15405
562,0.15319
563,0.1525
564,0.15185
565,0.15085
566,0.1497
567,0.14868
568,0.14812
569,0.14742
570,0.14646
571,0.14538
572,0.14452
573,0.14371
574,0.14288
575,0.14211
576,0.14175
577,0.14138
578,0.14067
579,0.13964
580,0.13907
581,0.13885
582,0.13853
583,0.13789
584,0.13755
585,0.13757
586,0.13731
587,0.13692
588,0.13668
589,0.13673
590,0.13692
591,0.13675
592,0.1363
593,0.13603
594,0.13629
595,0.1366
596,0.13662
597,0.13638
598,0.13626
599,0.13621
600,0.13603
601,0.13564
602,0.13566
603,0.13597
604,0.13577
605,0.13543
606,0.13509
607,0.13483
608,0.13473
609,0.13408
610,0.13258
611,0.13055
612,0.13036
613,0.13113
614,0.13193
615,0.13213
616,0.1323
617,0.13238
618,0.13219
619,0.13197
620,0.13181
621,0.13173
622,0.13174
623,0.13179
624,0.13181
625,0.13179
626,0.13195
627,0.13197
628,0.13191
629,0.13192
630,0.13174
631,0.13171
632,0.13188
633,0.13199
634,0.13217
635,0.13222
636,0.13206
637,0.13209
638,0.13188
639,0.13154
640,0.13148
641,0.13151
642,0.13161
643,0.13168
644,0.13147
645,0.13119
646,0.13106
647,0.13118
648,0.13132
649,0.13146
650,0.13146
651,0.13112
652,0.131
653,0.1311
654,0.13133
655,0.13162
656,0.13164
657,0.13158
658,0.13173
659,0.13168
660,0.13172
661,0.1319
662,0.13204
663,0.13203
664,0.132
665,0.1321
666,0.13226
667,0.1325
668,0.13268
669,0.13265
670,0.13274
671,0.133
672,0.13331
673,0.13336
674,0.13363
675,0.13404
676,0.13438
677,0.13468
678,0.13499
679,0.13536
680,0.13576
681,0.1362
682,0.13658
683,0.1369
684,0.13737
685,0.13772
686,0.13795
687,0.13819
688,0.13871
689,0.13937
690,0.14006
691,0.14073
692,0.1416
693,0.14276
694,0.14438
695,0.14691
696,0.1498
697,0.1531
698,0.15707
699,0.16194
700,0.16758
701,0.17386
702,0.18066
703,0.18772
704,0.1952
705,0.20321
706,0.21161
707,0.22012
708,0.22885
709,0.23797
710,0.24734
711,0.25691
712,0.26668
713,0.27669
714,0.28693
715,0.29723
716,0.30755
717,0.31815
718,0.32882
719,0.33951
720,0.35016
721,0.36074
