wl,value
360,0.04135
361,0.04104
362,0.04154
363,0.04122
364,0.0408
365,0.04112
366,0.04108
367,0.04119
368,0.04122
369,0.0406
370,0.04091
371,0.04128
372,0.0411
373,0.04085
374,0.04088
375,0.04101
376,0.04101
377,0.04128
378,0.04166
379,0.04192
380,0.04188
381,0.04253
382,0.04271
383,0.04201
384,0.04237
385,0.04287
386,0.04347
387,0.04429
388,0.04463
389,0.0446
390,0.04459
391,0.04517
392,0.04554
393,0.04604
394,0.0469
395,0.04755
396,0.04815
397,0.04874
398,0.04934
399,0.0499
400,0.05055
401,0.05136
402,0.05224
403,0.05318
404,0.05403
405,0.05469
406,0.0553
407,0.05594
408,0.05676
409,0.05785
410,0.05874
411,0.05952
412,0.0603
413,0.06115
414,0.06197
415,0.06274
416,0.06349
417,0.06417
418,0.06488
419,0.06565
420,0.06644
421,0.0671
422,0.06765
423,0.06817
424,0.06875
425,0.06932
426,0.0698
427,0.0702
428,0.07063
429,0.07103
430,0.0714
431,0.07176
432,0.0721
433,0.07239
434,0.07263
435,0.0729
436,0.0732
437,0.0735
438,0.07377
439,0.07405
440,0.07438
441,0.07474
442,0.075
443,0.07533
444,0.07564
445,0.07579
446,0.07595
447,0.07623
448,0.07658
449,0.0768
450,0.07697
451,0.07721
452,0.07753
453,0.07772
454,0.0779
455,0.0781
456,0.07829
457,0.07851
458,0.07873
459,0.07892
460,0.07909
461,0.07936
462,0.07966
463,0.0799
464,0.08011
465,0.08032
466,0.08053
467,0.0807
468,0.08086
469,0.08101
470,0.08116
471,0.08133
472,0.08151
473,0.08164
474,0.08169
475,0.08173
476,0.08181
477,0.08194
478,0.08203
479,0.08217
480,0.08228
481,0.08232
482,0.08247
483,0.08268
484,0.08288
485,0.08309
486,0.08335
487,0.08373
488,0.0842
489,0.08464
490,0.0852
491,0.08586
492,0.08652
493,0.08727
494,0.08812
495,0.08908
496,0.09013
497,0.09129
498,0.09253
499,0.09385
500,0.09527
501,0.09681
502,0.09848
503,0.10025
504,0.10221
505,0.10429
506,0.10644
