wl,value
360,0.0446
361,0.04436
362,0.0441
363,0.04439
364,0.04459
365,0.04409
366,0.04346
367,0.04333
368,0.04351
369,0.04334
370,0.04324
371,0.04331
372,0.04349
373,0.04345
374,0.04377
375,0.04404
376,0.04378
377,0.04351
378,0.04358
379,0.04385
380,0.04382
381,0.04334
382,0.04313
383,0.04345
384,0.04334
385,0.04324
386,0.04311
387,0.04286
388,0.04281
389,0.043
390,0.04335
391,0.04373
392,0.04366
393,0.04354
394,0.04372
395,0.04385
396,0.04407
397,0.04415
398,0.04388
399,0.04446
400,0.04505
401,0.04522
402,0.04528
403,0.04529
404,0.0456
405,0.04631
406,0.04664
407,0.0468
408,0.047
409,0.04741
410,0.0475
411,0.04774
412,0.04832
413,0.04888
414,0.04926
415,0.04952
416,0.04979
417,0.05005
418,0.05036
419,0.05075
420,0.05123
421,0.05147
422,0.05167
423,0.05198
424,0.05229
425,0.05253
426,0.05276
427,0.05305
428,0.05319
429,0.0533
430,0.05345
431,0.05363
432,0.05375
433,0.05386
434,0.054
435,0.05411
436,0.05425
437,0.05438
438,0.05442
439,0.05453
440,0.05468
441,0.05479
442,0.05489
443,0.05501
444,0.05514
445,0.0553
446,0.05541
447,0.05548
448,0.05557
449,0.05581
450,0.05599
451,0.05606
452,0.0561
453,0.05622
454,0.05635
455,0.05643
456,0.05644
457,0.05652
458,0.05661
459,0.05668
460,0.05672
461,0.05681
462,0.05687
463,0.05682
464,0.05685
465,0.05684
466,0.0568
467,0.05687
468,0.05689
469,0.05688
470,0.05687
471,0.05693
472,0.05695
473,0.05697
474,0.05705
475,0.05704
476,0.05699
477,0.05694
478,0.05695
479,0.05705
480,0.05713
481,0.05712
482,0.05719
483,0.05722
484,0.05725
485,0.0574
486,0.05749
487,0.05756
488,0.05767
489,0.05782
490,0.05796
491,0.05815
492,0.05845
493,0.05874
494,0.05908
495,0.05947
496,0.0598
497,0.06026
498,0.0608
499,0.06134
500,0.06192
501,0.06255
502,0.06325
503,0.06407
504,0.06501
505,0.06604
506,0.06714
507,0.0683
508,0.06959
509,0.07102
510,0.07258
511,0.0742
512,0.07593
513,0.0778
514,0.0798
515,0.08192
516,0.08416
517,0.08651
518,0.08899
519,0.09156
520,0.09416
521,0.09675
522,0.09944
523,0.10211
524,0.10468
525,0.10716
526,0.10957
527,0.1119
528,0.11407
529,0.11615
530,0.11808
531,0.11983
532,0.12142
533,0.12289
